state,action,reward,next_state
0,3,-0.1,1
1,3,-0.1,2
2,3,-0.1,3
3,1,-0.1,13
13,1,-0.1,23
23,1,-0.1,33
33,0,-0.1,23
23,3,-0.1,24
24,1,-0.1,24
24,1,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,2,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,1,-0.1,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,1,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,1,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,0,-0.1,28
28,1,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,0,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,3,-0.1,99
99,3,1.0,99
99,0,1.0,99
99,0,1.0,99
0,0,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,2,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,1,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,1,-0.1,24
24,0,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,1,-0.1,25
25,0,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,1,-0.1,39
39,2,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,0,-0.1,58
58,0,-0.1,48
48,3,-0.1,48
48,0,-0.1,38
38,1,-0.1,48
48,0,-0.1,38
38,1,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,0,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,3,-0.1,89
89,1,-0.1,99
99,0,1.0,99
99,3,1.0,99
99,0,1.0,99
0,3,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,0,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,2,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,3,-0.1,8
8,0,-0.1,8
8,3,-0.1,9
9,1,-0.1,19
19,1,-0.1,29
29,2,-0.1,28
28,1,-0.1,38
38,1,-0.1,48
48,3,-0.1,48
48,1,-0.1,58
58,1,-0.1,68
68,1,-0.1,78
78,1,-0.1,88
88,1,-0.1,98
98,1,-0.1,98
98,3,-0.1,99
99,0,1.0,99
99,0,1.0,99
99,3,1.0,99
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,1,-0.1,33
33,0,-0.1,23
