state,action,reward,next_state
16,1,-0.1,21
21,0,-0.1,16
16,0,-0.1,11
11,2,-0.1,10
10,3,-0.1,11
11,2,-0.1,10
10,1,-0.1,15
15,1,-0.1,20
20,3,-0.1,21
21,0,-0.1,16
16,2,-0.1,15
15,1,-0.1,20
20,2,-0.1,20
20,0,-0.1,15
15,3,-0.1,16
16,3,-0.1,17
17,0,-0.1,17
17,2,-0.1,16
16,0,-0.1,11
11,1,-0.1,16
16,3,-0.1,17
17,0,-0.1,17
17,1,-0.1,22
22,2,-0.1,21
21,1,-0.1,21
21,3,-0.1,22
22,1,-0.1,22
22,0,-0.1,17
17,1,-0.1,22
22,3,-0.1,23
23,1,-0.1,23
23,2,-0.1,22
22,0,-0.1,17
17,3,-5.0,18
18,3,-5.0,18
18,1,-5.0,18
18,3,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,2,-5.0,18
18,1,-5.0,18
18,2,-5.0,18
18,2,-5.0,18
18,3,-5.0,18
18,1,-5.0,18
18,3,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,3,-5.0,18
8,1,-0.1,13
13,1,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,1,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,3,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,2,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,2,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,1,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,1,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
2,3,-0.1,3
3,2,-0.1,2
2,3,-0.1,3
3,1,-0.1,8
8,1,-0.1,13
13,3,-0.1,14
14,1,-0.1,19
19,1,5.0,24
24,0,5.0,24
24,0,5.0,24
24,3,5.0,24
18,1,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,2,-5.0,18
18,2,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,1,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,1,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,3,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,2,-5.0,18
18,3,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,3,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,2,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,3,-5.0,18
18,1,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
18,1,-5.0,18
18,3,-5.0,18
18,0,-5.0,18
18,0,-5.0,18
