state,action,reward,next_state
10,0,-0.10000000000000003,5
5,2,-0.10000000000000002,10
10,2,-0.10000000000000002,10
10,3,-0.10000000000000002,11
11,3,-0.10000000000000003,11
11,1,-0.10000000000000002,16
16,3,-0.10000000000000002,17
17,2,-0.14500000000000002,16
16,1,-0.10000000000000003,21
21,0,-0.10000000000000003,16
16,3,-0.10000000000000002,17
17,3,-0.8650000000000001,18
18,2,-1.0,18
18,1,-1.0000000000000002,18
18,2,-1.0,18
18,3,-1.0,18
18,1,-1.0000000000000002,18
18,0,-1.0000000000000002,18
18,3,-1.0,18
18,2,-1.0,18
18,3,-1.0,18
18,1,-1.0000000000000002,18
18,1,-1.0000000000000002,18
18,0,-1.0000000000000002,18
18,2,-1.0,18
18,2,-1.0,18
18,2,-1.0,18
18,2,-1.0,18
18,1,-1.0000000000000002,18
18,3,-1.0,18
18,0,-1.0000000000000002,18
18,2,-1.0,18
18,3,-1.0,18
18,0,-1.0000000000000002,18
18,1,-1.0000000000000002,18
18,2,-1.0,18
18,2,-1.0,18
18,2,-1.0,18
18,1,-1.0000000000000002,18
18,2,-1.0,18
18,0,-1.0000000000000002,18
18,3,-1.0,18
18,0,-1.0000000000000002,18
18,2,-1.0,18
18,1,-1.0000000000000002,18
18,1,-1.0000000000000002,18
18,3,-1.0,18
18,3,-1.0,18
18,3,-1.0,18
18,1,-1.0000000000000002,18
21,3,-0.10000000000000002,22
22,0,-0.10000000000000003,17
17,1,-0.14500000000000002,22
22,0,-0.10000000000000003,17
17,1,-0.14500000000000002,22
22,3,-0.10000000000000002,21
21,1,-0.10000000000000003,21
21,3,-0.10000000000000002,22
22,3,-0.10000000000000002,23
23,3,0.7900000000000001,22
22,3,-0.10000000000000002,23
23,3,0.7900000000000001,24
24,0,1.0000000000000002,24
24,0,1.0000000000000002,24
24,0,1.0000000000000002,24
0,0,-0.10000000000000003,0
0,1,-0.10000000000000002,1
1,3,-0.10000000000000002,2
2,3,-0.10000000000000002,3
3,0,-0.10000000000000003,3
3,1,-0.10000000000000003,8
8,3,-0.10000000000000002,9
9,1,-0.10000000000000003,14
14,1,-0.10000000000000003,9
9,1,-0.10000000000000003,9
