state,action,reward,next_state
31,3,-0.01,32
32,0,-0.01,22
22,1,-0.01,32
32,3,-0.01,33
33,1,-0.01,33
33,3,-0.01,34
34,2,-0.01,33
33,3,-0.01,34
34,1,-0.01,44
44,3,-0.01,45
45,3,-0.01,46
46,3,-0.01,47
47,3,-0.01,48
48,1,-0.01,58
58,1,-0.01,68
68,1,-0.01,78
78,0,-0.01,68
68,1,-0.01,78
78,1,-0.01,88
88,2,-0.01,87
87,1,-0.01,97
97,3,-0.01,98
98,3,-0.01,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,3,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,3,10.0,99
99,3,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,2,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,2,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,3,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,3,10.0,99
99,1,10.0,99
99,0,10.0,99
99,3,10.0,99
99,0,10.0,99
0,1,-0.01,10
10,1,-0.01,20
20,3,-0.01,21
21,1,-0.01,31
31,3,-0.01,32
32,3,-0.01,33
33,3,-0.01,34
34,1,-0.01,44
44,3,-0.01,45
45,3,-0.01,46
46,1,-0.01,46
46,2,-0.01,45
45,3,-0.01,46
46,3,-0.01,47
47,3,-0.01,48
48,1,-0.01,58
58,1,-0.01,68
68,1,-0.01,78
78,1,-0.01,88
88,1,-0.01,98
98,1,-0.01,98
98,3,-0.01,99
99,3,10.0,99
99,0,10.0,99
99,2,10.0,99
99,0,10.0,99
99,1,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,1,10.0,99
99,0,10.0,99
99,0,10.0,99
99,3,10.0,99
99,0,10.0,99
99,2,10.0,99
99,3,10.0,99
99,1,10.0,99
99,1,10.0,99
99,3,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,3,10.0,99
99,0,10.0,99
99,0,10.0,99
99,2,10.0,99
99,3,10.0,99
99,3,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,3,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,1,10.0,99
99,0,10.0,99
99,3,10.0,99
99,1,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
98,3,-0.01,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,1,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,2,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,3,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,2,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,0,10.0,99
99,1,10.0,99
99,0,10.0,99
99,0,10.0,99
99,1,10.0,99
99,0,10.0,99
31,1,-0.01,41
41,2,-0.01,40
40,0,-0.01,30
30,2,-0.01,30
30,1,-0.01,40
40,2,-0.01,40
40,0,-0.01,30
30,1,-0.01,40
40,1,-0.01,40
40,0,-0.01,30
30,3,-0.01,31
31,3,-0.01,32
32,3,-0.01,33
33,2,-0.01,32
32,2,-0.01,31
31,1,-0.01,41
41,0,-0.01,31
31,3,-0.01,32
32,1,-0.01,42
42,2,-0.01,41
41,1,-0.01,41
41,3,-0.01,42
42,1,-0.01,42
42,1,-0.01,42
42,0,-0.01,32
32,1,-0.01,42
42,2,-0.01,41
41,3,-0.01,42
42,3,-0.01,42
42,0,-0.01,32
32,3,-0.01,33
33,3,-0.01,34
34,1,-0.01,44
44,1,-0.01,44
44,3,-0.01,45
45,3,-0.01,46
46,0,-0.01,36
36,3,-0.01,37
37,1,-0.01,47
47,0,-0.01,37
37,0,-0.01,27
27,0,-0.01,17
17,3,-0.01,18
18,2,-0.01,17
17,0,-0.01,7
7,1,-0.01,17
17,1,-0.01,27
27,1,-0.01,37
37,0,-0.01,27
27,3,-0.01,27
27,3,-0.01,27
27,3,-0.01,27
27,3,-0.01,27
27,1,-0.01,37
37,0,-0.01,27
27,1,-0.01,37
37,3,-0.01,38
38,2,-0.01,37
37,3,-0.01,38
38,3,-0.01,39
39,0,-0.01,29
29,1,-0.01,39
39,1,-0.01,49
49,0,-0.01,39
39,0,-0.01,29
29,2,-0.01,29
29,2,-0.01,29
29,1,-0.01,39
39,2,-0.01,38
38,1,-0.01,48
48,0,-0.01,38
38,2,-0.01,37
37,1,-0.01,47
47,0,-0.01,37
37,0,-0.01,27
27,3,-0.01,27
27,0,-0.01,17
17,3,-0.01,18
18,0,-0.01,8
8,3,-0.01,9
9,3,-0.01,9
9,3,-0.01,9
9,0,-0.01,9
9,1,-0.01,19
19,0,-0.01,9
9,3,-0.01,9
9,3,-0.01,9
9,1,-0.01,19
19,3,-0.01,19
19,0,-0.01,9
9,3,-0.01,9
9,1,-0.01,19
19,0,-0.01,9
9,1,-0.01,19
19,2,-0.01,18
18,1,-0.01,18
18,0,-0.01,8
8,0,-0.01,8
8,0,-0.01,8
8,3,-0.01,9
9,2,-0.01,8
8,0,-0.01,8
8,0,-0.01,8
8,2,-0.01,7
7,1,-0.01,17
17,1,-0.01,27
27,1,-0.01,37
37,0,-0.01,27
27,3,-0.01,27
27,3,-0.01,27
27,2,-0.01,26
26,3,-0.01,27
