state,action,reward,next_state
0,3,-0.01,1
1,1,-0.01,21
21,3,-0.01,22
22,3,-0.01,23
23,1,-0.01,43
43,3,-0.01,44
44,2,-0.01,43
43,1,-0.01,63
63,1,-0.01,83
83,1,-0.01,103
103,1,-0.01,123
123,3,-0.01,124
124,3,-0.01,125
125,1,-0.01,145
145,3,-0.01,146
146,3,-0.01,147
147,0,-0.01,127
127,3,-0.01,128
128,3,-0.01,129
129,2,-0.01,128
128,3,-0.01,129
129,3,-0.01,130
130,1,-0.01,150
150,1,-0.01,170
170,1,-0.01,190
190,2,-0.01,189
189,3,-0.01,190
190,3,-0.01,191
191,3,-0.01,192
192,0,-0.01,172
172,3,-0.01,173
173,3,-0.01,174
174,3,-0.01,175
175,3,-0.01,176
176,3,-0.01,177
177,1,-0.01,197
197,1,-0.01,217
217,1,-0.01,237
237,3,-0.01,238
238,3,-0.01,239
239,1,-0.01,259
259,1,-0.01,279
279,2,-0.01,278
278,3,-0.01,279
279,1,-0.01,299
299,1,-0.01,319
319,1,-0.01,339
339,1,-0.01,359
359,1,-0.01,379
379,0,-0.01,359
359,2,-0.01,358
358,3,-0.01,359
359,1,-0.01,379
379,2,-0.01,378
378,1,-0.01,398
398,3,-0.01,399
399,0,10.0,399
399,0,10.0,399
399,0,10.0,399
399,1,10.0,399
399,0,10.0,399
399,3,10.0,399
399,2,10.0,399
399,1,10.0,399
399,2,10.0,399
399,0,10.0,399
399,0,10.0,399
399,3,10.0,399
399,2,10.0,399
399,3,10.0,399
399,1,10.0,399
399,1,10.0,399
399,1,10.0,399
399,0,10.0,399
399,2,10.0,399
399,1,10.0,399
399,1,10.0,399
399,2,10.0,399
399,3,10.0,399
399,1,10.0,399
399,3,10.0,399
399,0,10.0,399
399,3,10.0,399
399,0,10.0,399
399,2,10.0,399
399,2,10.0,399
399,2,10.0,399
399,1,10.0,399
399,0,10.0,399
399,3,10.0,399
399,1,10.0,399
399,1,10.0,399
399,0,10.0,399
399,3,10.0,399
399,3,10.0,399
399,1,10.0,399
399,0,10.0,399
399,1,10.0,399
399,1,10.0,399
399,1,10.0,399
399,1,10.0,399
399,0,10.0,399
399,3,10.0,399
399,2,10.0,399
399,0,10.0,399
399,3,10.0,399
0,1,-0.01,20
20,1,-0.01,40
40,1,-0.01,60
60,1,-0.01,80
80,1,-0.01,100
100,1,-0.01,120
120,1,-0.01,140
140,3,-0.01,141
141,3,-0.01,142
142,3,-0.01,143
143,3,-0.01,144
144,3,-0.01,145
145,3,-0.01,146
146,3,-0.01,147
147,3,-0.01,148
148,1,-0.01,168
168,0,-0.01,148
148,3,-0.01,149
149,1,-0.01,169
169,3,-0.01,170
170,3,-0.01,171
171,3,-0.01,172
172,3,-0.01,173
173,3,-0.01,174
174,3,-0.01,175
175,1,-0.01,195
195,1,-0.01,195
195,3,-0.01,196
196,1,-0.01,216
216,0,-0.01,196
196,3,-0.01,197
197,1,-0.01,217
217,3,-0.01,218
218,1,-0.01,238
238,3,-0.01,239
239,3,-0.01,239
