state,action,reward,next_state
226,0,1.0,225
225,0,1.9,204
204,0,1.9,183
183,0,1.9,163
163,1,1.9,143
143,1,1.9,123
123,2,1.9,103
103,2,1.9,84
84,1,1.9,64
64,1,1.9,65
65,2,1.0,45
45,1,1.0,46
46,1,2.71,27
27,1,2.71,28
28,2,1.9,29
29,2,1.9,30
30,2,1.9,31
31,1,2.71,32
32,2,1.9,53
53,1,2.71,74
74,0,2.71,94
94,1,1.0,95
95,2,1.0,115
115,0,2.71,135
135,2,1.9,156
156,1,1.9,176
176,1,1.9,195
195,2,1.9,215
215,0,2.71,234
234,2,2.71,254
254,0,1.0,253
253,2,1.9,273
273,2,1.0,272
272,1,2.71,271
271,0,1.9,290
290,2,4.0951,289
289,1,2.71,268
268,2,3.439,267
267,0,1.9,246
246,0,1.9,245
245,0,1.9,225
225,2,1.0,224
224,2,1.0,204
204,2,1.9,184
184,0,1.9,183
183,2,1.0,163
163,2,1.9,143
143,0,1.9,123
123,2,1.9,104
104,1,1.9,84
84,0,1.9,64
64,1,1.0,65
65,0,1.9,45
45,1,1.9,46
46,2,1.0,26
26,1,1.9,27
27,1,2.71,28
28,2,1.0,8
8,0,1.0,9
9,0,4.0951,10
10,0,4.0951,11
11,1,1.0,31
31,2,1.9,32
32,1,1.9,33
33,1,1.0,53
53,2,1.9,54
54,1,1.0,74
74,1,1.0,75
75,0,1.0,95
95,0,2.71,115
115,2,1.0,116
116,2,1.0,136
136,0,1.9,156
156,1,1.9,176
176,2,1.9,196
196,0,1.9,215
215,2,2.71,235
235,0,1.0,234
234,0,1.0,254
254,2,2.71,273
273,2,3.439,292
292,0,1.9,291
291,2,4.68559,310
310,1,2.71,309
309,1,1.9,289
289,1,1.0,288
288,2,4.0951,287
287,1,1.9,267
267,0,1.0,266
266,0,1.9,265
265,2,1.0,245
245,1,1.9,224
224,1,2.71,203
203,2,1.9,183
183,0,1.9,163
54,1,1.0,74
74,2,1.0,75
75,2,1.0,95
95,1,1.9,96
96,2,1.0,116
116,2,1.9,137
137,1,1.0,157
157,0,1.9,176
176,1,1.9,196
196,0,1.9,216
216,0,1.0,215
215,1,1.0,235
235,0,1.0,234
234,1,1.9,254
254,0,1.0,253
253,0,1.9,252
252,2,1.0,272
272,1,1.9,271
271,1,2.71,270
270,0,1.9,269
269,0,1.9,268
268,0,1.9,267
267,2,2.71,247
247,0,1.0,246
246,1,1.9,226
226,0,1.0,225
225,2,1.9,205
205,2,2.71,184
184,0,1.9,164
164,1,1.9,144
144,0,1.0,143
143,1,1.0,123
123,0,2.71,103
103,1,1.9,84
84,1,1.9,64
64,0,1.9,44
44,2,1.0,45
45,0,1.9,25
25,0,1.0,26
26,2,1.9,27
27,2,1.0,7
7,2,1.0,8
8,1,2.71,9
9,2,1.9,10
10,0,4.0951,11
11,1,1.9,31
31,0,1.9,32
32,2,1.9,33
33,2,1.0,53
53,0,1.9,54
54,1,1.0,74
74,2,1.9,75
75,1,1.0,95
95,1,1.9,116
116,2,1.9,136
136,2,1.0,137
137,1,1.0,157
157,2,1.9,177
177,0,1.0,197
197,1,1.9,216
216,0,1.9,236
236,2,1.0,235
235,2,1.0,255
255,2,2.71,275
275,2,1.0,274
274,1,1.0,294
294,2,2.71,313
313,0,2.71,312
312,0,1.9,331
331,1,2.71,330
330,1,3.439,329
329,1,3.439,328
328,1,1.9,308
308,1,1.9,307
307,1,3.439,286
286,1,2.71,265
265,0,1.9,264
264,0,1.0,244
244,0,1.0,243
243,1,1.0,223
223,1,1.9,202
202,2,1.0,182
182,2,1.9,162
162,0,1.9,142
142,1,1.0,122
122,0,1.0,121
121,0,1.0,101
101,1,1.0,102
102,2,1.0,82
82,2,1.0,62
62,0,1.0,63
63,1,1.0,43
43,1,1.9,24
24,1,2.71,5
5,0,1.9,10
10,2,2.71,11
11,1,1.9,12
12,0,2.71,32
32,1,1.0,33
33,2,1.9,34
34,1,1.0,54
54,2,1.9,75
75,1,1.9,76
76,2,1.0,96
96,0,1.9,116
116,2,1.0,136
136,1,1.0,137
137,2,1.0,157
157,2,1.9,177
177,1,1.9,197
197,1,1.0,217
217,2,1.9,237
237,1,1.0,236
