state,action,reward,next_state
226,0,1.0,225
225,0,1.0,225
225,0,1.0,204
204,0,1.0,204
204,1,1.0,184
184,1,1.0,183
183,2,1.0,183
183,2,1.0,163
163,1,1.0,163
163,1,1.0,143
143,2,1.0,143
143,1,1.0,123
123,1,1.0,123
123,1,1.0,104
104,2,1.0,104
104,2,1.0,84
84,2,1.0,85
85,1,1.0,85
85,2,1.0,65
65,1,1.0,66
66,0,1.0,66
66,1,1.0,46
46,2,1.0,47
47,0,1.0,47
47,2,1.0,47
47,1,1.0,48
48,1,1.0,48
48,2,1.0,29
29,0,1.0,29
29,2,1.0,29
29,0,1.0,29
29,2,1.0,30
30,2,1.0,50
50,1,1.0,51
51,0,1.0,51
51,2,1.0,52
52,1,1.0,52
52,2,1.0,52
52,0,1.0,73
73,0,1.0,73
73,0,1.0,73
73,2,1.0,73
73,2,1.0,94
94,2,1.0,94
94,0,1.0,94
94,2,1.0,115
115,2,1.0,115
115,0,1.0,135
135,2,1.0,135
135,1,1.0,155
155,0,1.0,155
155,1,1.0,175
175,0,1.0,175
175,1,1.0,175
175,2,1.0,195
195,1,1.0,195
195,1,1.0,215
215,2,1.0,215
215,0,1.0,214
214,0,1.0,234
234,0,1.0,233
233,1,1.0,233
233,2,1.0,253
253,1,1.0,252
252,1,1.0,252
252,2,1.0,252
252,1,1.0,252
252,1,1.0,251
251,0,1.0,271
271,0,1.0,270
270,2,1.0,270
270,2,1.0,270
270,0,1.0,269
269,1,1.0,269
269,2,1.0,269
269,0,1.0,248
248,2,1.0,248
248,0,1.0,248
248,0,1.0,247
247,2,1.0,247
247,2,1.0,247
247,0,1.0,226
226,2,1.0,226
226,1,1.0,226
226,1,1.0,205
205,1,1.0,205
205,2,1.0,205
205,1,1.0,185
185,0,1.0,184
184,0,1.0,184
184,2,1.0,164
164,1,1.0,164
164,1,1.0,144
144,2,1.0,144
144,0,1.0,124
124,0,1.0,124
124,2,1.0,104
104,2,1.0,104
104,1,1.0,104
104,2,1.0,85
85,2,1.0,85
85,0,1.0,85
85,2,1.0,66
66,1,1.0,66
66,0,1.0,66
66,2,1.0,67
67,0,1.0,47
47,1,1.0,47
47,0,1.0,47
47,0,1.0,48
48,1,1.0,48
48,2,1.0,48
48,2,1.0,49
49,1,1.0,49
49,1,1.0,50
50,1,1.0,50
50,2,1.0,51
51,0,1.0,51
51,2,1.0,51
51,0,1.0,51
51,0,1.0,52
52,1,1.0,72
72,2,1.0,72
72,0,1.0,73
73,1,1.0,73
73,2,1.0,93
93,1,1.0,94
94,2,1.0,94
94,1,1.0,114
114,2,1.0,115
115,0,1.0,115
115,1,1.0,135
135,0,1.0,135
135,1,1.0,155
155,0,1.0,155
155,1,1.0,175
175,1,1.0,175
175,1,1.0,175
175,0,1.0,194
194,0,1.0,194
194,0,1.0,194
194,0,1.0,213
213,0,1.0,213
213,0,1.0,213
213,2,1.0,212
212,2,1.0,232
232,2,1.0,232
232,0,1.0,232
232,2,1.0,232
232,0,1.0,231
231,2,1.0,231
231,0,1.0,250
250,0,1.0,250
250,1,1.0,250
250,2,1.0,249
249,1,1.0,249
249,1,1.0,229
229,0,1.0,228
228,2,1.0,228
228,2,1.0,228
228,0,1.0,227
227,2,1.0,227
227,0,1.0,227
227,0,1.0,206
206,2,1.0,206
206,2,1.0,206
206,1,1.0,206
206,1,1.0,186
186,1,1.0,185
185,2,1.0,185
185,2,1.0,165
165,1,1.0,165
165,0,1.0,165
165,0,1.0,145
145,1,1.0,145
145,1,1.0,145
145,2,1.0,125
125,1,1.0,125
125,1,1.0,125
125,0,1.0,105
105,2,1.0,106
106,0,1.0,106
106,2,1.0,86
86,2,1.0,86
86,0,1.0,86
86,1,1.0,87
87,2,1.0,67
67,0,1.0,67
67,1,1.0,68
68,0,1.0,68
68,0,1.0,68
68,1,1.0,68
68,0,1.0,68
68,0,1.0,69
69,2,1.0,69
69,2,1.0,70
70,2,1.0,70
70,1,1.0,70
70,0,1.0,71
71,2,1.0,71
111,1,1.0,111
111,2,1.0,111
111,2,1.0,112
112,2,1.0,112
112,2,1.0,112
112,1,1.0,132
132,1,1.0,132
132,0,1.0,132
132,2,1.0,133
133,2,1.0,153
153,2,1.0,153
153,2,1.0,153
153,2,1.0,153
153,2,1.0,173
173,1,1.0,173
173,0,1.0,173
173,1,1.0,193
193,0,1.0,193
193,2,1.0,193
193,1,1.0,193
193,1,1.0,212
212,1,1.0,212
212,2,1.0,212
212,1,1.0,212
212,2,1.0,212
212,2,1.0,211
211,2,1.0,231
231,1,1.0,231
231,2,1.0,231
231,0,1.0,230
230,0,1.0,230
230,0,1.0,230
230,0,1.0,229
229,0,1.0,229
229,0,1.0,228
228,0,1.0,228
228,1,1.0,207
207,1,1.0,207
207,0,1.0,207
207,0,1.0,206
206,2,1.0,206
206,1,1.0,186
186,0,1.0,186
