problem,gamma,dataset_path,beta_update,beta_projection_radius,T,alpha,eta,rho,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,source_run_idx,source_greedy_success_rate,source_solver_success_rate,source_greedy_avg_reward,source_solver_avg_reward,seed,num_trajectories,max_steps,checkpoint_count,step,checkpoint_idx,avg_reward,reward_std,reward_sem,success_rate,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,device,status,error,train_elapsed_seconds,elapsed_seconds,run_idx
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,150,1,-0.1484,0.2261523576903166,0.0226152357690316,0.05,-0.014616937729936,-0.0151706299101659,0.0003830019874673,-0.0148894935265717,8.146856638555088,0.0001165587763268,0.0543782108389259,0.0049828544114821,cpu,ok,,21.999293923028745,22.13615805300651,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,300,2,-0.1058,0.3011331461615803,0.030113314616158,0.09,-0.0291749178757032,-0.0306472196582791,0.0008249612643801,-0.0300149941670596,18.478106125961787,0.0002127187087181,0.0666225297720095,0.0049542357963505,cpu,ok,,21.999293923028745,22.22384272300405,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,450,3,9.9999999999964e-05,0.4155159747260329,0.0415515974726032,0.19,-0.043536876962927,-0.0474817022102798,0.0014629411784291,-0.0447724864697316,30.722553425252556,7.135910092413766e-05,0.1372036420384401,0.0049163936610556,cpu,ok,,21.999293923028745,22.309371726005335,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,600,4,0.2307,0.530599537020971,0.053059953702097,0.4,-0.057410578346015,-0.0662847796426435,0.0025891782315804,-0.0593410498369812,42.367783526331365,0.0007300776939455,0.0902350452773031,0.0048681657155493,cpu,ok,,21.999293923028745,22.38848607498221,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,750,5,0.4609999999999998,0.5317941805859204,0.053179418058592,0.61,-0.0700580054238944,-0.0890639713015036,0.0049416887825887,-0.072720945446171,50.64791831499274,0.0005517079659504,0.1957498094302369,0.0047886482134075,cpu,ok,,21.999293923028745,22.461078519991133,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,900,6,0.6518,0.4554327057809413,0.0455432705780941,0.78,-0.0814045705181091,-0.1176281005468311,0.0085950594476787,-0.0849965336972312,57.56945995465148,0.0011536153338039,0.1965328323045013,0.0046495913267979,cpu,ok,,21.999293923028745,22.527069379983004,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1050,7,0.7988,0.3169306077061823,0.0316930607706182,0.91,-0.0917235991780592,-0.1535792355615966,0.0132759629873187,-0.0962295078246608,64.87493724767147,0.001124860627373,0.2567344485922954,0.0044459952064943,cpu,ok,,21.999293923028745,22.58715256000869,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1200,8,0.8708,0.1909396223782256,0.0190939622378225,0.97,-0.1008080516634883,-0.200014725234521,0.0191914365866839,-0.1062513362905698,73.12332957211912,0.0007015989348338,0.2494669363131833,0.0042179733532315,cpu,ok,,21.999293923028745,22.643022055970505,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1350,9,0.8867,0.1575254027934939,0.0157525402793493,0.98,-0.1081237044256622,-0.2586816506879553,0.026875701534909,-0.1144308545641405,80.34097777662996,0.0018436321544848,0.2590487446644232,0.0039605532337574,cpu,ok,,21.999293923028745,22.696773712988943,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1500,10,0.8900000000000001,0.1576019791702624,0.0157601979170262,0.98,-0.1148479189725844,-0.326896271292494,0.0351513931017919,-0.1220382222926747,87.9881765809096,0.0014934803497145,0.3097145089842924,0.0037996130743005,cpu,ok,,21.999293923028745,22.74896475899732,1
