rho,seed,T,alpha,eta,theta_lambda,theta_lr,theta_inner_steps,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,dataset_path,problem,gamma,intended_prob,num_trajectories,max_steps,checkpoint_count,device,status,error,step,checkpoint_idx,solver_avg_reward,solver_success_rate,greedy_avg_reward,greedy_success_rate,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,train_elapsed_seconds,elapsed_seconds,run_idx
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,150,1,-2.0406000000000004,0.0,-2.0000000000000004,0.0,-0.14835426891198347,-0.14977688349955287,0.0016456705015073473,-0.149689113692955,9.568059509096052,0.0003254656481841916,0.041714056718652616,0.0499848237923863,26.50896573800128,26.724645426031202,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,300,2,-2.0248500000000003,0.0,-2.00565,0.0,-0.2967159452612298,-0.2991694408344853,0.003283933529910779,-0.3003001870057412,17.40092283977907,0.000589724691141284,0.060644903154823904,0.04994072364621572,26.50896573800128,26.906291377032176,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,450,3,-1.9933500000000004,0.03,-2.0444500000000003,0.0,-0.44451632769665067,-0.4496273471656725,0.005483490387148575,-0.4495805554518732,26.23629103040424,0.00017991619547037067,0.10468184426109386,0.04983865719390777,26.50896573800128,27.074216781009454,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,600,4,-1.9117000000000006,0.09,-0.036199999999999954,0.9,-0.5911078005324786,-0.603011067084916,0.008891956662483661,-0.598130037144432,34.914078753811395,0.0008911583835894627,0.08870865674209208,0.04964003666185052,26.50896573800128,27.209933792008087,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,750,5,-1.6221000000000005,0.27,-0.03709999999999995,0.9,-0.7347801868178017,-0.7607976127103631,0.015219509127338807,-0.7430074294174184,40.85357495011218,0.000694675073757183,0.12954714587382563,0.0492852007623531,26.50896573800128,27.341164654993918,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,900,6,-1.4079500000000007,0.36,-0.03664999999999995,0.9,-0.873685446173597,-0.9186855854398714,0.026314187968474182,-0.8835667037594149,44.54227910695405,0.001401967007529677,0.1492251214873896,0.04880110640797477,26.50896573800128,27.467648398014717,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1050,7,-1.290950000000001,0.42,-0.02259999999999991,0.91,-1.0065935708112301,-1.080451290794203,0.043406000747679446,-1.0174169036277596,49.12244207902022,0.0013927581862015219,0.17065891660580798,0.04816552968262829,26.50896573800128,27.588970837008674,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1200,8,-1.0044500000000003,0.57,0.049300000000000094,0.94,-1.1325804802894555,-1.2553995392918926,0.06741902764137535,-1.1448048628626784,52.933003840165874,0.0021605540637591393,0.20517125105357162,0.047389095095203504,26.50896573800128,27.706522974011023,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1350,9,-0.7062500000000003,0.68,0.049300000000000094,0.94,-1.2503548003178266,-1.4385594501713004,0.09964464262620251,-1.263438256615893,55.825448124735914,0.005467329476096611,0.2028609296053249,0.046390258724441025,26.50896573800128,27.82357106701238,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1500,10,-0.45285000000000025,0.77,0.049300000000000094,0.94,-1.3612965297030333,-1.6447364269077582,0.138702846572976,-1.3752181659712792,59.14054349016394,0.0056327510200536975,0.2576535404960144,0.04526112610152126,26.50896573800128,27.93520178401377,7
