ablation,policy_optimizer,policy_gradient,alpha,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
adam_exact_baseline,adam,exact,0.001,4,0.001,50,1e-10,5,5,5,0,2294.1072896758096,0.89,0.89,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.9764880260290753,-0.9764880260290753,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,1,0.001,50,1e-10,5,5,5,0,3303.1351118415596,0.92,0.8800000000000001,0.040000000000000036,0.017888543819998333,0.03506154588719673,1.0,1.0,0.0,0.0,0.0,-0.9600306047342987,-0.9666823102062372,0.005208624883570486,0.0023293678617921066,0.0045655610091125285,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,16,0.001,50,1e-10,5,5,5,0,21827.78465966573,0.92,0.8620000000000001,0.04764451699828638,0.021307275752662516,0.041762260475218534,1.0,1.0,0.0,0.0,0.0,-0.9481276060549468,-0.97937888297133,0.021036711212343996,0.009407903258766637,0.018439490387182608,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,4,0.001,50,1e-10,5,5,5,0,8721.637747885008,0.91,0.8699999999999999,0.03535533905932741,0.01581138830084191,0.03099032106965014,1.0,1.0,0.0,0.0,0.0,-0.9526586937535112,-0.9743952657325341,0.031980015560331164,0.014301897742880302,0.028031719576045392,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,2,0.001,50,1e-10,5,5,5,0,7136.226851832541,0.9,0.8560000000000001,0.03507135583350036,0.015684387141358117,0.03074139879706191,1.0,1.0,0.0,0.0,0.0,-0.9680752818783885,-0.9824119168554463,0.011584088637287276,0.005180561930071451,0.010153901382940042,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,8,0.001,50,1e-10,5,5,5,0,14685.317450903216,0.9,0.8220000000000001,0.054954526656136336,0.02457641145488901,0.04816976645158246,1.0,1.0,0.0,0.0,0.0,-0.970512957494921,-0.983042086708023,0.013678670846822177,0.0061172875710678,0.011989883639292888,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,32,0.001,50,1e-10,5,5,5,0,31718.775200002267,0.87,0.8480000000000001,0.014832396974191338,0.006633249580710805,0.013001169178193177,1.0,1.0,0.0,0.0,0.0,-0.9649358511550008,-0.9774810600878364,0.010611630127771374,0.0047456652635563135,0.009301503916570374,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.01,4,3e-05,50,1e-10,5,5,5,0,4018.568426696351,0.83,0.8299999999999998,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,1.0,1.0,0.0,0.0,0.0,-0.9533637646914128,-0.9533637646914128,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.003,4,0.0001,50,1e-10,5,5,5,0,3419.15934163644,0.66,0.66,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.9751566052211083,-0.9751566052211083,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.001,4,0.0001,50,1e-10,5,5,5,0,4344.070069107041,0.56,0.56,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.9867131826646456,-0.9867131826646457,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.001,4,3e-05,50,1e-10,5,5,5,0,3306.454141411884,0.49,0.49000000000000005,6.206335383118183e-17,2.7755575615628914e-17,5.440092820663267e-17,1.0,1.0,0.0,0.0,0.0,-1.005637881337606,-1.005637881337606,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.001,4,3e-06,50,1e-10,5,5,5,0,3412.883636476379,0.4,0.4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0084649374713737,-1.0084649374713737,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
npg_exact_alpha_fisher,npg,exact,0.001,4,1e-06,50,1e-10,5,5,5,0,3504.1643716020044,0.35,0.35,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.9841272008647125,-0.9841272008647126,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
