problem,ablation,policy_optimizer,policy_gradient,alpha,eta,rho,T,theta_lambda,theta_lr,theta_inner_steps,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,adam_exact_baseline,adam,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,5,5,0,118.83003707741155,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9247000000000001,0.9247,1.1102230246251565e-16,4.965068306494546e-17,9.731533880729309e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,1,0.001,50,1e-10,5,5,0,488.9077806016081,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9249,0.9239600000000001,0.0006804410334480867,0.000304302481094026,0.0005964328629442909,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,2,0.001,50,1e-10,5,5,0,538.8116543174023,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9254000000000002,0.9244800000000002,0.0007014271166700994,0.0003136877428272036,0.000614827975941319,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,5,5,0,349.2602470353944,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9251,0.9243200000000001,0.0007259476565152052,0.00032465366161493335,0.0006363211767652693,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,8,0.001,50,1e-10,5,5,0,1663.738832208782,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9249000000000004,0.9239400000000002,0.0007503332592921363,0.0003355592347112385,0.0006576961000340274,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,16,0.001,50,1e-10,5,5,0,2901.2887047033873,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9257,0.9247,0.0006819090848492014,0.00030495901363949724,0.0005977196667334146,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,32,0.001,50,1e-10,5,5,0,5974.114103105606,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9244,0.9237400000000001,0.0007700649323271515,0.0003443835071544572,0.0006749916740227361,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,64,0.001,50,1e-10,5,5,0,6765.702517069818,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9253,0.9241600000000002,0.0010285912696499238,0.0004600000000000092,0.000901600000000018,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,128,0.001,50,1e-10,5,5,0,9499.296800675791,1.0,0.998,0.004472135954999584,0.002000000000000002,0.003920000000000004,1.0,1.0,0.0,0.0,0.0,0.9250000000000004,0.9220600000000001,0.005965148782721238,0.002667695634812962,0.005228683444233406,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,5,5,0,466.946753552428,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9204000000000001,0.9204000000000001,5.551115123125783e-17,2.482534153247273e-17,4.8657669403646546e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,5,5,0,462.36493487479163,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9218000000000002,0.9218000000000002,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,5,5,0,444.2329596631695,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9220000000000002,0.9220000000000003,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,5,5,0,433.8563681434025,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9209000000000002,0.9209000000000002,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,0.0001,50,1e-10,5,5,0,445.7046515226131,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9211000000000004,0.9211000000000003,5.551115123125783e-17,2.482534153247273e-17,4.8657669403646546e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,0.0003,50,1e-10,5,5,0,434.67196170802924,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9217000000000002,0.9217000000000002,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,5,5,0,364.286669838801,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9205000000000002,0.9205000000000002,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,0.003,50,1e-10,5,5,0,310.9953056758037,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9199000000000004,0.9199000000000004,1.1102230246251565e-16,4.965068306494546e-17,9.731533880729309e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,5,5,0,466.73675805400126,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9225000000000004,0.9225000000000003,5.551115123125783e-17,2.482534153247273e-17,4.8657669403646546e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,5,5,0,460.30650383279425,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9237000000000002,0.9237000000000002,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,5,5,0,463.38853977201506,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9232000000000002,0.9232000000000002,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,5,5,0,447.6787960245856,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9236000000000001,0.9236000000000001,5.551115123125783e-17,2.482534153247273e-17,4.8657669403646546e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
