problem,ablation,beta_update,T,alpha,eta,rho,theta_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,theta_optimizer,theta_start_mode,theta_include_beta_cov,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,intended_prob,dataset_path,seed,checkpoint_idx,checkpoint_step,num_trajectories,max_steps,eval_seed,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,status,error,run_idx
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,1,500,100,50,10000,0.0,-1.4348210614447543,-1.3999294732571987,1.190851753155904,0.0,-1.9150716981984397,-1.9150716981984413,2.1790954293635054,-1.13248437407343,-1.1979612269800999,0.008481511495390545,-1.1317144611529446,99.99999999999999,0.0007104209412703591,0.14134674804578412,0.04941837969357823,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,2,1000,100,50,10000,0.03,-1.2171530844350225,-1.1858064306680878,0.6664881495608315,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.0459911651860618,-1.1774750526197446,0.01714864873413077,-1.0442786690752004,99.99999999999999,0.0012208834062791677,0.1449011366551601,0.048684001209150084,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,3,1500,100,50,10000,0.38,-1.2113001094727638,-1.1638339741618315,0.3833035992413674,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.1161852284572429,-1.3299179052610053,0.029433353274556075,-1.1135324506411628,100.00000000000001,0.001996868263175833,0.15615469804303372,0.04802227294484152,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,4,2000,100,50,10000,0.46,-1.1957597886323423,-1.1580218889668183,0.28211062369507783,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.1965607261365183,-1.4946030181014147,0.04777434283067221,-1.192902367203335,99.99999999999999,0.004249171192491366,0.22364431593035855,0.04711789454998005,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,5,2500,100,50,10000,0.51,-1.2000817144447302,-1.137331221094933,0.23090695074334977,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.014749934082798,-1.3926107144506703,0.04801819441143451,-1.0100690043909148,99.99999999999999,0.0024901877066508095,0.15565019849612863,0.0464267310665306,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,6,3000,100,50,10000,0.54,-1.1795014933163885,-1.1355702717897167,0.201252553224338,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.9152173641085815,-1.3560708129534786,0.049654974771941036,-0.9096189496422276,99.99999999999999,0.0021774539645852786,0.14243233851387627,0.04617699138880553,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,7,3500,100,50,10000,0.58,-1.1282027535668064,-1.1118857918241014,0.1836634570800751,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.0143799971025407,-1.4437323385945602,0.07105548591194713,-1.007897820146153,100.0,0.008109622459618224,0.22594872364515034,0.04551330565652498,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,8,4000,100,50,10000,0.61,-1.1246310844792191,-1.0832027533755073,0.1695585385331983,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.1063080646496866,-1.7017854417555203,0.08839380425972797,-1.0989985182679054,100.0,0.00466629505885751,0.19166189983773751,0.04473017219272936,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,9,4500,100,50,10000,0.58,-1.1013824688654779,-1.0700885863759786,0.154423982962149,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.1339686318064568,-1.8708776268963407,0.10540914218229482,-1.1257332463620882,100.0,0.007246761925230257,0.20444948729715054,0.04399349710650226,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,10,5000,100,50,10000,0.59,-1.1512700645779903,-1.0987607686499938,0.1539670253357588,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.995388604988027,-1.7043548231113839,0.10258444291340751,-0.9861008991158036,100.00000000000001,0.008093139831127348,0.2109042686107829,0.04316357628478145,ok,,521
