ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_inner_steps,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
projection_dtheta,projection,warm,,0.3,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,warm,,1.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,warm,,3.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,warm,,10.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,warm,,30.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,warm,,100.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,warm,,300.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,zero,,0.3,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,zero,,1.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,zero,,3.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,zero,,10.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,zero,,30.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,zero,,100.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
projection_dtheta,projection,zero,,300.0,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_baseline,reg_fixed,warm,1e-08,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
reg_fixed_baseline,reg_fixed,zero,1e-08,,10,10,0,0,10,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
