problem,ablation,beta_update,T,alpha,eta,rho,theta_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,theta_start_mode,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,dataset_path,theta_optimizer,theta_include_beta_cov,num_trajectories,max_steps,seed,eval_seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,3e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,43,10000,cpu,ok,,1.0,1.0,0.9258000000000002,0.9300000000000002,100.2563595349784,109
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,3e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9258000000000002,0.9300000000000002,164.22642597201047,12
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,3e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,44,10000,cpu,ok,,1.0,1.0,0.9258000000000002,0.9300000000000002,175.76344051596243,142
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,3e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,46,10000,cpu,ok,,1.0,1.0,0.9258000000000002,0.9300000000000002,182.43892236391548,278
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,3e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,45,10000,cpu,ok,,1.0,1.0,0.9258000000000002,0.9300000000000002,186.3459633180173,148
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,300.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.925,0.9300000000000002,126.49768921203211,3
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,300.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,46,10000,cpu,ok,,1.0,1.0,0.925,0.9300000000000002,147.9108776639914,249
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,300.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,43,10000,cpu,ok,,1.0,1.0,0.925,0.9300000000000002,147.95146584702889,117
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,300.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,44,10000,cpu,ok,,1.0,1.0,0.925,0.9300000000000002,185.3954126429744,145
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,300.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,45,10000,cpu,ok,,1.0,1.0,0.925,0.9300000000000002,197.33022389304824,162
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,46,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,37.97824720200151,236
deterministic,reg_fixed_inner_steps,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,46,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,138.32929518201854,248
deterministic,reg_fixed_baseline,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,46,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,141.86897040100303,245
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,45,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,145.64874083094765,137
deterministic,reg_fixed_baseline,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,44,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,191.80570579890627,152
deterministic,reg_fixed_inner_steps,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,44,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,191.9878737500403,153
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,44,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,195.7897533539217,160
deterministic,reg_fixed_baseline,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,45,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,197.54111237300094,163
deterministic,reg_fixed_inner_steps,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,45,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,206.8947694490198,179
deterministic,reg_fixed_inner_steps,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,43,10000,cpu,ok,,1.0,1.0,0.9247,0.9300000000000002,88.22539229493123,125
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,43,10000,cpu,ok,,1.0,1.0,0.9247,0.9300000000000002,146.0235553450184,115
deterministic,reg_fixed_baseline,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,43,10000,cpu,ok,,1.0,1.0,0.9247,0.9300000000000002,146.41417962295236,116
deterministic,reg_fixed_inner_steps,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9247,0.9300000000000002,157.57438087603077,4
deterministic,reg_fixed_baseline,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9247,0.9300000000000002,159.83369703503558,6
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9247,0.9300000000000002,164.0901705089491,11
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-09,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9243000000000002,0.9300000000000002,91.98503914900355,2
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-09,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,43,10000,cpu,ok,,1.0,1.0,0.9243000000000002,0.9300000000000002,98.7602542770328,106
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-09,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,46,10000,cpu,ok,,1.0,1.0,0.9243000000000002,0.9300000000000002,135.1568554249825,244
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-09,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,45,10000,cpu,ok,,1.0,1.0,0.9243000000000002,0.9300000000000002,200.1193143640412,168
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-09,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,44,10000,cpu,ok,,1.0,1.0,0.9243000000000002,0.9300000000000002,207.47588824795093,180
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-08,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,46,10000,cpu,ok,,1.0,1.0,0.9242000000000001,0.9300000000000002,147.46451407391578,251
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-08,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,45,10000,cpu,ok,,1.0,1.0,0.9242000000000001,0.9300000000000002,174.8177705439739,141
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-08,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,44,10000,cpu,ok,,1.0,1.0,0.9242000000000001,0.9300000000000002,185.95324930897914,146
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-08,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,43,10000,cpu,ok,,1.0,1.0,0.9242,0.9300000000000002,102.60853961796964,110
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-08,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9242,0.9300000000000002,157.8262081440189,5
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,100.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,44,10000,cpu,ok,,1.0,1.0,0.9241000000000001,0.9300000000000002,159.8927896450041,139
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,100.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,46,10000,cpu,ok,,1.0,1.0,0.9241000000000001,0.9300000000000002,170.6137024910422,263
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,100.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,45,10000,cpu,ok,,1.0,1.0,0.9241000000000001,0.9300000000000002,191.04697913792916,151
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,100.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,43,10000,cpu,ok,,1.0,1.0,0.9241,0.9300000000000002,100.06660749198636,108
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,100.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9241,0.9300000000000002,160.07206677203067,8
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,3e-08,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,46,10000,cpu,ok,,1.0,1.0,0.9235000000000001,0.9300000000000002,181.74928195099346,276
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,3e-08,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,adam,False,100,20,44,10000,cpu,ok,,1.0,1.0,0.9235000000000001,0.9300000000000002,194.06622205802705,158
