alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_mode,theta_lambda,D_theta,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,num_trajectories,max_steps,max_steps_long,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_success_rate_200,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_success_rate_200,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0005,3e-05,0.1,5000,0.1,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:6,ok,,73.73048565909266,0.01,0.01,-1.0011088661152918,-1.0036000825206175,0.003094229374508503,0.0,0.0,-0.9999734386011134,-1.0000601106245386,4.387742598268983e-05,-66.9659924115324,1076.8578639311631,-137.2779564903842,-66.70284678166335,9750.81126688767,29.010332052858764,8.175185905134576,0.040369279686643944,127
0.0005,3e-05,2.0,5000,0.1,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:1,ok,,74.34031186602078,0.01,0.01,-1.0019406833585307,-1.0044989835674352,0.003375673859715924,0.0,0.0,-0.9999734386011134,-1.000060216724892,4.405292108553065e-05,-42.56491197302409,832.7738692134997,-94.24351090234565,-42.33343548878692,9349.622574307263,11.19988261197501,8.130057703152035,0.04609012077697379,442
0.001,3e-05,0.1,10000,0.003,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:1,ok,,115.85269088600762,0.0,0.0,-1.0278366426567802,-1.0291696147009135,0.03100295260300903,0.0,0.0,-0.9996774858481231,-1.0014668364489203,0.0011444175652259145,-4.804062563650261,-91.97622367299502,3.446450076332951,-4.715485691071428,756.9816701722658,1.2041251628312066,1.521569151960327,0.5111735883610774,2242
0.001,0.0001,0.1,10000,0.003,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:6,ok,,121.82846568082459,0.0,0.0,-1.009734108411469,-1.012164633250154,0.007743009846565972,0.0,0.0,-0.9999372353486797,-1.0011097479822717,0.0006160954810353629,9.312689545636783,-114.61611884806874,15.942603599496938,9.495910388217036,392.325322276239,6.3269597689071775,2.6314400910868456,0.23700660545177862,2767
0.001,3e-05,1.0,10000,0.01,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:2,ok,,114.52026491612196,0.0,0.0,-0.9997952183308356,-1.007520574720078,0.005172998643265059,0.0,0.0,-0.9999734386011134,-1.0004873422186118,0.00032559107177699995,17.8930491823529,-370.1607468027985,38.42067301127289,18.086706230853668,1518.2888542206686,8.780527378674117,6.437410574236925,0.12280852029228871,2459
0.0005,0.001,0.5,5000,0.1,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:3,ok,,74.15817186399363,0.0,0.0,-0.9998518332394104,-1.0009755372092826,0.0009714069520871139,0.0,0.0,-0.9999734386011134,-1.0000303524794552,3.7218212957904425e-05,-0.446798105814438,-8.152486878031715,0.9516878310205411,-0.2054440303139104,64.10975571375819,0.040657872774076,0.20623350501433863,4.092714439440962e-05,1812
0.0005,0.001,0.5,5000,0.003,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:6,ok,,138.12160789198242,0.0,0.0,-0.9998566170419568,-1.000950057318767,0.0009509356083098237,0.0,0.0,-0.9999734386011134,-1.0000358497100905,4.4610132417816026e-05,-0.41614830999004215,-8.126512030297649,0.9258721947672098,-0.1895048436788365,61.5632203281244,0.0024169874782135744,0.21126749163058844,8.751796871191085e-07,1792
0.0005,3e-05,0.1,20000,0.003,10,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:1,ok,,200.40558389108628,0.0,0.0,-0.9998671623276308,-1.0025682495303554,0.0014474717822214988,0.0,0.0,-0.9999734386011134,-1.0000511878169518,3.699885946783574e-05,3.714472473237634,-67.61357338544556,7.186053862694719,3.9495514709228905,612.1262930683419,0.9877649660103283,0.5960370308469708,0.04110471861087206,177
0.001,0.0001,0.5,20000,0.1,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:7,ok,,214.23877559392713,0.0,0.0,-0.9998850026240135,-1.0003893035947224,0.00029011744804140275,0.0,0.0,-0.9999734386011134,-1.0000044985695071,1.277811408353529e-06,-22.949589321772514,377.05392556028187,-46.81600160394047,-22.749647232596725,2898.786993849689,13.240301507015499,10.897624413271892,0.10040471055136214,2928
0.0005,3e-05,1.0,20000,0.03,10,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:1,ok,,204.5136337268632,0.0,0.0,-0.9999001940831072,-1.0008260831826006,0.0010172435449479155,0.0,0.0,-0.9999734386011134,-1.000051700767602,7.71720737623764e-05,8.179987707986665,-234.00045165089745,22.436437450276483,8.460386396855101,1570.313625947796,12.628187296371165,2.5109715423713603,0.030303205606328217,402
0.001,0.0003,0.01,20000,0.1,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:6,ok,,215.93862974387594,0.0,0.0,-0.9999067099187684,-1.001804022779251,0.00134225605788652,0.0,0.0,-0.9999734386011134,-1.0000874590424895,0.00011817767086842951,-0.10296108584415946,-1.3564475220644778,0.05494877057844737,-0.03149311389693498,25.171753185181775,0.0051872835777447,0.012698065302634249,4.1359894772610085e-05,3247
0.0005,0.001,0.5,5000,0.3,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:2,ok,,73.13782215095125,0.0,0.0,-0.9999144824411869,-1.00553672666398,0.003074247835402373,0.0,0.0,-0.9999734386011134,-1.0001722584605037,0.00012938262556871897,-0.440854563797868,-8.215892632102872,0.9659269336393284,-0.20253823538343507,63.523713015451406,0.04219763331089111,0.20334654341521652,0.0001225105447849095,1819
0.001,3e-05,2.0,10000,0.03,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:4,ok,,118.87254842789844,0.0,0.0,-0.9999627317593917,-1.0002874280879073,0.0003435974081128377,0.0,0.0,-0.9999734386011134,-1.000003125247602,1.1196797310441372e-07,-7.9323046857318396,262.92912199979463,-25.762410122154524,-7.300162891873542,988.024541478972,3.9237051597357238,4.826171566289646,0.04684653280116996,2573
0.0005,0.0003,0.1,20000,0.3,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:5,ok,,219.62125054607168,0.0,0.0,-0.9999729437187912,-1.0002671155706777,0.0002570564952883812,0.0,0.0,-0.9999734386011134,-1.000003080598728,3.4263697689351326e-08,2.840821821381425,-101.2146981236977,11.905079347601848,3.1435584877105165,18881.36526693392,80.04798135643685,28.681423971407803,0.11838345001535046,1254
0.0005,3e-05,0.1,20000,0.3,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:7,ok,,271.78756480896845,0.0,0.0,-0.9999729437187912,-1.0001133606857724,0.00011811798720596741,0.0,0.0,-0.9999734386011134,-1.0000031249399666,9.424787484770834e-08,-0.17642360662327472,-7.144534652850237,0.6617311199160167,-0.04395175066038398,93.9070637148754,0.10541195799571977,0.08567566566040433,1.320145948674994e-05,217
0.0005,0.0001,1.0,5000,0.01,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:3,ok,,68.64503525290638,0.0,0.0,-0.9999734386011134,-1.0000789075835246,6.67493548717668e-05,0.0,0.0,-0.9999734386011134,-1.000003087862652,3.424036450323974e-08,0.2004400043432799,-42.830486946691074,4.9646920026208585,0.7634379370912513,302.6912673975574,1.6229501314035932,1.1392959741688644,0.025798971924374428,851
0.0005,3e-05,0.01,5000,0.1,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,69.28439439390786,0.0,0.0,-0.9999734386011134,-1.0002096428569807,0.00020151912025267448,0.0,0.0,-0.9999734386011134,-1.0000031252495905,1.0823337112090847e-07,-2.109400486647644,556.6320971099884,-44.478229807075074,1.7062984089254964,2723.5699492369963,15.772885085632385,18.631113796103183,0.014694374133254499,25
0.001,0.001,0.1,5000,0.01,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,70.3387447251007,0.0,0.0,-0.9999734386011134,-1.0005774586511602,0.0005519137213109425,0.0,0.0,-0.9999734386011134,-1.000003441338717,6.043523978562709e-07,-0.3427704036934164,-2.8881290252511223,0.1302986259603017,-0.24587731383943867,33.043286717425545,0.5755555160616653,0.21565604572643496,0.04518370294088942,3791
0.0005,0.0003,0.5,5000,0.01,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,70.59632520307787,0.0,0.0,-0.9999734386011134,-1.0007769181873012,0.0007322568972974282,0.0,0.0,-0.9999734386011134,-1.0000358196751034,4.456791867888044e-05,-0.5828379516475634,-8.662601321401679,0.9755928496780276,-0.27398033691278495,74.02723290335348,0.003458134599883767,0.2506262286797646,3.7639709246673614e-06,1272
