alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_mode,theta_lambda,D_theta,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,num_trajectories,max_steps,max_steps_long,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_success_rate_200,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_success_rate_200,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0005,0.0001,0.01,5000,0.01,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:1,ok,,64.05767759704031,0.0,0.0,-0.9999696001243015,-1.0051282444000873,0.002871646078688134,0.0,0.0,-0.9999734386011134,-1.0005679977278543,0.00030306817856461804,-0.7141869986578322,-8.33037772040834,0.5047665623947912,-0.3244082032071672,80.5488616434812,0.12790794430391433,0.665658763310446,1.5550055357247e-06,536
0.0005,0.0001,0.1,5000,0.01,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:2,ok,,64.72349411097821,0.0,0.0,-0.9999697225751987,-1.0051845468921676,0.0029013005345148524,0.0,0.0,-0.9999734386011134,-1.0005679977278543,0.00030306817856461804,-0.7240303700743421,-8.584986258174432,0.5440097719291029,-0.3294840116818001,81.17644006897196,0.12552980179677176,0.7042499389691856,1.5609530769610493e-06,642
0.0005,0.0001,1.0,5000,0.01,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:4,ok,,66.61064441001508,0.0,0.0,-0.9999697225751987,-1.005654434151848,0.0031498510104883055,0.0,0.0,-0.9999734386011134,-1.0005679977278543,0.00030306817856461804,-0.8323618114796028,-10.84988194114303,0.9016019877340506,-0.38521399598333184,87.7637107860875,0.10358648736810563,1.0707601513690361,1.3382424659365486e-06,852
0.0005,0.0001,0.5,5000,0.01,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:3,ok,,68.23672871408053,0.0,0.0,-0.9999697225751987,-1.005411627412227,0.00302110493842595,0.0,0.0,-0.9999734386011134,-1.0005679977278543,0.00030306817856461804,-0.7699899339336571,-9.65330768987556,0.7105143821185527,-0.3531575734000313,84.03877330940418,0.11537411339476945,0.871750266942203,1.5168465148818337e-06,748
0.0005,0.0001,2.0,5000,0.01,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:5,ok,,71.51722618192434,0.0,0.0,-0.9999697225751987,-1.0060729313059853,0.003374812675340698,0.0,0.0,-0.9999734386011134,-1.0005679977278543,0.00030306817856461804,-0.9723413602356834,-12.836400810609774,1.231443464925546,-0.45684464659609153,95.57903185274021,0.08277771286256497,1.4361258574758722,1.3765353038160831e-06,957
0.0005,0.0003,2.0,5000,0.01,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:2,ok,,76.87571050703991,0.0,0.0,-0.9999697225751987,-1.0060751615189714,0.0033691468728855646,0.0,0.0,-0.9999734386011134,-1.0005679977278543,0.00030306817856461804,-0.7795908430472898,-11.411832727831396,1.115006401968573,-0.3579489520460144,84.60336541316092,0.09785564565102389,1.1625501452592977,1.3662121714379757e-06,1484
0.0005,3e-05,0.01,5000,0.01,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:3,ok,,58.950596692971885,0.0,0.0,-0.9999734386011134,-1.0029560919120686,0.0018005741585971947,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-1.6599503207713755,-19.191794089782345,0.4634786211936007,-0.7207872935378763,413.4938309750659,0.6722677652976913,0.553825486119336,0.0005530275263644855,9
0.0005,0.0003,0.5,5000,0.01,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:0,ok,,59.61428966198582,0.0,0.0,-0.9999734386011134,-1.0046083516206727,0.0025911783708605167,0.0,0.0,-0.9999734386011134,-1.0005679977278543,0.00030306817856461804,-0.5673249188311404,-6.738426837248735,0.4472148278346491,-0.2483582744528017,70.48369817645569,0.1414781052815352,0.4595391063191539,1.5436626061057491e-06,1272
0.0005,0.0003,0.01,5000,0.01,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:2,ok,,60.84366684104316,0.0,0.0,-0.9999734386011134,-1.0002835541028388,0.0002978751978356504,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-1.9748638986898928,-16.03933726130204,-0.030078210036913768,-1.8556138146678605,2149.157390017317,1.4867463270622177,0.22812495524409873,0.0015465686582487798,1058
0.001,0.0003,0.01,5000,0.01,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:0,ok,,60.990973482024856,0.0,0.0,-0.9999734386011134,-1.0003672199852616,0.00038968445156563607,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-0.14069534768424463,-2.3070225321073257,0.08030997815453368,-0.020692752491688993,203.44852025773727,0.03342125582394895,0.08905799132195144,9.543457038453283e-06,3159
