run_idx,status,error,elapsed_seconds,device,torch_threads,seed,dataset_size,epsilon,proportions,proportion_key,reset_mode,reset_support_size,extra_terminal_steps,collection_max_steps,intended_prob,fogas_T,fogas_alpha,fogas_eta,fogas_rho,fogas_D_theta,fogas_beta,coverage_beta,feature_coverage,unique_states,unique_state_actions,state_coverage_ratio,state_action_coverage_ratio,goal_transitions,pit_transitions,terminal_transitions,missing_nonwall_nonterminal_states,observed_goal_reachable,observed_goal_shortest_steps,reward_mean,reward_min,reward_max,planner_policy_return,planner_v_x0,planner_success_rate_50,planner_success_rate_100,planner_success_rate_200,planner_avg_return_50,planner_avg_return_100,planner_avg_return_200,greedy_success_rate_50,greedy_success_rate_100,greedy_success_rate_200,greedy_avg_return_50,greedy_policy_return,greedy_v_x0,greedy_v_gap,greedy_on_data_quality,solver_success_rate_50,solver_success_rate_100,solver_success_rate_200,solver_avg_return_50,solver_policy_return,solver_v_x0,solver_v_gap,solver_on_data_quality,final_lambda_norm,final_theta_bar_norm
3570,ok,,28.29186584497802,cuda:1,1,42,12000,1.0,20% optimal-eps / 80% random,20_80,uniform_50_occupancy_uniform_50,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,126.08279007056038,72,288,0.72,0.72,116,1128,1244,0,True,24,-0.20773375,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.8,0.8,0.8,-1.0175922263033577,-0.10421817789031476,-1.0421817789031478,0.033570284180791644,0.167785327818209,0.5,0.59,0.59,-1.0617530070283667,-0.1086549674828186,-1.0865496748281862,0.03227587718777559,0.14496635770066843,0.14559153470403519,484556.8262040253
3449,ok,,26.87913261493668,cuda:0,1,42,8000,1.0,70% optimal-eps / 30% random,70_30,uniform_50_occupancy_uniform_50,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,96.64768491770101,72,288,0.72,0.72,56,765,821,0,True,24,-0.21212937499999998,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.79,0.79,0.79,-1.0137770857062063,-0.10364473102478163,-1.0364473102478164,0.03144030396753431,0.11780950930382096,0.56,0.63,0.63,-1.048810532826618,-0.10658044893219311,-1.0658044893219314,0.02940136917735832,0.10292625826762021,0.14813373520947523,478689.9751326466
3408,ok,,27.50504056806676,cuda:7,1,42,4000,1.0,80% optimal-eps / 20% random,80_20,uniform_50_occupancy_uniform_50,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,59.223300081864245,72,282,0.72,0.705,24,368,392,0,True,24,-0.19888874999999995,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.79,0.8,0.8,-1.017140891040389,-0.10284299013683065,-1.0284299013683067,0.03181066900900426,0.17362367991923244,0.49,0.53,0.53,-1.0488216863719035,-0.10781592582151393,-1.0781592582151396,0.052679763446712394,0.15091696037993219,0.15091342096437466,471193.9253004253
3569,ok,,27.567516672890633,cuda:0,1,42,8000,1.0,20% optimal-eps / 80% random,20_80,uniform_50_occupancy_uniform_50,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,141.76397323598056,72,288,0.72,0.72,64,752,816,0,True,24,-0.207821875,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.79,0.8,0.8,-1.0193314682550676,-0.10377911281385573,-1.0377911281385575,0.033027831652663896,0.19998492460779171,0.45,0.53,0.53,-1.0573851819126747,-0.10863639594798732,-1.0863639594798735,0.032987119758236226,0.19499948706751655,0.14838620630238875,475597.54358804045
3450,ok,,29.606090838089585,cuda:1,1,42,12000,1.0,70% optimal-eps / 30% random,70_30,uniform_50_occupancy_uniform_50,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,124.83558158641878,72,288,0.72,0.72,68,1074,1142,0,True,24,-0.20674041666666665,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.79,0.79,0.79,-1.013101641356532,-0.1037066318813356,-1.0370663188133562,0.03173658542195062,0.14633338092270357,0.45,0.55,0.55,-1.0544346191708158,-0.10857786577718147,-1.085778657771815,0.029657859951977075,0.13395054178820276,0.1456649508814725,476081.23697197106
3568,ok,,26.24172877590172,cuda:7,1,42,4000,1.0,20% optimal-eps / 80% random,20_80,uniform_50_occupancy_uniform_50,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,184.99606537893231,72,287,0.72,0.7175,36,340,376,0,True,24,-0.20068124999999998,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.77,0.8,0.8,-1.0730907270277186,-0.10535016779957221,-1.0535016779957223,0.05748007351968273,0.3211328816909667,0.43,0.54,0.54,-1.1065824949360934,-0.11232716097701624,-1.1232716097701627,0.06623008817973547,0.32182776181050604,0.15458077975374904,474401.48854013433
3520,ok,,30.552896012784913,cuda:7,1,42,12000,0.5,50% optimal-eps / 50% random,50_50,uniform_50_occupancy_uniform_50,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,14.86301324560542,72,288,0.72,0.72,184,609,793,0,True,24,-0.15478583333333334,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.76,0.78,0.78,-1.0154986343422785,-0.10405118647389341,-1.0405118647389344,0.033131396029221924,0.13522657862729712,0.41,0.7,0.71,-1.062745670654552,-0.10605620200196916,-1.060562020019692,0.027337600127849627,0.12453802072702545,0.16237896946035055,475387.19445313496
602,ok,,27.89468819904141,cuda:1,1,42,2000,1.0,50% optimal-eps / 50% random,50_50,uniform_valid,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,214.83966032937582,72,276,0.72,0.69,44,168,212,0,True,24,-0.20551,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.75,0.79,0.79,-1.0186764838343847,-0.10247675854302096,-1.0247675854302098,0.027896950811119564,0.21733937476601312,0.47,0.72,0.76,-1.0175294085399818,-0.10198514438811923,-1.0198514438811925,0.015186738056653621,0.2159910260812349,0.15953325512304636,481880.2710051211
404,ok,,28.4549231370911,cuda:3,1,42,8000,1.0,95% optimal-eps / 5% random,95_5,uniform_valid,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,79.87064903714692,72,288,0.72,0.72,72,751,823,0,True,24,-0.20581937499999997,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.75,0.79,0.79,-1.0757828115896375,-0.10610879299686624,-1.0610879299686626,0.05621402035601706,0.28775767272176755,0.29,0.63,0.63,-1.066656558207618,-0.10813289322682826,-1.0813289322682829,0.042015777770367975,0.27509920446331604,0.14909971169964062,473693.4490726476
3567,ok,,29.12573317810893,cuda:6,1,42,2000,1.0,20% optimal-eps / 80% random,20_80,uniform_50_occupancy_uniform_50,66,3,50,0.8,20000,0.005,0.002,0.0005,60.0,1e-07,1e-07,149.02728141484445,72,279,0.72,0.6975,28,172,200,0,True,24,-0.2063175,-4.265,0.8350000000000001,-0.1000003069950309,-1.0000030699503093,0.0,0.0,0.0,-0.9948462247926807,-0.9999734386011134,-0.9999999992944929,0.67,0.79,0.79,-1.0160681717160034,-0.1029396865862815,-1.0293968658628152,0.030237088998059613,0.19080022454332796,0.46,0.66,0.66,-1.0446066583477287,-0.1054483243156417,-1.0544832431564173,0.02407555455051043,0.27186326742282024,0.1631420614780412,488349.0424782736
