run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,device,torch_threads,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm
3,Generalized FOGAS,12000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4678003856874062,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,3.6646651466744416e-05,2.6929038213105632e-05,-0.82274123760695,1.0,-0.8227633197143068,3.179484272454245e-05,74.62347004300682,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:2,1,7.046935257723108,64.10654168250059,-7.633000147713441,7.0926728193111295,568.4456946779403,0.00034058572070567994,2.7761546323255675,0.04398578859623023
1,Generalized FOGAS,4000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4653047701622464,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,3.799027924552939e-05,2.7924898143387803e-05,-0.82274123760695,1.0,-0.8227634824694373,3.2517934223951095e-05,74.57530644099461,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:0,1,7.154995957911808,56.05571652802686,-7.844913235793987,7.198778050478962,457.89553078212043,0.00033665628507774267,2.5437156150012856,0.044862489966347285
4,Generalized FOGAS,16000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4684255651635614,1.962615573354719e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,3.578174413160705e-05,2.629019316894573e-05,-0.82274123760695,1.0,-0.8227624881000384,3.0872447779187913e-05,74.86153758,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:3,1,7.2931644278937675,58.455469715097024,-8.40706345839161,7.338810283847619,448.03500184129166,0.00028127321584190263,2.658216635701684,0.043596711643345415
2,Generalized FOGAS,8000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.466840006411296,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,3.7556034230583656e-05,2.7602650782260418e-05,-0.82274123760695,1.0,-0.8227634205211848,3.227329258960595e-05,74.9010857900139,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:1,1,7.211530367341167,56.09951839547673,-7.888351141458076,7.255656184746809,451.5820038194609,0.00034011244130222745,2.537335308082954,0.04723189240935499
5,Generalized FOGAS,20000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4688506789151101,1.9625665073520523e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,3.769265104068748e-05,2.7694047516883318e-05,-0.82274123760695,1.0,-0.8227628123158532,3.1881498135346064e-05,75.47286467097001,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:4,1,7.330074431893747,63.45742510211607,-8.450047196144622,7.375588206438633,499.66203475629425,0.0002933474417376151,2.7388016278183107,0.046360783529106615
8,Generalized FOGAS,12000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5488595087238135,1.9744780803862732e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.26942307608797317,0.2005948719224095,-0.9251350236465761,0.99,-0.9261291376553104,0.19004990956861084,75.86896261700895,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:7,1,6.289769314923287,36.733342932436344,-0.8615309619782007,6.344393349492742,1150.60822363067,0.5959665732107505,2.8399325319154562,0.01889077751127553
6,Generalized FOGAS,4000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5557673313208145,1.962247548429143e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.2755653302727186,0.2050730428148924,-0.9244938953801161,0.96,-0.9240352661964706,0.19135916930974878,76.68734389400925,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:5,1,3.9439727640901108,59.22460421842951,-6.654963879767209,4.0198781914712285,1080.6897426909375,0.510619806272926,3.511837148983517,0.02467929689683024
7,Generalized FOGAS,8000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5504081303501414,1.968861471908425e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.3235261679345203,0.24166517684207173,-0.9382365236935964,0.97,-0.9416862225221907,0.22239061576837668,76.33771025500027,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:6,1,5.447875882914398,55.88966529534569,-7.5756548831082045,5.508042510378621,1136.039068510662,0.9086797976210128,3.344829787858668,0.03876772333690725
11,Generalized FOGAS,4000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8072701370943494,1.9816586882219586e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.3012698586239889,0.2220038518479853,-0.9565728289694982,0.94,-0.9540762229221008,0.21901793203075795,71.88529807599843,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:2,1,-2.960676310189614,20.596082961752593,-8.111384391742313,-2.8010328283772483,934.2518347015068,1.07596584118105,2.4346095758494424,0.03418747950241085
13,Generalized FOGAS,12000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8127157949595638,0.026619316294751078,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.2890395749887757,0.21652251740810388,-0.9503073113759372,0.96,-0.9514782183451542,0.22055412480384162,71.84114028999466,0.001,3e-05,1.0,10000,0.01,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:4,1,-0.6307929751246419,4.09003753646473,-5.178506823899895,-0.4682495445046568,899.125776171988,0.971775758712781,2.5424252850745264,0.047983175769316176
