alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.001,0.0001,0.5,3000,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,64.38184579700464,0.22,-0.8141351786098319,-0.5295140459783185,2.9701016274902683,0.96,-0.23748851957510334,2.77900842964902,0.09218174281018318,8.785949849219154,-132.882627071753,9.240619270078176,8.551025238968217,848.1360874771443,6.606087122364753,2.5098090310024057,0.06381862094165495,133
0.001,0.0001,0.5,3000,1.0,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,62.17170599597739,0.08,-0.8616178119722548,-0.9664305412456402,3.4388002145025665,0.95,-0.23395428431874785,2.780595610011163,0.14283407046360327,-40.607133856129245,290.02754128163997,-73.01393209887968,-39.42818041136846,3804.376131634545,83.65983499381787,61.515586769971065,0.11194853218982692,2272
0.001,0.0001,1.0,3000,0.001,10,3e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,141.40522185503505,0.95,-0.31049318119520763,2.397299506634435,0.1818988301273976,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.9140287282776869,-5.030883189149076,1.0859698298267408,-1.9291485362646277,111.9359303734091,0.010312434553495701,0.45120569824737944,0.029650871064034426,678
0.001,0.0001,1.5,3000,0.001,20,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,137.97776429599617,0.95,-0.31550602113777054,2.2768094437283897,0.34536615307385,0.94,-0.21027400066196392,2.967923004896019,0.0,-2.18234069792318,-15.566267566699818,3.8176553516217324,-2.194915906609641,236.02684997706936,0.062207279440678706,0.902795003979232,0.016301491025599506,1978
0.001,0.0001,1.5,3000,0.001,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,136.84435423795367,0.94,-0.29950785691820037,2.4082911166552163,0.18732460902924708,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.9585424776382039,-4.906519503845349,1.0414561008960719,-1.9760278895484158,110.14653348786003,0.01697261018641097,0.4269303393895144,0.030208766030188232,1977
0.001,0.0001,0.5,3000,0.001,10,3e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,148.23896719899494,0.94,-0.3015968784940731,2.414705217418469,0.1896771886688584,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.8483363366293997,-5.101177024073079,1.1516622131120209,-1.8686810661768443,110.08538464065369,0.016108766211892674,0.4598539060572876,0.028282752738379584,2363
0.001,0.0001,1.0,3000,0.001,10,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,216.91279868100537,0.94,-0.3016494128778057,2.400255347828388,0.1941044444114871,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.9122799307058298,-4.997384377835644,1.087718635937246,-1.931301996556204,111.21905494684786,0.010796412167389673,0.4346934963745865,0.029483348611028068,801
0.001,0.0001,0.75,3000,0.001,10,1e-08,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,55.964345553016756,0.94,-0.3017382145836615,2.3293957544224586,0.19419051127382284,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.8822495364555851,-5.04627745064702,1.1177490224781654,-1.901898164158598,110.83922123155908,0.011279067949705675,0.4485243267299918,0.02898300646593808,1467
0.001,0.0001,0.5,3000,0.001,20,1e-09,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,138.81622241297737,0.94,-0.3072102625824376,2.3226810063891214,0.31104023216853977,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.7281282232525923,-16.358946389495102,4.271867020956463,-1.74167803389094,233.9399772800166,0.09476025465943913,0.927890916537456,0.013142928982606578,2365
0.001,0.0001,1.0,3000,0.001,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,184.76159083895618,0.94,-0.32434120394826194,2.1885717793399526,0.3913741365081564,0.94,-0.21027400066196392,2.967923004896019,0.0,-1.964970907372316,-15.684092883627747,4.035024745309157,-1.9754521053485772,233.04619055576907,0.07668194710638708,0.8369438971963487,0.014120672041222448,725
