alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.001,0.0001,0.03,3000,0.001,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,206.76048751099734,1.0,0.8550847353108084,92.61882398595931,0.016489121850541376,1.0,0.86413069581398,93.13860013860585,0.0,-0.0731931456348071,-1.7300768880932802,0.00446794926258091,-0.13052834322000753,90.972459463463,0.008168372291421852,0.20241908479805776,0.013274451385997496,1673
0.001,0.0001,0.05,3000,0.001,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,188.185857065022,1.0,0.8549038035292608,92.64307368569317,0.016672795136482,1.0,0.86413069581398,93.13860013860585,0.0,-0.07051650952189786,-1.6985254252187247,0.010230160813725835,-0.12776575095038928,90.61098294297615,0.004500065283591336,0.180296262316802,0.013514001506823923,817
0.003,0.001,0.1,3000,0.3,20,0.001,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,205.34868526802165,1.0,0.8544910713043755,92.61727368923778,0.01123737381905621,1.0,0.86413069581398,93.13860013860585,0.0,0.41384180673852766,-0.33810845916655163,0.41504652140013515,-0.001504722699276459,1.8220783577702606,0.004029425025595378,0.1251181811434056,0.0005357350178851444,974
0.001,0.0001,0.1,3000,0.001,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,35.96177939500194,1.0,0.8541802618822295,92.54856635660263,0.018530352307622948,1.0,0.86413069581398,93.13860013860585,0.0,-0.06777152972977409,-1.7070025384333583,0.009436567355901319,-0.12475474381798625,89.96470527726352,0.02491666935325568,0.23919344939724166,0.009182207691088342,1792
0.003,0.001,0.05,3000,0.3,20,0.001,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,193.18487518001348,1.0,0.8539374058464118,92.6080018219086,0.011592695482612835,1.0,0.86413069581398,93.13860013860585,0.0,0.4441655237248926,-0.34074397034041265,0.44515897785816144,-0.001514174916261871,1.9129077592262251,0.01889992363940308,0.11945415213423813,0.0005296124410798613,943
0.003,0.001,0.075,3000,0.3,20,0.001,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,197.96855673298705,1.0,0.8539374058464118,92.61343433271449,0.011386735363044862,1.0,0.86413069581398,93.13860013860585,0.0,0.42849565280183355,-0.3336515882286942,0.42959643711809936,-0.001523778375819699,1.9371908619759923,0.018298274123358847,0.1194839895554795,0.0005261975952087271,953
0.003,0.001,0.03,3000,0.3,20,0.001,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,202.5354887630092,1.0,0.8537565665276109,92.60228430579429,0.011813681970929638,1.0,0.86413069581398,93.13860013860585,0.0,0.45721683247018663,-0.36837733376953297,0.45812241351219557,-0.001518918077597731,1.9126991559510234,0.012446033922626689,0.12135758233066199,0.0005241207558647154,967
0.003,0.001,0.003,3000,0.3,20,0.001,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,131.12393244099803,1.0,0.8535701534580294,92.59372500367454,0.012124921772138244,1.0,0.86413069581398,93.13860013860585,0.0,0.4756653797093688,-0.44777961431794544,0.47645526201667066,-0.0015219881374249143,1.9126955117625453,0.016068700654668016,0.12906865623451652,0.0005288335381717121,874
0.003,0.001,0.001,3000,0.3,20,0.001,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,150.28811663901433,1.0,0.8535701534580294,92.592756612794,0.012162668802991487,1.0,0.86413069581398,93.13860013860585,0.0,0.47689105050330144,-0.4353827106469463,0.47767223400123554,-0.0015119314960847893,2.0116769797359066,0.0023808037266543083,0.12426002217881096,0.000541680880366782,904
0.003,0.001,0.01,3000,0.3,20,0.001,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,195.41101618297398,1.0,0.8535701534580294,92.59635253754247,0.0120330802574177,1.0,0.86413069581398,93.13860013860585,0.0,0.47070090748527005,-0.4200313786576306,0.47152256481482074,-0.0015164862821988089,1.9629755972911906,0.001237190192925552,0.12451813176552846,0.000537386007439875,962
0.003,0.001,0.005,3000,0.3,20,0.001,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,215.4440662789857,1.0,0.8535701534580294,92.59450087734756,0.012088215022611417,1.0,0.86413069581398,93.13860013860585,0.0,0.47428773881593955,-0.4386476465549124,0.4750873796669545,-0.0015245202101757504,1.9011463356365221,0.014931767099728575,0.12856037577653617,0.0005304457674996675,998
0.003,0.001,0.2,3000,0.3,20,0.001,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,216.31912059499882,1.0,0.8523413387293312,92.61954013213285,0.010838695187214344,1.0,0.86413069581398,93.13860013860585,0.0,0.36071279283299207,-0.32952742188169254,0.3623056254099597,-0.0015281372526823956,1.921855711145508,0.00970202631526372,0.12817104071072932,0.0005333137539445457,992
0.001,0.0001,0.03,3000,0.003,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,145.40399703296134,1.0,0.8444166667675053,92.16639721609975,0.048311993889427425,1.0,0.86413069581398,93.13860013860585,0.0,-0.5410688630284755,-7.17607630244677,-0.3802196011428948,-0.6122056215474586,241.95122990323884,0.08285813236424086,0.5526564333955374,0.01711806777334808,1524
0.001,0.0001,0.03,3000,0.001,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,37.641969509015325,1.0,0.8424070527140302,92.17588460902327,0.06348369099051207,1.0,0.86413069581398,93.13860013860585,0.0,-0.23996818694931837,-3.9090315530293362,-0.13088107593179546,-0.30328329654447833,142.93196166940507,0.06872622470307159,0.4141560276340929,0.010661762315775702,1413
0.001,0.0001,0.2,3000,0.003,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,80.58710220496869,1.0,0.8416767757131092,91.99405193459356,0.06597191653434696,1.0,0.86413069581398,93.13860013860585,0.0,-0.5100613923601585,-6.50570235519513,-0.359539561893072,-0.5720393798586095,217.3210443390934,0.10394532954800463,0.47969221448212257,0.019866354138770595,2231
0.001,0.0001,0.1,3000,0.003,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,100,20,42,cpu,ok,,210.529454722011,1.0,0.8411969891942087,92.02517263045951,0.06038389087652343,1.0,0.86413069581398,93.13860013860585,0.0,-0.3485415831222804,-6.872120755107927,-0.12325709939688806,-0.4165889304259959,269.08637955090086,0.07740001054694605,0.4050226418768363,0.017804727685034855,2006
