alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_std_steps,greedy_success_rate,greedy_avg_env_return,greedy_std_env_return,solver_mean_steps,solver_std_steps,solver_success_rate,solver_avg_env_return,solver_std_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0001,1e-06,0.02,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,924.6905168140074,167.9,22.30819480719037,0.7,-167.9,22.30819480719037,167.0,23.079572497485014,0.7,-167.0,23.079572497485014,-102.67490588139263,-99.72816938113633,-0.5198472918308105,-102.67999767070908,374.3330787241394,0.06886292669904492,5.038000285670841,0.41443295355092263,62
0.0001,1e-06,0.005,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,915.0519416030147,164.4,12.553883861180172,0.9,-164.4,12.553883861180172,179.4,21.767457872296948,0.5,-179.4,21.767457872296948,-102.66493486172438,-99.45875624880242,-0.5107731583641857,-102.66954310896526,405.7852108985468,0.0652606053542358,6.25660747005108,0.4147488467689957,52
0.0003,1e-06,0.1,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,911.9616918959655,143.1,1.4491376746189437,1.0,-143.1,1.4491376746189437,179.9,26.155305389155753,0.4,-179.9,26.155305389155753,-102.72036770991876,-99.0836581987996,-0.5647152626452532,-102.72536222307372,367.9433617650079,0.004176239340433111,4.486575056721695,0.4145867735769569,284
0.0003,3e-07,0.05,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,922.377243786992,166.1,3.4140233677518315,1.0,-166.1,3.4140233677518315,182.8,18.213548070964464,0.5,-182.8,18.213548070964464,-341.89570469547925,-331.76281980472925,-1.7436384518164807,-341.898298298216,925.6230114078195,2.285388266492947,127.47088272776517,0.46653763570981927,229
0.0003,3e-07,0.05,20000,0.001,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,909.2857278489973,157.0,1.1547005383792515,1.0,-157.0,1.1547005383792515,184.2,20.703193527140257,0.4,-184.2,20.703193527140257,-342.0364602649295,-328.4494759579156,-1.881548140629154,-342.04143315879696,942.9648417065418,0.029755505834698694,19.26945503764424,0.4210400189496138,228
0.0003,3e-07,0.5,20000,0.001,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,903.9041269019945,146.8,2.3475755815545343,1.0,-146.8,2.3475755815545343,185.7,23.10868042773345,0.3,-185.7,23.10868042773345,-340.48167077629324,-329.6895413670942,-1.676773363367839,-340.48638891021517,928.1310910353975,0.017856135604869434,12.266693448198648,0.4158171273370163,248
0.0002,3e-07,0.02,20000,0.001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,925.9323370740167,150.3,2.7100635498903793,1.0,-150.3,2.7100635498903793,186.1,22.38774466334452,0.3,-186.1,22.38774466334452,-342.16795600331716,-335.1654383534098,-2.015984675498096,-342.17159520087876,897.7386689658537,4.382926993693224,152.08243270658545,0.46775592709855407,120
0.0003,1e-06,0.5,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,901.9274453980033,170.3,10.625441167311596,0.9,-170.3,10.625441167311596,186.8,17.1386502774674,0.4,-186.8,17.1386502774674,-340.89448702023395,-334.7608052954281,-0.7398267534140756,-340.89679605890456,938.3886550134241,0.039711368445502784,27.431737650723974,0.4137755976071297,297
0.0003,1e-06,0.05,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,898.9061347619863,200.0,0.0,0.0,-200.0,0.0,191.8,17.287117875587143,0.2,-191.8,17.287117875587143,-102.6944032804992,-98.81307389638381,-0.5381365068585378,-102.69949771389766,362.12808668837175,0.049541773342394846,5.603120455175214,0.41460593858310596,273
0.0001,1e-06,0.02,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,930.3620554219815,166.4,23.2197234168617,0.7,-166.4,23.2197234168617,195.8,13.281566172707192,0.1,-195.8,13.281566172707192,-102.64163530443209,-100.48764238752725,-0.49036501398917776,-102.64608131440892,342.85807609066603,0.19858498281424453,19.80857149308283,0.41899308313449185,63
