alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,feature_type,rbf_bins,rbf_centers,feature_dim,variance_scale,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,param_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0003,1e-06,0.5,20000,0.001,10,1e-08,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,751.8975809490075,154.44,1.0,-154.44,200.0,0.0,-200.0,-6.818765655916112,-6.819372322497044,0.00010053343766832619,-6.818777525801584,504.3329762409287,2.4792057512570735e-08,0.09581456015884342,0.019016999800422735,1437
0.0003,1e-06,0.005,20000,0.001,10,1e-08,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,755.9741876859916,154.44,1.0,-154.44,200.0,0.0,-200.0,-6.8187652832152885,-6.819374086115396,0.00010089106997286002,-6.8187772023666495,504.3306990126125,2.4925164882719778e-08,0.09581325605376848,0.01901701841770999,1365
0.0003,1e-06,0.02,20000,0.001,10,1e-08,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,756.7718660399551,154.44,1.0,-154.44,200.0,0.0,-200.0,-6.818765294538216,-6.819374032537239,0.00010088020496695585,-6.818777212192347,504.3307681790974,2.4921194562742827e-08,0.09581329563181044,0.01901701792647509,1389
0.0003,1e-06,0.1,20000,0.001,10,1e-08,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,761.6587674709735,154.44,1.0,-154.44,200.0,0.0,-200.0,-6.818765354896953,-6.8193737469318405,0.00010082228776839407,-6.818777264570433,504.33113699790874,2.4899829072425247e-08,0.09581350685976163,0.019017014773626845,1412
0.0003,3e-07,0.02,20000,0.001,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,758.6995153869502,155.1,1.0,-155.1,200.0,0.0,-200.0,-6.819267650731902,-6.819496101150899,3.738093060428545e-05,-6.819271207552136,685.8001771946033,1.4156230683376912e-08,0.10769398804975623,0.019023170935140422,1292
0.0003,3e-07,0.5,20000,0.001,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,759.5793331739842,155.1,1.0,-155.1,200.0,0.0,-200.0,-6.819267688847166,-6.819495907396094,3.734296028432383e-05,-6.819271241615795,685.7997576095864,1.4136535574956786e-08,0.10769431377792367,0.019023161901393696,1340
0.0003,3e-07,0.1,20000,0.001,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,760.5835270370007,155.1,1.0,-155.1,200.0,0.0,-200.0,-6.819267657088472,-6.8194960688381,3.737459823551808e-05,-6.819271213232964,685.8001071737965,1.4152945133465216e-08,0.1076940423405966,0.019023169426836246,1316
0.0003,3e-07,0.005,20000,0.001,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,760.5921310059493,155.1,1.0,-155.1,200.0,0.0,-200.0,-6.819267649539857,-6.8194961072104565,3.738211810220323e-05,-6.819271206486815,685.8001903273562,1.4156846565264768e-08,0.10769397787235134,0.019023171218965993,1268
0.0003,1e-06,0.1,20000,0.001,10,1e-07,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,753.2869825250236,156.12,1.0,-156.12,200.0,0.0,-200.0,-6.818635371968231,-6.81922700704166,9.962105888983635e-05,-6.818647422072794,490.0451969005853,1.495118879022583e-08,0.09559781372417482,0.018983600634740975,1414
0.0003,1e-06,0.005,20000,0.001,10,1e-07,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,754.1147226289613,156.12,1.0,-156.12,200.0,0.0,-200.0,-6.818635303659085,-6.8192273373655246,9.968930710270011e-05,-6.818647363589581,490.04519951197665,1.4968180294573664e-08,0.09559774134795825,0.018983600817643033,1366
