status,error,seed,lambda_entropy,eta,lr_value,lr_policy,tau,max_buffer_size,batch_size,episodes,collect_per_episode,updates_per_episode,epsilon,elapsed_seconds,buffer_size_final,objective,v_sbeed_minus_v_lambda_star_l2,v_sbeed_minus_v_lambda_star_linf,v_sbeed_minus_v_star_l2,v_sbeed_minus_v_star_linf,soft_bellman_residual_linf,hard_bellman_residual_linf,V_sbeed,V_lambda_star,V_star
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,10,0.1,14.783544063568115,3000,0.04102822647279356,1.759312190729588,1.012426036030388,1.7333648018448269,0.9999493875972146,0.9999149152621017,0.9999149152621017,"[-0.00017174263502834426, -3.266448652793438e-05, -0.00022671103759151385, -3.1173288169673626e-06, 0.0, 0.00023272968594659723, -2.7392104528867166e-06, 5.061240278535634e-05, -3.830259456987415e-05]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,10,0.2,14.56648850440979,3000,0.040992908281321856,1.7593063241590352,1.0124125871761829,1.7333589723904828,0.9999359387430095,0.9998862968267331,0.9998862968267331,"[-0.00017678558294172765, -3.0869249587808e-05, -0.0002660767082271499, -8.22688443227277e-06, 0.0, 0.0002711681321799223, 8.15959396952558e-06, 6.406125699050766e-05, -5.5157684751491105e-05]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,10,0.3,14.415693759918213,3000,0.041671932887533354,1.7593015478020597,1.012412102347639,1.7333539849997521,0.9999354539144656,0.999886551521392,0.999886551521392,"[-0.00016876444469681118, -3.13400266234923e-05, -0.00022306269681966946, -1.1124891481494181e-05, 0.0, 0.00022812633544165318, 6.4381522451819816e-06, 6.454608553438563e-05, -5.433599230394867e-05]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,20,0.1,26.640594959259033,3000,0.04100486304610883,1.759318636953833,1.0124257207562093,1.7333713490967044,0.9999490723230361,0.9999135422953941,0.9999135422953941,"[-0.00018253235401997277, -3.7134673577374033e-05, -0.0002507859270610313, 6.569365153496099e-07, 0.0, 0.0002572865496709428, -6.859023321933473e-06, 5.0927676963952894e-05, -3.9477808491168126e-05]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,20,0.2,26.726729154586792,3000,0.041013122326720046,1.7593133187446852,1.0124159084301714,1.7333660634049,0.9999392599969981,0.9998909477350297,0.9998909477350297,"[-0.00018610609070435045, -3.8797012822937605e-05, -0.0002837602343214028, -7.7701973712842e-06, 0.0, 0.000290794533700266, 9.038436407267056e-06, 6.074000300192443e-05, -5.368029107598405e-05]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,20,0.3,26.568281888961792,3000,0.04166960401174392,1.7593062394608907,1.012410849615951,1.733358769204035,0.9999342011827775,0.9998824080120952,0.9998824080120953,"[-0.0001814336226741197, -3.769232967442151e-05, -0.0002513453821151009, -7.96403502140435e-06, 0.0, 0.0002563573659824279, 8.207287808186996e-06, 6.579881722245688e-05, -5.754796742474519e-05]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,20,10,0.3,9.795730829238892,3000,0.039044782204530754,1.759260875602368,1.0123417895320157,1.7333126597703894,0.9998651410988425,0.9997549684376931,0.9997549684376931,"[-0.0001181817095995318, -4.1178618218256445e-05, -0.00022008231105662092, -3.195267169349915e-05, 0.0, 0.00022010179546683658, -1.5615637743639107e-06, 0.00013485890115754893, -0.00012241406794384366]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,20,10,0.1,9.794597625732422,3000,0.045622506850708934,1.759263597203355,1.0123289341667667,1.7333154954880157,0.9998522857335934,0.999743274183793,0.999743274183793,"[-0.00011887168585347981, -3.925288373613617e-05, -0.0002404002614971353, -3.491648464483087e-05, 0.0, 0.00024137605442086627, -1.722350934007465e-05, 0.0001477142664066056, -0.0001211239442226771]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,20,10,0.2,9.907727241516113,3000,0.04101439126341435,1.7592783251605468,1.0123553215372283,1.7333305163112962,0.9998786731040551,0.9997868913344031,0.9997868913344031,"[-0.00012666299890631014, -3.4570629912439046e-05, -0.00026534129866247186, -3.6497899729979044e-05, 0.0, 0.000263727079359764, -7.274328570551032e-06, 0.0001213268959449277, -0.00010197974405775315]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,20,20,0.3,15.038462400436401,3000,0.03903366364109991,1.7592668467148656,1.0123421701665998,1.7333187128123886,0.9998655217334265,0.9997530897263287,0.9997530897263287,"[-0.00013036859837314062, -4.261883020598849e-05, -0.0002415137716247827, -2.9850600669949246e-05, 0.0, 0.00024223686851192755, -3.427501359680657e-06, 0.00013447826657358593, -0.0001249244523308277]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,20,20,0.1,15.384907960891724,3000,0.0456312750390352,1.759268720493897,1.012327427049992,1.7333207263887946,0.9998507786168188,0.9997406784009084,0.9997406784009084,"[-0.00013090109493898435, -4.8345180542159373e-05, -0.0002689713316632429, -3.414927119505884e-05, 0.0, 0.0002704631797019281, -1.4115772462977165e-05, 0.0001492213831811935, -0.0001223335732337218]","[0.46709547648640215, 0.3203859287560712, 0.18834733579877364, 0.6301060850756584, 0.8112289835081654, 0.013862942794293169, 0.8112289835081654, 1.0124766484331733, 0.013862942794293169]","[0.4580000000000002, 0.31220000000000014, 0.1809800000000001, 0.6200000000000001, 0.8, 0.0, 0.8, 1.0, 0.0]"
