ok,run_id,seed,seconds,episodes_completed,stopped_early,stop_reason,episodes,collect_per_episode,updates_per_episode,initial_collect_steps,max_buffer_size,tau,rollout_length,lambda_entropy,eta,lr_value,lr_rho,lr_policy,fisher_damping,batch_size,epsilon,eval_return_mean,eval_return_std,eval_return_median,eval_return_min,eval_return_max,eval_length_mean,eval_done_rate,eval_success_rate,score,mean_best_prob,min_best_prob,mean_entropy,best_actions,best_probs,last_objective,last_primal_mse,last_dual_mse,last_theta_grad_norm,last_beta_grad_norm,last_policy_grad_norm,tail_objective_mean,tail_objective_std,tail_primal_mse_mean,tail_primal_mse_std,tail_dual_mse_mean,tail_dual_mse_std
True,0,42,337.052170753479,1500,False,,1500,20,10,1500,12000,100000.0,1,0.02,0.01,0.001,0.001,0.001,0.001,512,0.3,-0.24314822483465823,0.23235722810377202,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.863333333333333,1.0,0.9466666666666667,-0.3013107296825173,0.5563192718878467,0.27765480116577373,0.9609641318587612,"[1, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 3, 3, 3, 3, 1]","[0.2787718020589454, 0.3305772784576824, 0.31995645075026813, 0.3233443982219802, 0.40699239269756976, 0.3298147355935554, 0.6271099559381781, 0.6870473821360157, 0.5173075771396434, 0.49736540514329053, 0.3341441617892749, 0.32850479151198503, 0.27765480116577373, 0.6596248030593144, 0.9951772298745416, 0.33241086907725953, 0.5709498525725213, 0.7337052886337025, 0.8423830631257727, 0.9992092370683161, 0.4080574924733806, 0.5673825765302908, 0.993519579725486, 0.9983760873655732, 0.5485945850858467]",0.010928022001588166,0.01099860881363493,0.007058681204676411,0.008559669068113087,0.0038464956667687016,0.016911199446363552,0.01091015359529966,2.0602258694741586e-05,0.010980535619264667,2.070513442756767e-05,0.007038202396500691,1.2318479287414508e-05
True,2,44,340.10820484161377,1500,False,,1500,20,10,1500,12000,100000.0,1,0.05,0.03,0.001,0.001,0.001,0.001,512,0.35,-0.3217389033859093,0.3018196366054626,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,11.68,1.0,0.9233333333333333,-0.397256801432378,0.4651343744777327,0.2527750618613742,1.09809851010369,"[1, 3, 3, 0, 1, 1, 3, 3, 3, 1, 1, 0, 2, 0, 1, 3, 1, 2, 3, 1, 3, 3, 3, 3, 1]","[0.25347486773444294, 0.2581768919807043, 0.26838546617953496, 0.2559421991348508, 0.3172340689892889, 0.2527750618613742, 0.6096508774893944, 0.6548143984118557, 0.4288356730549864, 0.32173579491495086, 0.2677584941499677, 0.26806258163037106, 0.4153714999878448, 0.4884880440863246, 0.8889452849239743, 0.2573521034682273, 0.3849198795644808, 0.5163494443160834, 0.482177760151257, 0.9727951398637757, 0.31278683135998436, 0.3015509840890647, 0.8522969648262806, 0.9276624252979669, 0.6708166244763303]",0.004514686087577904,0.004615943510657864,0.003375247435998686,0.0011526960220620208,0.0014541208723874654,0.004818800704362148,0.004564535551812727,2.3155669955609918e-05,0.004667695127348822,2.410924776691335e-05,0.003438652517869818,3.1993820959496615e-05
True,3,45,343.74610686302185,1500,False,,1500,20,10,1500,12000,100000.0,1,0.08,0.03,0.001,0.001,0.001,0.01,512,0.35,-0.9999734386011134,2.224156070299059e-16,-0.9999734386011132,-0.9999734386011132,-0.9999734386011132,100.0,0.0,0.0,-1.0000218130021303,0.31301580658081335,0.2516427402713832,1.3507285555157804,"[0, 2, 2, 2, 2, 0, 3, 3, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 2, 1, 3, 1, 2, 3, 3]","[0.2592844861909962, 0.2727546649839243, 0.28295783212639763, 0.2771251895893244, 0.25760995302894685, 0.27203088925475033, 0.28173372403152375, 0.29809896028997174, 0.3371637422345577, 0.2945872873112079, 0.2873227515287849, 0.3110560497440897, 0.37005395147526005, 0.3888564182395595, 0.2961087464435476, 0.28149477803439477, 0.3348052367449958, 0.42614963798172595, 0.3169163385135409, 0.37401765413581767, 0.2516427402713832, 0.2837642778600286, 0.31608397333490107, 0.38551426129296845, 0.3682616198777348]",0.002696873524274748,0.002748260957024961,0.0017129144250071047,0.003551555624424915,0.002722004534239356,0.0053183630657781785,0.0026988775744651943,3.1745627526917245e-05,0.00274930513016305,3.4723631491479794e-05,0.0016809185232618514,0.00010915487676725098
True,1,43,352.8369116783142,1500,False,,1500,20,10,1500,12000,100000.0,1,0.05,0.01,0.001,0.001,0.001,0.001,512,0.3,-0.25900465123464783,0.23984404715519356,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,10.423333333333334,1.0,0.96,-0.31901979659094565,0.48804763539106605,0.2551999393050627,1.0688305743161883,"[1, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 2, 2, 0, 1, 3, 1, 2, 3, 1, 3, 3, 3, 3, 3]","[0.2551999393050627, 0.2660687285386135, 0.27980960429134893, 0.2683944273486018, 0.32836676588199326, 0.2604280791732979, 0.5950282062138719, 0.6429635825330968, 0.4314095245482784, 0.40735768669764194, 0.2683299899162228, 0.2653459891812851, 0.4722678753374152, 0.4091375966270691, 0.919587826020256, 0.26587281158749665, 0.41255328889714676, 0.612672621428659, 0.6889539637235728, 0.9585164908018138, 0.32758740642821166, 0.37779510902702373, 0.9277480440107736, 0.9816470815431073, 0.5781482457147903]",0.004489105159643849,0.004517713802486508,0.002860864284265947,0.0033307038795751874,0.0021347688939751517,0.005459040613551389,0.004452323971353213,2.7500328319268746e-05,0.004480787773060215,2.7558138314050723e-05,0.00284638017070022,1.0664466053402427e-05
True,14,56,372.18020820617676,1500,False,,1500,20,10,1500,12000,100000.0,1,0.02,0.03,0.001,0.001,0.001,0.01,1024,0.3,-0.2643477313610952,0.27133929330372636,-0.13906557999999997,-1.0000000000000004,-0.04340619999999995,9.74,1.0,0.9066666666666666,-0.33223454145427883,0.40783501446954645,0.26779393001978147,1.2370491312365794,"[3, 3, 3, 3, 1, 1, 3, 3, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 1]","[0.26779393001978147, 0.28427783860066685, 0.3034761822055447, 0.2978276242107078, 0.3651348216591726, 0.275267247559022, 0.29112913643678173, 0.3658939953869373, 0.38202475757363136, 0.4972293479756264, 0.28154885172302246, 0.29816393562371213, 0.2839783071330095, 0.3715771091003963, 0.7828348413529405, 0.2759315144975348, 0.336150407195279, 0.33701405999115885, 0.4878473433808552, 0.8414762273878824, 0.3142144373163768, 0.3811626903431856, 0.6392520395884659, 0.709951238188041, 0.5247174772889296]",0.008358843509838777,0.008464948676826126,0.0035368388995783485,0.0033976709738795957,0.0021883352667005614,0.012765077431646768,0.008164966926026761,0.00014185822342481508,0.0082659845591153,0.00014514921137515275,0.003367254436284566,0.00012420782545479993
True,15,57,374.4914393424988,1500,False,,1500,20,10,1500,12000,100000.0,1,0.05,0.03,0.001,0.001,0.003,0.01,1024,0.35,-0.2265925510008745,0.24055374344556285,-0.13906557999999997,-1.0000000000000004,-0.04340619999999995,9.63,1.0,0.94,-0.28679261236087494,0.48960861330066163,0.2653458725109896,1.080980207017842,"[1, 3, 3, 3, 1, 1, 3, 3, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]","[0.2653458725109896, 0.29386670948763755, 0.3230297927002462, 0.2991653494578788, 0.4065868960440131, 0.28468713679801155, 0.4666551760106932, 0.6017229879382553, 0.5521076088599528, 0.43856380989902, 0.3175234363360451, 0.3326143231303642, 0.3730558712949905, 0.40130220290032753, 0.9152030379399295, 0.3068690774644635, 0.4893141152640276, 0.36071438257480765, 0.47909599285149, 0.9637887825186277, 0.3976793816005144, 0.45016229116299755, 0.9331833945501903, 0.9805083230344152, 0.6074693801866513]",0.006198959963773752,0.006317632210132273,0.003955741545284032,0.0030860807524904768,0.0031131295150411665,0.012319301997693953,0.006206336444690187,6.394760006150591e-05,0.00632345828170749,6.804970563126452e-05,0.003904061233910132,0.00014341390417846068
True,5,47,598.3361036777496,1500,False,,1500,20,10,1500,12000,100000.0,2,0.02,0.03,0.001,0.001,0.001,0.001,512,0.3,-0.25442109122602746,0.2516772081687569,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.803333333333333,1.0,0.9266666666666666,-0.31749921751844173,0.8384879439580253,0.3706195347947523,0.40009916278980084,"[3, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 3, 3, 3, 3, 3]","[0.3706195347947523, 0.6666646926593078, 0.719526144279339, 0.6718216183254035, 0.9684224752411215, 0.6165587044814207, 0.8450829091183303, 0.9970664158544219, 0.9997395910757474, 0.9116030756569816, 0.6908690893890957, 0.9654946161883073, 0.5353401663529755, 0.9773120114329729, 0.9864551109382307, 0.6269015119709869, 0.999903042541742, 0.9998613264619399, 0.9333155553606246, 0.9894405335864659, 0.952744058233701, 0.8770401620293189, 0.9887691760723162, 0.9959982323922698, 0.6756488445128588]",0.04072494742441639,0.04150809946536177,0.02610506803151281,0.017938797947497545,0.013350625589447922,0.06697170639452889,0.04021178018159752,0.0002002393375203322,0.04096416107679247,0.00021464623656801006,0.02507936317316474,0.0005358726806903002
True,4,46,598.7274479866028,1500,False,,1500,20,10,1500,12000,100000.0,2,0.02,0.01,0.001,0.001,0.001,0.001,512,0.3,-0.25931909462836994,0.252187716685675,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.836666666666666,1.0,0.9266666666666666,-0.322522737528427,0.8131184945838881,0.37514615017572506,0.45838689647156416,"[1, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 3, 1, 3, 1, 1, 1, 1, 3, 3, 3, 3, 3]","[0.37514615017572506, 0.6434515211018955, 0.6477595425454175, 0.6707541099296498, 0.944846516863895, 0.5503875129741765, 0.6901728404574201, 0.984215854269129, 0.999118590783106, 0.929668594189653, 0.5972203788868232, 0.8577416714464989, 0.397846819147413, 0.9537878251897698, 0.995992785860098, 0.6793169387076865, 0.9991177799736148, 0.9992124207335662, 0.9290116863716835, 0.9969326156699605, 0.9418088106439513, 0.8920564171036052, 0.9924638260211369, 0.9970603502737937, 0.6628708052775328]",0.03784700362093975,0.03809193442287993,0.024493080194018284,0.016788762856636268,0.02165923889278078,0.05303612709772295,0.03777737229739273,8.035733737917428e-05,0.038021603064256795,8.078897761963801e-05,0.02442307668640582,5.06766710206876e-05
True,9,51,608.9685611724854,1500,False,,1500,20,10,1500,12000,100000.0,2,0.05,0.01,0.001,0.001,0.003,0.01,512,0.3,-0.2456821777796579,0.24299284840509597,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.72,1.0,0.9333333333333333,-0.30655811096542496,0.6061311581091395,0.29451007502336385,0.9378527515216257,"[1, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 0, 3, 1, 3, 1, 1, 1, 1, 3, 3, 3, 3, 3]","[0.29451007502336385, 0.341530997459025, 0.3439023932610505, 0.3209640610268909, 0.5497108781889237, 0.3766824983402623, 0.6462512123208708, 0.7741108156955199, 0.6793594621005462, 0.5845434124214715, 0.42047788409540876, 0.508325268817671, 0.3908571400155242, 0.5708342681962367, 0.893246698975656, 0.3936259583236696, 0.749947943214429, 0.8006516594423733, 0.6582902728799584, 0.9218128783183868, 0.6765237218512433, 0.7045408987115537, 0.9440916289839949, 0.9653616807546441, 0.6431252443098148]",0.02310551089077183,0.023270707705894594,0.0165196815122763,0.014435519893003915,0.0076418082867858944,0.01079685250040913,0.02300096266941293,9.992942866727568e-05,0.023166206734771516,0.00010028904960341193,0.01652440653585849,4.2081310566383746e-05
True,6,48,609.4230673313141,1500,False,,1500,20,10,1500,12000,100000.0,2,0.05,0.03,0.001,0.001,0.001,0.001,512,0.35,-0.23651262656235877,0.23961318751576813,-0.13906557999999997,-1.0000000000000004,-0.04340619999999995,9.816666666666666,1.0,0.9466666666666667,-0.2965000878215333,0.5633991365664077,0.261874779935525,0.972657758259117,"[1, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 0, 0, 1, 3, 1, 2, 3, 1, 3, 3, 3, 3, 1]","[0.261874779935525, 0.28882865206076735, 0.30524400984619304, 0.30091632147421715, 0.43808315122945296, 0.27759892805607844, 0.8076024355536239, 0.8277539845510047, 0.5746872573076064, 0.6467981344820385, 0.3049420829147483, 0.31265474841266727, 0.49811340540217747, 0.7023879995361123, 0.9375170102333122, 0.30210337991884617, 0.5812262882383775, 0.7220624775761063, 0.5251383569769505, 0.9613621623509622, 0.4318586362082821, 0.6301822157815925, 0.9185828590994096, 0.9389490197849387, 0.5885101172291992]",0.011027856238420081,0.011194838988105455,0.005566091656179127,0.007842840302572478,0.004680219589428906,0.011234508020907533,0.010931951248153961,7.668095859173572e-05,0.011096782235376251,7.849635205238654e-05,0.005494366240742984,6.615158422384664e-05
