run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,elapsed_seconds
1,FOGAS,4000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.4653047701622461,14.35526066692546
2,FOGAS,8000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.4668400064112963,13.792764920042828
3,FOGAS,12000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.467800385687406,15.45216205297038
4,FOGAS,16000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.4684255651635614,18.763759878929704
5,FOGAS,20000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.4688506789151103,22.273240871960297
6,FOGAS,4000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.5557673313208145,13.277617874089628
7,FOGAS,8000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.5504081303501414,13.670218568993732
8,FOGAS,12000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.5488595087238135,15.403881087899208
9,FOGAS,16000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.557038168247064,18.71048172004521
10,FOGAS,20000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.556876014934485,22.24303161096759
11,FOGAS,4000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8072701370943494,13.283894339809194
12,FOGAS,8000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8060093288356303,13.62186599895358
13,FOGAS,12000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8127157949595638,15.348399434937164
14,FOGAS,16000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8174392737254355,18.666705125942826
15,FOGAS,20000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8118587206235357,22.198116971179843
16,FOGAS,4000,0.5,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.3919420036736225,13.181694431928918
