run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,elapsed_seconds
1,FQI,4000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.4653047701622461,2.673386777052656
2,FQI,8000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.4668400064112963,3.485414734110236
3,FQI,12000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.467800385687406,4.685202463064343
4,FQI,16000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.4684255651635614,6.090458437800407
5,FQI,20000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.4688506789151103,7.523062222171575
6,FQI,4000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.5557673313208145,2.1299336520023644
7,FQI,8000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.5504081303501414,3.1957929278723896
8,FQI,12000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.5488595087238135,4.621526158880442
9,FQI,16000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.557038168247064,6.132896316004917
10,FQI,20000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.556876014934485,7.392084217863157
11,FQI,4000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8072701370943494,2.0879847700707614
12,FQI,8000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8060093288356303,3.1708010740112513
13,FQI,12000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8127157949595638,4.535096931038424
14,FQI,16000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8174392737254355,5.92944381502457
15,FQI,20000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8118587206235357,7.446961716981605
