n_centers,ridge,sigma_mult,base_sigma,sigma,feature_dim,converged,status,error,elapsed_seconds
100,1e-06,0.05,0.11111111111111115,0.0055555555555555575,404,True,ok,,0.3573398420121521
99,1e-06,0.05,0.11124358472362507,0.005562179236181254,400,True,ok,,0.3694596558343619
98,1e-06,0.05,0.1113787618792515,0.005568938093962575,396,True,ok,,0.35081404191441834
97,1e-06,0.05,0.1115167261927259,0.005575836309636296,392,True,ok,,0.3467287740204483
96,1e-06,0.05,0.11165756476273103,0.005582878238136552,388,False,ok,,0.35057705198414624
96,1e-06,0.1,0.11165756476273103,0.011165756476273103,388,True,ok,,0.3478943610098213
95,1e-06,0.05,0.11193941980409289,0.0055969709902046446,384,False,ok,,0.34878072794526815
95,1e-06,0.1,0.11193941980409289,0.011193941980409289,384,True,ok,,0.3434040939901024
94,1e-06,0.05,0.11194823159869907,0.005597411579934954,380,False,ok,,0.3499344140291214
94,1e-06,0.1,0.11139015127364045,0.011139015127364045,380,False,ok,,0.34637374500744045
94,1e-06,0.2,0.11194823159869907,0.022389646319739817,380,True,ok,,0.3418122190050781
93,1e-06,0.05,0.11181621259707229,0.005590810629853615,376,False,ok,,0.3450750589836389
93,1e-06,0.1,0.11181621259707229,0.01118162125970723,376,True,ok,,0.3423680269625038
92,1e-06,0.05,0.11196642987016835,0.005598321493508418,372,False,ok,,0.3446708209812641
92,1e-06,0.1,0.11225153612318746,0.011225153612318746,372,True,ok,,0.34051746199838817
91,1e-06,0.05,0.1118317093330275,0.005591585466651375,368,False,ok,,0.3440122918691486
91,1e-06,0.1,0.1118317093330275,0.01118317093330275,368,True,ok,,0.33969207596965134
90,1e-06,0.05,0.11242259987499885,0.0056211299937499425,364,False,ok,,0.3432936640456319
90,1e-06,0.1,0.11242259987499885,0.011242259987499885,364,True,ok,,0.34420012100599706
89,1e-06,0.05,0.11276683885299536,0.005638341942649769,360,False,ok,,0.343471494037658
89,1e-06,0.1,0.11276683885299536,0.011276683885299538,360,False,ok,,0.3433539841789752
89,1e-06,0.2,0.11276683885299536,0.022553367770599075,360,False,ok,,0.35167385917156935
89,1e-06,0.4,0.11276683885299536,0.04510673554119815,360,False,ok,,0.35438180109485984
89,1e-06,0.6,0.11276683885299536,0.06766010331179721,360,False,ok,,0.34270659601315856
89,1e-06,0.8,0.11276683885299536,0.0902134710823963,360,False,ok,,0.33915895712561905
89,1e-06,1.0,0.11276683885299536,0.11276683885299536,360,False,ok,,0.34181258897297084
89,0.0001,0.05,0.11276683885299536,0.005638341942649769,360,False,ok,,0.34107956080697477
89,0.0001,0.1,0.11276683885299536,0.011276683885299538,360,False,ok,,0.3404144130181521
89,0.0001,0.2,0.11276683885299536,0.022553367770599075,360,False,ok,,0.3435631040483713
89,0.0001,0.4,0.11276683885299536,0.04510673554119815,360,False,ok,,0.3460922359954566
89,0.0001,0.6,0.11276683885299536,0.06766010331179721,360,False,ok,,0.33853335911408067
89,0.0001,0.8,0.11276683885299536,0.0902134710823963,360,False,ok,,0.3399684252217412
89,0.0001,1.0,0.11276683885299536,0.11276683885299536,360,False,ok,,0.3401615039911121
89,0.01,0.05,0.11276683885299536,0.005638341942649769,360,False,ok,,0.3397398549132049
