run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds
1,FQI,4000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4653047701622461,0.41627668926957,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.41627668926957,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,13.45897922385484
2,FQI,8000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4668400064112963,0.4163118925974603,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.4163118925974603,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,14.324922868981957
3,FQI,12000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.467800385687406,0.4163781385336758,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.4163781385336758,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,15.40941279893741
4,FQI,16000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4684255651635614,0.41650620909894576,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.41650620909894576,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,16.817387097980827
5,FQI,20000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4688506789151103,0.41650460562232666,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,0.41650460562232666,0.3060135800966488,-0.9948462247926807,0.0,-1.0000000000000002,0.30133989606818523,18.336174860829487
6,FQI,4000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5557673313208145,1.3663959517581912,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,1.3663959517581912,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,12.892697020899504
7,FQI,8000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5504081303501414,1.372426246420101,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,1.372426246420101,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,13.87788949511014
8,FQI,12000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5488595087238135,1.373409514250247,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,1.373409514250247,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,15.320504708914086
9,FQI,16000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.557038168247064,1.3731344929053428,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,1.3731344929053428,1.0100938822579453,-0.9948462247926807,0.0,-1.0000000000000002,0.5059764424911013,16.774823509156704
10,FQI,20000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.556876014934485,0.3763572286179456,0.2744865702354111,-0.9948462247926807,0.0,-1.0000000000000002,0.28361401982888024,0.3763572286179456,0.2744865702354111,-0.9948462247926807,0.0,-1.0000000000000002,0.28361401982888024,18.18021386489272
11,FQI,4000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8072701370943494,0.28360539416128594,0.19693910870565823,-0.9948462247926807,0.0,-1.0000000000000002,0.23043639111096517,0.28360539416128594,0.19693910870565823,-0.9948462247926807,0.0,-1.0000000000000002,0.23043639111096517,12.7631923079025
12,FQI,8000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8060093288356303,0.2590541413917151,0.17580342806757257,-0.9948462247926807,0.0,-1.0000000000000002,0.21271051487166015,0.2590541413917151,0.17580342806757257,-0.9948462247926807,0.0,-1.0000000000000002,0.21271051487166015,14.01751255011186
13,FQI,12000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8127157949595638,0.2565709578113023,0.17580342806757257,-0.9948462247926807,0.0,-1.0000000000000002,0.21271051487166015,0.2565709578113023,0.17580342806757257,-0.9948462247926807,0.0,-1.0000000000000002,0.21271051487166015,15.239943168824539
