run_idx,stage,metric,alpha,rho,eta,T,D_theta,D_pi,per_run_metric_1
1,grid,-3.911954811,0.0001,0.01,1e-06,2000,0.1,0.020000000000000004,-3.911954811
2,grid,-3.81589521,0.0001,0.01,1e-06,2000,0.5,0.1,-3.81589521
3,grid,-3.4198852100000003,0.0001,0.01,1e-06,2000,1.0,0.2,-3.4198852100000003
4,grid,-2.831756008,0.0001,0.01,1e-06,2000,5.0,1.0,-2.831756008
5,grid,-2.045626607,0.0001,0.01,1e-06,2000,20.0,4.0,-2.045626607
6,grid,-3.911954811,0.0001,0.1,1e-06,2000,0.1,0.020000000000000004,-3.911954811
7,grid,-3.81589521,0.0001,0.1,1e-06,2000,0.5,0.1,-3.81589521
8,grid,-3.4198852100000003,0.0001,0.1,1e-06,2000,1.0,0.2,-3.4198852100000003
9,grid,-2.831756008,0.0001,0.1,1e-06,2000,5.0,1.0,-2.831756008
10,grid,-2.045626607,0.0001,0.1,1e-06,2000,20.0,4.0,-2.045626607
11,grid,-3.911954811,0.0001,1.0,1e-06,2000,0.1,0.020000000000000004,-3.911954811
12,grid,-3.81589521,0.0001,1.0,1e-06,2000,0.5,0.1,-3.81589521
13,grid,-3.4198852100000003,0.0001,1.0,1e-06,2000,1.0,0.2,-3.4198852100000003
14,grid,-2.831756008,0.0001,1.0,1e-06,2000,5.0,1.0,-2.831756008
15,grid,-2.045626607,0.0001,1.0,1e-06,2000,20.0,4.0,-2.045626607
16,grid,-3.911954811,0.0001,0.01,1e-05,2000,0.1,0.020000000000000004,-3.911954811
17,grid,-3.911954811,0.0001,0.01,1e-05,2000,0.5,0.1,-3.911954811
18,grid,-3.911954811,0.0001,0.01,1e-05,2000,1.0,0.2,-3.911954811
19,grid,-3.911954811,0.0001,0.01,1e-05,2000,5.0,1.0,-3.911954811
20,grid,-3.911954811,0.0001,0.01,1e-05,2000,20.0,4.0,-3.911954811
21,grid,-3.911954811,0.0001,0.1,1e-05,2000,0.1,0.020000000000000004,-3.911954811
22,grid,-3.911954811,0.0001,0.1,1e-05,2000,0.5,0.1,-3.911954811
23,grid,-3.911954811,0.0001,0.1,1e-05,2000,1.0,0.2,-3.911954811
24,grid,-3.911954811,0.0001,0.1,1e-05,2000,5.0,1.0,-3.911954811
25,grid,-3.911954811,0.0001,0.1,1e-05,2000,20.0,4.0,-3.911954811
26,grid,-3.911954811,0.0001,1.0,1e-05,2000,0.1,0.020000000000000004,-3.911954811
27,grid,-3.911954811,0.0001,1.0,1e-05,2000,0.5,0.1,-3.911954811
28,grid,-3.911954811,0.0001,1.0,1e-05,2000,1.0,0.2,-3.911954811
29,grid,-3.911954811,0.0001,1.0,1e-05,2000,5.0,1.0,-3.911954811
30,grid,-3.911954811,0.0001,1.0,1e-05,2000,20.0,4.0,-3.911954811
31,grid,-3.911954811,0.0001,0.01,0.0001,2000,0.1,0.020000000000000004,-3.911954811
32,grid,-4.499084212,0.0001,0.01,0.0001,2000,0.5,0.1,-4.499084212
33,grid,-4.792153813,0.0001,0.01,0.0001,2000,1.0,0.2,-4.792153813
34,grid,-4.792153813,0.0001,0.01,0.0001,2000,5.0,1.0,-4.792153813
35,grid,-4.792153813,0.0001,0.01,0.0001,2000,20.0,4.0,-4.792153813
36,grid,-3.911954811,0.0001,0.1,0.0001,2000,0.1,0.020000000000000004,-3.911954811
37,grid,-4.499084212,0.0001,0.1,0.0001,2000,0.5,0.1,-4.499084212
38,grid,-4.792153813,0.0001,0.1,0.0001,2000,1.0,0.2,-4.792153813
39,grid,-4.792153813,0.0001,0.1,0.0001,2000,5.0,1.0,-4.792153813
40,grid,-4.792153813,0.0001,0.1,0.0001,2000,20.0,4.0,-4.792153813
41,grid,-3.911954811,0.0001,1.0,0.0001,2000,0.1,0.020000000000000004,-3.911954811
42,grid,-4.499084212,0.0001,1.0,0.0001,2000,0.5,0.1,-4.499084212
43,grid,-4.792153813,0.0001,1.0,0.0001,2000,1.0,0.2,-4.792153813
44,grid,-4.792153813,0.0001,1.0,0.0001,2000,5.0,1.0,-4.792153813
45,grid,-4.792153813,0.0001,1.0,0.0001,2000,20.0,4.0,-4.792153813
46,grid,-3.911954811,0.0001,0.01,0.001,2000,0.1,0.020000000000000004,-3.911954811
47,grid,-4.696094212,0.0001,0.01,0.001,2000,0.5,0.1,-4.696094212
48,grid,-4.792153813,0.0001,0.01,0.001,2000,1.0,0.2,-4.792153813
49,grid,-4.792153813,0.0001,0.01,0.001,2000,5.0,1.0,-4.792153813
50,grid,-4.792153813,0.0001,0.01,0.001,2000,20.0,4.0,-4.792153813
51,grid,-3.911954811,0.0001,0.1,0.001,2000,0.1,0.020000000000000004,-3.911954811
52,grid,-4.696094212,0.0001,0.1,0.001,2000,0.5,0.1,-4.696094212
53,grid,-4.792153813,0.0001,0.1,0.001,2000,1.0,0.2,-4.792153813
54,grid,-4.792153813,0.0001,0.1,0.001,2000,5.0,1.0,-4.792153813
55,grid,-4.792153813,0.0001,0.1,0.001,2000,20.0,4.0,-4.792153813
56,grid,-3.911954811,0.0001,1.0,0.001,2000,0.1,0.020000000000000004,-3.911954811
57,grid,-4.696094212,0.0001,1.0,0.001,2000,0.5,0.1,-4.696094212
58,grid,-4.792153813,0.0001,1.0,0.001,2000,1.0,0.2,-4.792153813
59,grid,-4.792153813,0.0001,1.0,0.001,2000,5.0,1.0,-4.792153813
60,grid,-4.792153813,0.0001,1.0,0.001,2000,20.0,4.0,-4.792153813
61,grid,-3.911954811,0.0001,0.01,0.01,2000,0.1,0.020000000000000004,-3.911954811
62,grid,-4.696094212,0.0001,0.01,0.01,2000,0.5,0.1,-4.696094212
63,grid,-4.792153813,0.0001,0.01,0.01,2000,1.0,0.2,-4.792153813
64,grid,-4.985243313999999,0.0001,0.01,0.01,2000,5.0,1.0,-4.985243313999999
65,grid,-4.985243313999999,0.0001,0.01,0.01,2000,20.0,4.0,-4.985243313999999
66,grid,-3.911954811,0.0001,0.1,0.01,2000,0.1,0.020000000000000004,-3.911954811
67,grid,-4.696094212,0.0001,0.1,0.01,2000,0.5,0.1,-4.696094212
68,grid,-4.792153813,0.0001,0.1,0.01,2000,1.0,0.2,-4.792153813
69,grid,-4.985243313999999,0.0001,0.1,0.01,2000,5.0,1.0,-4.985243313999999
70,grid,-4.985243313999999,0.0001,0.1,0.01,2000,20.0,4.0,-4.985243313999999
71,grid,-3.911954811,0.0001,1.0,0.01,2000,0.1,0.020000000000000004,-3.911954811
72,grid,-4.696094212,0.0001,1.0,0.01,2000,0.5,0.1,-4.696094212
73,grid,-4.985243313999999,0.0001,1.0,0.01,2000,1.0,0.2,-4.985243313999999
74,grid,-4.985243313999999,0.0001,1.0,0.01,2000,5.0,1.0,-4.985243313999999
75,grid,-4.985243313999999,0.0001,1.0,0.01,2000,20.0,4.0,-4.985243313999999
76,grid,-3.911954811,0.0001,0.01,0.1,2000,0.1,0.020000000000000004,-3.911954811
77,grid,-4.696094212,0.0001,0.01,0.1,2000,0.5,0.1,-4.696094212
78,grid,-4.792153813,0.0001,0.01,0.1,2000,1.0,0.2,-4.792153813
79,grid,-4.985243313999999,0.0001,0.01,0.1,2000,5.0,1.0,-4.985243313999999
80,grid,-4.985243313999999,0.0001,0.01,0.1,2000,20.0,4.0,-4.985243313999999
81,grid,-3.911954811,0.0001,0.1,0.1,2000,0.1,0.020000000000000004,-3.911954811
82,grid,-4.696094212,0.0001,0.1,0.1,2000,0.5,0.1,-4.696094212
83,grid,-4.792153813,0.0001,0.1,0.1,2000,1.0,0.2,-4.792153813
84,grid,-4.985243313999999,0.0001,0.1,0.1,2000,5.0,1.0,-4.985243313999999
85,grid,-4.985243313999999,0.0001,0.1,0.1,2000,20.0,4.0,-4.985243313999999
86,grid,-3.911954811,0.0001,1.0,0.1,2000,0.1,0.020000000000000004,-3.911954811
87,grid,-4.696094212,0.0001,1.0,0.1,2000,0.5,0.1,-4.696094212
88,grid,-4.792153813,0.0001,1.0,0.1,2000,1.0,0.2,-4.792153813
89,grid,-4.792153813,0.0001,1.0,0.1,2000,5.0,1.0,-4.792153813
90,grid,-4.792153813,0.0001,1.0,0.1,2000,20.0,4.0,-4.792153813
91,grid,-3.4198852100000003,0.001,0.01,1e-06,2000,0.1,0.2,-3.4198852100000003
92,grid,-2.831756008,0.001,0.01,1e-06,2000,0.5,1.0,-2.831756008
93,grid,-1.846626607,0.001,0.01,1e-06,2000,1.0,2.0,-1.846626607
94,grid,-1.268328403,0.001,0.01,1e-06,2000,5.0,10.0,-1.268328403
95,grid,-1.268328403,0.001,0.01,1e-06,2000,20.0,40.0,-1.268328403
96,grid,-3.4198852100000003,0.001,0.1,1e-06,2000,0.1,0.2,-3.4198852100000003
97,grid,-2.831756008,0.001,0.1,1e-06,2000,0.5,1.0,-2.831756008
98,grid,-1.846626607,0.001,0.1,1e-06,2000,1.0,2.0,-1.846626607
99,grid,-1.268328403,0.001,0.1,1e-06,2000,5.0,10.0,-1.268328403
100,grid,-1.268328403,0.001,0.1,1e-06,2000,20.0,40.0,-1.268328403
101,grid,-3.4198852100000003,0.001,1.0,1e-06,2000,0.1,0.2,-3.4198852100000003
102,grid,-2.831756008,0.001,1.0,1e-06,2000,0.5,1.0,-2.831756008
103,grid,-1.846626607,0.001,1.0,1e-06,2000,1.0,2.0,-1.846626607
104,grid,-1.268328403,0.001,1.0,1e-06,2000,5.0,10.0,-1.268328403
105,grid,-1.268328403,0.001,1.0,1e-06,2000,20.0,40.0,-1.268328403
106,grid,-3.911954811,0.001,0.01,1e-05,2000,0.1,0.2,-3.911954811
107,grid,-3.61689521,0.001,0.01,1e-05,2000,0.5,1.0,-3.61689521
108,grid,-3.61689521,0.001,0.01,1e-05,2000,1.0,2.0,-3.61689521
109,grid,-3.911954811,0.001,0.01,1e-05,2000,5.0,10.0,-3.911954811
110,grid,-3.911954811,0.001,0.01,1e-05,2000,20.0,40.0,-3.911954811
111,grid,-3.911954811,0.001,0.1,1e-05,2000,0.1,0.2,-3.911954811
112,grid,-3.61689521,0.001,0.1,1e-05,2000,0.5,1.0,-3.61689521
113,grid,-3.61689521,0.001,0.1,1e-05,2000,1.0,2.0,-3.61689521
114,grid,-3.911954811,0.001,0.1,1e-05,2000,5.0,10.0,-3.911954811
115,grid,-3.911954811,0.001,0.1,1e-05,2000,20.0,40.0,-3.911954811
116,grid,-3.911954811,0.001,1.0,1e-05,2000,0.1,0.2,-3.911954811
117,grid,-3.4198852100000003,0.001,1.0,1e-05,2000,0.5,1.0,-3.4198852100000003
118,grid,-3.61689521,0.001,1.0,1e-05,2000,1.0,2.0,-3.61689521
119,grid,-3.911954811,0.001,1.0,1e-05,2000,5.0,10.0,-3.911954811
120,grid,-3.911954811,0.001,1.0,1e-05,2000,20.0,40.0,-3.911954811
121,grid,-4.792153813,0.001,0.01,0.0001,2000,0.1,0.2,-4.792153813
122,grid,-6.056561716999999,0.001,0.01,0.0001,2000,0.5,1.0,-6.056561716999999
123,grid,-6.056561716999999,0.001,0.01,0.0001,2000,1.0,2.0,-6.056561716999999
124,grid,-6.056561716999999,0.001,0.01,0.0001,2000,5.0,10.0,-6.056561716999999
125,grid,-6.056561716999999,0.001,0.01,0.0001,2000,20.0,40.0,-6.056561716999999
126,grid,-4.792153813,0.001,0.1,0.0001,2000,0.1,0.2,-4.792153813
127,grid,-6.056561716999999,0.001,0.1,0.0001,2000,0.5,1.0,-6.056561716999999
128,grid,-6.056561716999999,0.001,0.1,0.0001,2000,1.0,2.0,-6.056561716999999
129,grid,-6.056561716999999,0.001,0.1,0.0001,2000,5.0,10.0,-6.056561716999999
130,grid,-6.056561716999999,0.001,0.1,0.0001,2000,20.0,40.0,-6.056561716999999
131,grid,-4.792153813,0.001,1.0,0.0001,2000,0.1,0.2,-4.792153813
132,grid,-6.056561716999999,0.001,1.0,0.0001,2000,0.5,1.0,-6.056561716999999
133,grid,-6.056561716999999,0.001,1.0,0.0001,2000,1.0,2.0,-6.056561716999999
134,grid,-6.056561716999999,0.001,1.0,0.0001,2000,5.0,10.0,-6.056561716999999
