run_idx,stage,metric,alpha,rho,eta,T,D_theta,D_pi,per_run_metric_1
1,grid,-3.911954811,0.0001,0.01,1e-06,10000,0.1,0.1,-3.911954811
2,grid,-4.499084212,0.0001,0.01,1e-06,10000,0.5,0.5,-4.499084212
3,grid,-4.792153813,0.0001,0.01,1e-06,10000,1.0,1.0,-4.792153813
4,grid,-6.251601617,0.0001,0.01,1e-06,10000,5.0,5.0,-6.251601617
5,grid,-6.251601617,0.0001,0.01,1e-06,10000,20.0,20.0,-6.251601617
6,grid,-3.911954811,0.0001,0.1,1e-06,10000,0.1,0.1,-3.911954811
7,grid,-4.499084212,0.0001,0.1,1e-06,10000,0.5,0.5,-4.499084212
8,grid,-4.792153813,0.0001,0.1,1e-06,10000,1.0,1.0,-4.792153813
9,grid,-6.251601617,0.0001,0.1,1e-06,10000,5.0,5.0,-6.251601617
10,grid,-6.251601617,0.0001,0.1,1e-06,10000,20.0,20.0,-6.251601617
11,grid,-3.911954811,0.0001,1.0,1e-06,10000,0.1,0.1,-3.911954811
12,grid,-4.499084212,0.0001,1.0,1e-06,10000,0.5,0.5,-4.499084212
13,grid,-4.792153813,0.0001,1.0,1e-06,10000,1.0,1.0,-4.792153813
14,grid,-6.251601617,0.0001,1.0,1e-06,10000,5.0,5.0,-6.251601617
15,grid,-6.251601617,0.0001,1.0,1e-06,10000,20.0,20.0,-6.251601617
16,grid,-3.911954811,0.0001,10.0,1e-06,10000,0.1,0.1,-3.911954811
17,grid,-4.305994710999999,0.0001,10.0,1e-06,10000,0.5,0.5,-4.305994710999999
18,grid,-4.792153813,0.0001,10.0,1e-06,10000,1.0,1.0,-4.792153813
19,grid,-6.251601617,0.0001,10.0,1e-06,10000,5.0,5.0,-6.251601617
20,grid,-6.251601617,0.0001,10.0,1e-06,10000,20.0,20.0,-6.251601617
21,grid,-3.911954811,0.0001,100.0,1e-06,10000,0.1,0.1,-3.911954811
22,grid,-4.1069947110000005,0.0001,100.0,1e-06,10000,0.5,0.5,-4.1069947110000005
23,grid,-4.696094212,0.0001,100.0,1e-06,10000,1.0,1.0,-4.696094212
24,grid,-6.251601617,0.0001,100.0,1e-06,10000,5.0,5.0,-6.251601617
25,grid,-6.251601617,0.0001,100.0,1e-06,10000,20.0,20.0,-6.251601617
26,grid,-4.1069947110000005,0.0001,0.01,1e-05,10000,0.1,0.1,-4.1069947110000005
27,grid,-5.178332814999999,0.0001,0.01,1e-05,10000,0.5,0.5,-5.178332814999999
28,grid,-6.056561716999999,0.0001,0.01,1e-05,10000,1.0,1.0,-6.056561716999999
29,grid,-6.056561716999999,0.0001,0.01,1e-05,10000,5.0,5.0,-6.056561716999999
30,grid,-6.056561716999999,0.0001,0.01,1e-05,10000,20.0,20.0,-6.056561716999999
31,grid,-4.1069947110000005,0.0001,0.1,1e-05,10000,0.1,0.1,-4.1069947110000005
32,grid,-5.178332814999999,0.0001,0.1,1e-05,10000,0.5,0.5,-5.178332814999999
33,grid,-6.056561716999999,0.0001,0.1,1e-05,10000,1.0,1.0,-6.056561716999999
34,grid,-6.056561716999999,0.0001,0.1,1e-05,10000,5.0,5.0,-6.056561716999999
35,grid,-6.056561716999999,0.0001,0.1,1e-05,10000,20.0,20.0,-6.056561716999999
36,grid,-4.1069947110000005,0.0001,1.0,1e-05,10000,0.1,0.1,-4.1069947110000005
37,grid,-5.178332814999999,0.0001,1.0,1e-05,10000,0.5,0.5,-5.178332814999999
38,grid,-6.056561716999999,0.0001,1.0,1e-05,10000,1.0,1.0,-6.056561716999999
39,grid,-6.056561716999999,0.0001,1.0,1e-05,10000,5.0,5.0,-6.056561716999999
40,grid,-6.056561716999999,0.0001,1.0,1e-05,10000,20.0,20.0,-6.056561716999999
41,grid,-4.1069947110000005,0.0001,10.0,1e-05,10000,0.1,0.1,-4.1069947110000005
42,grid,-4.985243313999999,0.0001,10.0,1e-05,10000,0.5,0.5,-4.985243313999999
43,grid,-6.056561716999999,0.0001,10.0,1e-05,10000,1.0,1.0,-6.056561716999999
44,grid,-6.056561716999999,0.0001,10.0,1e-05,10000,5.0,5.0,-6.056561716999999
45,grid,-6.056561716999999,0.0001,10.0,1e-05,10000,20.0,20.0,-6.056561716999999
46,grid,-3.911954811,0.0001,100.0,1e-05,10000,0.1,0.1,-3.911954811
47,grid,-4.696094212,0.0001,100.0,1e-05,10000,0.5,0.5,-4.696094212
48,grid,-4.985243313999999,0.0001,100.0,1e-05,10000,1.0,1.0,-4.985243313999999
49,grid,-6.251601617,0.0001,100.0,1e-05,10000,5.0,5.0,-6.251601617
50,grid,-6.251601617,0.0001,100.0,1e-05,10000,20.0,20.0,-6.251601617
51,grid,-4.305994710999999,0.0001,0.01,0.0001,10000,0.1,0.1,-4.305994710999999
52,grid,-5.469432316,0.0001,0.01,0.0001,10000,0.5,0.5,-5.469432316
53,grid,-6.056561716999999,0.0001,0.01,0.0001,10000,1.0,1.0,-6.056561716999999
54,grid,-6.056561716999999,0.0001,0.01,0.0001,10000,5.0,5.0,-6.056561716999999
55,grid,-6.056561716999999,0.0001,0.01,0.0001,10000,20.0,20.0,-6.056561716999999
56,grid,-4.305994710999999,0.0001,0.1,0.0001,10000,0.1,0.1,-4.305994710999999
57,grid,-5.469432316,0.0001,0.1,0.0001,10000,0.5,0.5,-5.469432316
58,grid,-6.056561716999999,0.0001,0.1,0.0001,10000,1.0,1.0,-6.056561716999999
59,grid,-6.056561716999999,0.0001,0.1,0.0001,10000,5.0,5.0,-6.056561716999999
60,grid,-6.056561716999999,0.0001,0.1,0.0001,10000,20.0,20.0,-6.056561716999999
61,grid,-4.305994710999999,0.0001,1.0,0.0001,10000,0.1,0.1,-4.305994710999999
62,grid,-5.469432316,0.0001,1.0,0.0001,10000,0.5,0.5,-5.469432316
63,grid,-6.056561716999999,0.0001,1.0,0.0001,10000,1.0,1.0,-6.056561716999999
64,grid,-6.056561716999999,0.0001,1.0,0.0001,10000,5.0,5.0,-6.056561716999999
65,grid,-6.056561716999999,0.0001,1.0,0.0001,10000,20.0,20.0,-6.056561716999999
66,grid,-4.305994710999999,0.0001,10.0,0.0001,10000,0.1,0.1,-4.305994710999999
67,grid,-5.469432316,0.0001,10.0,0.0001,10000,0.5,0.5,-5.469432316
68,grid,-6.056561716999999,0.0001,10.0,0.0001,10000,1.0,1.0,-6.056561716999999
69,grid,-6.255561716999999,0.0001,10.0,0.0001,10000,5.0,5.0,-6.255561716999999
70,grid,-6.255561716999999,0.0001,10.0,0.0001,10000,20.0,20.0,-6.255561716999999
71,grid,-3.911954811,0.0001,100.0,0.0001,10000,0.1,0.1,-3.911954811
72,grid,-4.696094212,0.0001,100.0,0.0001,10000,0.5,0.5,-4.696094212
73,grid,-4.985243313999999,0.0001,100.0,0.0001,10000,1.0,1.0,-4.985243313999999
74,grid,-6.251601617,0.0001,100.0,0.0001,10000,5.0,5.0,-6.251601617
75,grid,-6.450601616999999,0.0001,100.0,0.0001,10000,20.0,20.0,-6.450601616999999
76,grid,-4.305994710999999,0.0001,0.01,0.001,10000,0.1,0.1,-4.305994710999999
77,grid,-5.469432316,0.0001,0.01,0.001,10000,0.5,0.5,-5.469432316
