run_idx,stage,metric,alpha,rho,eta,T,D_theta,D_pi,per_run_metric_1
1,grid,-3.911954811,0.0001,0.01,1e-06,1000,0.1,0.010000000000000002,-3.911954811
2,grid,-3.911954811,0.0001,0.01,1e-06,1000,0.5,0.05,-3.911954811
3,grid,-3.911954811,0.0001,0.01,1e-06,1000,1.0,0.1,-3.911954811
4,grid,-3.911954811,0.0001,0.01,1e-06,1000,5.0,0.5,-3.911954811
5,grid,-3.911954811,0.0001,0.01,1e-06,1000,20.0,2.0,-3.911954811
6,grid,-3.911954811,0.0001,0.1,1e-06,1000,0.1,0.010000000000000002,-3.911954811
7,grid,-3.911954811,0.0001,0.1,1e-06,1000,0.5,0.05,-3.911954811
8,grid,-3.911954811,0.0001,0.1,1e-06,1000,1.0,0.1,-3.911954811
9,grid,-3.911954811,0.0001,0.1,1e-06,1000,5.0,0.5,-3.911954811
10,grid,-3.911954811,0.0001,0.1,1e-06,1000,20.0,2.0,-3.911954811
11,grid,-3.911954811,0.0001,1.0,1e-06,1000,0.1,0.010000000000000002,-3.911954811
12,grid,-3.911954811,0.0001,1.0,1e-06,1000,0.5,0.05,-3.911954811
13,grid,-3.911954811,0.0001,1.0,1e-06,1000,1.0,0.1,-3.911954811
14,grid,-3.911954811,0.0001,1.0,1e-06,1000,5.0,0.5,-3.911954811
15,grid,-3.911954811,0.0001,1.0,1e-06,1000,20.0,2.0,-3.911954811
16,grid,-3.911954811,0.0001,10.0,1e-06,1000,0.1,0.010000000000000002,-3.911954811
17,grid,-3.911954811,0.0001,10.0,1e-06,1000,0.5,0.05,-3.911954811
18,grid,-3.911954811,0.0001,10.0,1e-06,1000,1.0,0.1,-3.911954811
19,grid,-3.911954811,0.0001,10.0,1e-06,1000,5.0,0.5,-3.911954811
20,grid,-3.911954811,0.0001,10.0,1e-06,1000,20.0,2.0,-3.911954811
21,grid,-3.911954811,0.0001,100.0,1e-06,1000,0.1,0.010000000000000002,-3.911954811
22,grid,-3.911954811,0.0001,100.0,1e-06,1000,0.5,0.05,-3.911954811
23,grid,-3.911954811,0.0001,100.0,1e-06,1000,1.0,0.1,-3.911954811
24,grid,-3.911954811,0.0001,100.0,1e-06,1000,5.0,0.5,-3.911954811
25,grid,-3.911954811,0.0001,100.0,1e-06,1000,20.0,2.0,-3.911954811
26,grid,-3.911954811,0.0001,0.01,1e-05,1000,0.1,0.010000000000000002,-3.911954811
27,grid,-3.911954811,0.0001,0.01,1e-05,1000,0.5,0.05,-3.911954811
28,grid,-3.911954811,0.0001,0.01,1e-05,1000,1.0,0.1,-3.911954811
29,grid,-3.911954811,0.0001,0.01,1e-05,1000,5.0,0.5,-3.911954811
30,grid,-3.911954811,0.0001,0.01,1e-05,1000,20.0,2.0,-3.911954811
31,grid,-3.911954811,0.0001,0.1,1e-05,1000,0.1,0.010000000000000002,-3.911954811
32,grid,-3.911954811,0.0001,0.1,1e-05,1000,0.5,0.05,-3.911954811
33,grid,-3.911954811,0.0001,0.1,1e-05,1000,1.0,0.1,-3.911954811
34,grid,-3.911954811,0.0001,0.1,1e-05,1000,5.0,0.5,-3.911954811
35,grid,-3.911954811,0.0001,0.1,1e-05,1000,20.0,2.0,-3.911954811
36,grid,-3.911954811,0.0001,1.0,1e-05,1000,0.1,0.010000000000000002,-3.911954811
37,grid,-3.911954811,0.0001,1.0,1e-05,1000,0.5,0.05,-3.911954811
38,grid,-3.911954811,0.0001,1.0,1e-05,1000,1.0,0.1,-3.911954811
39,grid,-3.911954811,0.0001,1.0,1e-05,1000,5.0,0.5,-3.911954811
40,grid,-3.911954811,0.0001,1.0,1e-05,1000,20.0,2.0,-3.911954811
41,grid,-3.911954811,0.0001,10.0,1e-05,1000,0.1,0.010000000000000002,-3.911954811
42,grid,-3.911954811,0.0001,10.0,1e-05,1000,0.5,0.05,-3.911954811
43,grid,-3.911954811,0.0001,10.0,1e-05,1000,1.0,0.1,-3.911954811
44,grid,-3.911954811,0.0001,10.0,1e-05,1000,5.0,0.5,-3.911954811
45,grid,-3.911954811,0.0001,10.0,1e-05,1000,20.0,2.0,-3.911954811
46,grid,-3.911954811,0.0001,100.0,1e-05,1000,0.1,0.010000000000000002,-3.911954811
47,grid,-3.911954811,0.0001,100.0,1e-05,1000,0.5,0.05,-3.911954811
48,grid,-3.911954811,0.0001,100.0,1e-05,1000,1.0,0.1,-3.911954811
49,grid,-3.911954811,0.0001,100.0,1e-05,1000,5.0,0.5,-3.911954811
