run_idx,stage,metric,alpha,rho,eta,T,D_theta,state_weight_update,c_min,D_pi,per_run_metric_1
1,grid,0.8010638064134422,0.0001,0.001,0.0001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
2,grid,0.8010638064134422,0.0001,0.001,0.0001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
3,grid,0.8010638064134422,0.0001,0.001,0.0001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
4,grid,0.8010638064134422,0.0001,0.001,0.0001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
5,grid,0.8010638064134422,0.0001,0.001,0.0001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
6,grid,0.8010638064134422,0.0001,0.001,0.0001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
7,grid,0.8010638064134422,0.0001,0.001,0.0001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
8,grid,0.8010638064134422,0.0001,0.001,0.0001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
9,grid,0.8010638064134422,0.0001,0.001,0.0001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
10,grid,0.8010638064134422,0.0001,0.01,0.0001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
11,grid,0.8010638064134422,0.0001,0.01,0.0001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
12,grid,0.8010638064134422,0.0001,0.01,0.0001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
13,grid,0.8010638064134422,0.0001,0.01,0.0001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
14,grid,0.8010638064134422,0.0001,0.01,0.0001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
15,grid,0.8010638064134422,0.0001,0.01,0.0001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
16,grid,0.8010638064134422,0.0001,0.01,0.0001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
17,grid,0.8010638064134422,0.0001,0.01,0.0001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
18,grid,0.8010638064134422,0.0001,0.01,0.0001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
19,grid,0.8010638064134422,0.0001,0.1,0.0001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
20,grid,0.8010638064134422,0.0001,0.1,0.0001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
21,grid,0.8010638064134422,0.0001,0.1,0.0001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
22,grid,0.8010638064134422,0.0001,0.1,0.0001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
23,grid,0.8010638064134422,0.0001,0.1,0.0001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
24,grid,0.8010638064134422,0.0001,0.1,0.0001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
25,grid,0.8010638064134422,0.0001,0.1,0.0001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
26,grid,0.8010638064134422,0.0001,0.1,0.0001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
27,grid,0.8010638064134422,0.0001,0.1,0.0001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
28,grid,0.8010638064134422,0.0001,0.5,0.0001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
29,grid,0.8010638064134422,0.0001,0.5,0.0001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
30,grid,0.8010638064134422,0.0001,0.5,0.0001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
31,grid,0.8010638064134422,0.0001,0.5,0.0001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
32,grid,0.8010638064134422,0.0001,0.5,0.0001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
33,grid,0.8010638064134422,0.0001,0.5,0.0001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
34,grid,0.8010638064134422,0.0001,0.5,0.0001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
35,grid,0.8010638064134422,0.0001,0.5,0.0001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
36,grid,0.8010638064134422,0.0001,0.5,0.0001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
37,grid,0.8010638064134422,0.0001,1.0,0.0001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
38,grid,0.8010638064134422,0.0001,1.0,0.0001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
39,grid,0.8010638064134422,0.0001,1.0,0.0001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
40,grid,0.8010638064134422,0.0001,1.0,0.0001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
41,grid,0.8010638064134422,0.0001,1.0,0.0001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
42,grid,0.8010638064134422,0.0001,1.0,0.0001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
43,grid,0.8010638064134422,0.0001,1.0,0.0001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
44,grid,0.8010638064134422,0.0001,1.0,0.0001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
45,grid,0.8010638064134422,0.0001,1.0,0.0001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
46,grid,0.8010638064134422,0.0001,0.001,0.001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
47,grid,0.8010638064134422,0.0001,0.001,0.001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
48,grid,0.8010638064134422,0.0001,0.001,0.001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
49,grid,0.8010638064134422,0.0001,0.001,0.001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
50,grid,0.8010638064134422,0.0001,0.001,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
51,grid,0.8010638064134422,0.0001,0.001,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
52,grid,0.8010638064134422,0.0001,0.001,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
53,grid,0.8010638064134422,0.0001,0.001,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
54,grid,0.8010638064134422,0.0001,0.001,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
