run_idx,stage,metric,alpha,rho,eta,T,D_theta,D_pi,per_run_metric_1
1,grid,0.8010638064134422,0.0006,0.01,1e-05,2000,0.01,0.012,0.8010638064134422
2,grid,0.8010638064134422,0.0006,0.01,1e-05,2000,0.1,0.12,0.8010638064134422
3,grid,0.8010638064134422,0.0006,0.01,1e-05,2000,0.5,0.6,0.8010638064134422
4,grid,0.8010638064134422,0.0006,0.01,1e-05,2000,1.0,1.2,0.8010638064134422
5,grid,0.7701747508724991,0.0006,0.01,1e-05,2000,5.0,6.0,0.7701747508724991
6,grid,0.7701747508724991,0.0006,0.01,1e-05,2000,10.0,12.0,0.7701747508724991
7,grid,0.7428339363962075,0.0006,0.01,1e-05,2000,20.0,24.0,0.7428339363962075
8,grid,0.8010638064134422,0.0006,0.1,1e-05,2000,0.01,0.012,0.8010638064134422
9,grid,0.8010638064134422,0.0006,0.1,1e-05,2000,0.1,0.12,0.8010638064134422
10,grid,0.8010638064134422,0.0006,0.1,1e-05,2000,0.5,0.6,0.8010638064134422
11,grid,0.8010638064134422,0.0006,0.1,1e-05,2000,1.0,1.2,0.8010638064134422
12,grid,0.7701747508724991,0.0006,0.1,1e-05,2000,5.0,6.0,0.7701747508724991
13,grid,0.7701747508724991,0.0006,0.1,1e-05,2000,10.0,12.0,0.7701747508724991
14,grid,0.7428339363962075,0.0006,0.1,1e-05,2000,20.0,24.0,0.7428339363962075
15,grid,0.8010638064134422,0.0006,1.0,1e-05,2000,0.01,0.012,0.8010638064134422
16,grid,0.8010638064134422,0.0006,1.0,1e-05,2000,0.1,0.12,0.8010638064134422
17,grid,0.8010638064134422,0.0006,1.0,1e-05,2000,0.5,0.6,0.8010638064134422
18,grid,0.8010638064134422,0.0006,1.0,1e-05,2000,1.0,1.2,0.8010638064134422
19,grid,0.7701747508724991,0.0006,1.0,1e-05,2000,5.0,6.0,0.7701747508724991
20,grid,0.7701747508724991,0.0006,1.0,1e-05,2000,10.0,12.0,0.7701747508724991
21,grid,0.7428339363962075,0.0006,1.0,1e-05,2000,20.0,24.0,0.7428339363962075
22,grid,0.8010638064134422,0.0006,10.0,1e-05,2000,0.01,0.012,0.8010638064134422
23,grid,0.8010638064134422,0.0006,10.0,1e-05,2000,0.1,0.12,0.8010638064134422
24,grid,0.8010638064134422,0.0006,10.0,1e-05,2000,0.5,0.6,0.8010638064134422
25,grid,0.8010638064134422,0.0006,10.0,1e-05,2000,1.0,1.2,0.8010638064134422
26,grid,0.7701747508724991,0.0006,10.0,1e-05,2000,5.0,6.0,0.7701747508724991
27,grid,0.7701747508724991,0.0006,10.0,1e-05,2000,10.0,12.0,0.7701747508724991
28,grid,0.7428339363962075,0.0006,10.0,1e-05,2000,20.0,24.0,0.7428339363962075
29,grid,0.8010638064134422,0.0006,100.0,1e-05,2000,0.01,0.012,0.8010638064134422
30,grid,0.8010638064134422,0.0006,100.0,1e-05,2000,0.1,0.12,0.8010638064134422
31,grid,0.8010638064134422,0.0006,100.0,1e-05,2000,0.5,0.6,0.8010638064134422
32,grid,0.8010638064134422,0.0006,100.0,1e-05,2000,1.0,1.2,0.8010638064134422
33,grid,0.7701747508724991,0.0006,100.0,1e-05,2000,5.0,6.0,0.7701747508724991
34,grid,0.7701747508724991,0.0006,100.0,1e-05,2000,10.0,12.0,0.7701747508724991
35,grid,0.7701747508724991,0.0006,100.0,1e-05,2000,20.0,24.0,0.7701747508724991
36,grid,0.8010638064134422,0.0006,0.01,0.0001,2000,0.01,0.012,0.8010638064134422
37,grid,0.8010638064134422,0.0006,0.01,0.0001,2000,0.1,0.12,0.8010638064134422
38,grid,0.8010638064134422,0.0006,0.01,0.0001,2000,0.5,0.6,0.8010638064134422
39,grid,0.7701747508724991,0.0006,0.01,0.0001,2000,1.0,1.2,0.7701747508724991
40,grid,0.7525466881557892,0.0006,0.01,0.0001,2000,5.0,6.0,0.7525466881557892
41,grid,0.6998168067452645,0.0006,0.01,0.0001,2000,10.0,12.0,0.6998168067452645
42,grid,0.5382723933424352,0.0006,0.01,0.0001,2000,20.0,24.0,0.5382723933424352
43,grid,0.8010638064134422,0.0006,0.1,0.0001,2000,0.01,0.012,0.8010638064134422
44,grid,0.8010638064134422,0.0006,0.1,0.0001,2000,0.1,0.12,0.8010638064134422
45,grid,0.8010638064134422,0.0006,0.1,0.0001,2000,0.5,0.6,0.8010638064134422
46,grid,0.7701747508724991,0.0006,0.1,0.0001,2000,1.0,1.2,0.7701747508724991
47,grid,0.7525466881557892,0.0006,0.1,0.0001,2000,5.0,6.0,0.7525466881557892
48,grid,0.6998168067452645,0.0006,0.1,0.0001,2000,10.0,12.0,0.6998168067452645
49,grid,0.5456333826334352,0.0006,0.1,0.0001,2000,20.0,24.0,0.5456333826334352
50,grid,0.8010638064134422,0.0006,1.0,0.0001,2000,0.01,0.012,0.8010638064134422
51,grid,0.8010638064134422,0.0006,1.0,0.0001,2000,0.1,0.12,0.8010638064134422
52,grid,0.8010638064134422,0.0006,1.0,0.0001,2000,0.5,0.6,0.8010638064134422
53,grid,0.7701747508724991,0.0006,1.0,0.0001,2000,1.0,1.2,0.7701747508724991
54,grid,0.7701747508724991,0.0006,1.0,0.0001,2000,5.0,6.0,0.7701747508724991
55,grid,0.6998168067452645,0.0006,1.0,0.0001,2000,10.0,12.0,0.6998168067452645
56,grid,0.5541376497874742,0.0006,1.0,0.0001,2000,20.0,24.0,0.5541376497874742
57,grid,0.8010638064134422,0.0006,10.0,0.0001,2000,0.01,0.012,0.8010638064134422
58,grid,0.8010638064134422,0.0006,10.0,0.0001,2000,0.1,0.12,0.8010638064134422
59,grid,0.8010638064134422,0.0006,10.0,0.0001,2000,0.5,0.6,0.8010638064134422
60,grid,0.8010638064134422,0.0006,10.0,0.0001,2000,1.0,1.2,0.8010638064134422
61,grid,0.7701747508724991,0.0006,10.0,0.0001,2000,5.0,6.0,0.7701747508724991
62,grid,0.7225269852962075,0.0006,10.0,0.0001,2000,10.0,12.0,0.7225269852962075
63,grid,0.6371792199779989,0.0006,10.0,0.0001,2000,20.0,24.0,0.6371792199779989
64,grid,0.8010638064134422,0.0006,100.0,0.0001,2000,0.01,0.012,0.8010638064134422
65,grid,0.8010638064134422,0.0006,100.0,0.0001,2000,0.1,0.12,0.8010638064134422
66,grid,0.8010638064134422,0.0006,100.0,0.0001,2000,0.5,0.6,0.8010638064134422
67,grid,0.8010638064134422,0.0006,100.0,0.0001,2000,1.0,1.2,0.8010638064134422
68,grid,0.7701747508724991,0.0006,100.0,0.0001,2000,5.0,6.0,0.7701747508724991
69,grid,0.7701747508724991,0.0006,100.0,0.0001,2000,10.0,12.0,0.7701747508724991
70,grid,0.7428339363962075,0.0006,100.0,0.0001,2000,20.0,24.0,0.7428339363962075
71,grid,0.8010638064134422,0.0006,0.01,0.001,2000,0.01,0.012,0.8010638064134422
72,grid,0.8010638064134422,0.0006,0.01,0.001,2000,0.1,0.12,0.8010638064134422
73,grid,0.7701747508724991,0.0006,0.01,0.001,2000,0.5,0.6,0.7701747508724991
74,grid,0.7701747508724991,0.0006,0.01,0.001,2000,1.0,1.2,0.7701747508724991
75,grid,0.6890976797493604,0.0006,0.01,0.001,2000,5.0,6.0,0.6890976797493604
76,grid,0.7048683668530344,0.0006,0.01,0.001,2000,10.0,12.0,0.7048683668530344
77,grid,0.7595711720820421,0.0006,0.01,0.001,2000,20.0,24.0,0.7595711720820421
78,grid,0.8010638064134422,0.0006,0.1,0.001,2000,0.01,0.012,0.8010638064134422
79,grid,0.8010638064134422,0.0006,0.1,0.001,2000,0.1,0.12,0.8010638064134422
80,grid,0.7701747508724991,0.0006,0.1,0.001,2000,0.5,0.6,0.7701747508724991
81,grid,0.7701747508724991,0.0006,0.1,0.001,2000,1.0,1.2,0.7701747508724991
82,grid,0.6890976797493604,0.0006,0.1,0.001,2000,5.0,6.0,0.6890976797493604
83,grid,0.6982760155075385,0.0006,0.1,0.001,2000,10.0,12.0,0.6982760155075385
84,grid,0.7595711720820421,0.0006,0.1,0.001,2000,20.0,24.0,0.7595711720820421
85,grid,0.8010638064134422,0.0006,1.0,0.001,2000,0.01,0.012,0.8010638064134422
86,grid,0.8010638064134422,0.0006,1.0,0.001,2000,0.1,0.12,0.8010638064134422
87,grid,0.7701747508724991,0.0006,1.0,0.001,2000,0.5,0.6,0.7701747508724991
88,grid,0.7701747508724991,0.0006,1.0,0.001,2000,1.0,1.2,0.7701747508724991
89,grid,0.6975291274997684,0.0006,1.0,0.001,2000,5.0,6.0,0.6975291274997684
90,grid,0.6737694693534995,0.0006,1.0,0.001,2000,10.0,12.0,0.6737694693534995
91,grid,0.6822737365075384,0.0006,1.0,0.001,2000,20.0,24.0,0.6822737365075384
92,grid,0.8010638064134422,0.0006,10.0,0.001,2000,0.01,0.012,0.8010638064134422
93,grid,0.8010638064134422,0.0006,10.0,0.001,2000,0.1,0.12,0.8010638064134422
94,grid,0.8010638064134422,0.0006,10.0,0.001,2000,0.5,0.6,0.8010638064134422
95,grid,0.7701747508724991,0.0006,10.0,0.001,2000,1.0,1.2,0.7701747508724991
96,grid,0.7701747508724991,0.0006,10.0,0.001,2000,5.0,6.0,0.7701747508724991
97,grid,0.6998168067452645,0.0006,10.0,0.001,2000,10.0,12.0,0.6998168067452645
98,grid,0.5894370486378822,0.0006,10.0,0.001,2000,20.0,24.0,0.5894370486378822
99,grid,0.8010638064134422,0.0006,100.0,0.001,2000,0.01,0.012,0.8010638064134422
100,grid,0.8010638064134422,0.0006,100.0,0.001,2000,0.1,0.12,0.8010638064134422
101,grid,0.8010638064134422,0.0006,100.0,0.001,2000,0.5,0.6,0.8010638064134422
102,grid,0.8010638064134422,0.0006,100.0,0.001,2000,1.0,1.2,0.8010638064134422
103,grid,0.7701747508724991,0.0006,100.0,0.001,2000,5.0,6.0,0.7701747508724991
104,grid,0.7701747508724991,0.0006,100.0,0.001,2000,10.0,12.0,0.7701747508724991
105,grid,0.7428339363962075,0.0006,100.0,0.001,2000,20.0,24.0,0.7428339363962075
106,grid,0.8010638064134422,0.0006,0.01,0.01,2000,0.01,0.012,0.8010638064134422
107,grid,0.8010638064134422,0.0006,0.01,0.01,2000,0.1,0.12,0.8010638064134422
