label,state_weight_update,c_min,seed,average_return,optimal_return,gap,alpha,eta,rho,D_theta,T
normal,normal,,42,-0.8784233454094309,-0.34390000000000004,0.5345233454094309,0.1,0.1,0.01,1.0,2000
normal,normal,,43,-0.8784233454094309,-0.34390000000000004,0.5345233454094309,0.1,0.1,0.01,1.0,2000
normal,normal,,44,-0.8784233454094309,-0.34390000000000004,0.5345233454094309,0.1,0.1,0.01,1.0,2000
normal,normal,,42,-0.8784233454094309,-0.34390000000000004,0.5345233454094309,0.1,0.1,0.01,1.0,2000
normal,normal,,43,-0.8784233454094309,-0.34390000000000004,0.5345233454094309,0.1,0.1,0.01,1.0,2000
normal,normal,,44,-0.8784233454094309,-0.34390000000000004,0.5345233454094309,0.1,0.1,0.01,1.0,2000
normal,normal,,42,-0.8784233454094309,-0.34390000000000004,0.5345233454094309,0.1,0.1,0.01,1.0,2000
normal,normal,,43,-0.8784233454094309,-0.34390000000000004,0.5345233454094309,0.1,0.1,0.01,1.0,2000
normal,normal,,44,-0.8784233454094309,-0.34390000000000004,0.5345233454094309,0.1,0.1,0.01,1.0,2000
clipped c_min=0.0,clipped,0.0,42,-0.8010638064134422,-0.34390000000000004,0.4571638064134422,0.1,0.1,0.01,1.0,2000
clipped c_min=0.0,clipped,0.0,43,-0.784978518224399,-0.34390000000000004,0.441078518224399,0.1,0.1,0.01,1.0,2000
clipped c_min=0.0,clipped,0.0,44,-0.7849785182243991,-0.34390000000000004,0.4410785182243991,0.1,0.1,0.01,1.0,2000
clipped c_min=0.0,clipped,0.0,42,-0.8010638064134422,-0.34390000000000004,0.4571638064134422,0.1,0.1,0.01,1.0,2000
clipped c_min=0.0,clipped,0.0,43,-0.784978518224399,-0.34390000000000004,0.441078518224399,0.1,0.1,0.01,1.0,2000
clipped c_min=0.0,clipped,0.0,44,-0.7849785182243991,-0.34390000000000004,0.4410785182243991,0.1,0.1,0.01,1.0,2000
clipped c_min=0.0,clipped,0.0,42,-0.8010638064134422,-0.34390000000000004,0.4571638064134422,0.1,0.1,0.01,1.0,2000
clipped c_min=0.0,clipped,0.0,43,-0.784978518224399,-0.34390000000000004,0.441078518224399,0.1,0.1,0.01,1.0,2000
clipped c_min=0.0,clipped,0.0,44,-0.7849785182243991,-0.34390000000000004,0.4410785182243991,0.1,0.1,0.01,1.0,2000
