run_idx,stage,metric,alpha,rho,eta,T,D_theta,D_pi,per_run_metric_1
1,grid,1.6788695948254493,0.0001,0.01,1e-06,2000,0.1,0.020000000000000004,1.6788695948254493
2,grid,1.6788695948254493,0.0001,0.01,1e-06,2000,0.5,0.1,1.6788695948254493
3,grid,1.6788695948254493,0.0001,0.01,1e-06,2000,1.0,0.2,1.6788695948254493
4,grid,1.6788695948254493,0.0001,0.01,1e-06,2000,5.0,1.0,1.6788695948254493
5,grid,1.5595206594073514,0.0001,0.01,1e-06,2000,20.0,4.0,1.5595206594073514
6,grid,1.6788695948254493,0.0001,0.1,1e-06,2000,0.1,0.020000000000000004,1.6788695948254493
7,grid,1.6788695948254493,0.0001,0.1,1e-06,2000,0.5,0.1,1.6788695948254493
8,grid,1.6788695948254493,0.0001,0.1,1e-06,2000,1.0,0.2,1.6788695948254493
9,grid,1.6788695948254493,0.0001,0.1,1e-06,2000,5.0,1.0,1.6788695948254493
10,grid,1.5595206594073514,0.0001,0.1,1e-06,2000,20.0,4.0,1.5595206594073514
11,grid,1.6788695948254493,0.0001,1.0,1e-06,2000,0.1,0.020000000000000004,1.6788695948254493
12,grid,1.6788695948254493,0.0001,1.0,1e-06,2000,0.5,0.1,1.6788695948254493
13,grid,1.6788695948254493,0.0001,1.0,1e-06,2000,1.0,0.2,1.6788695948254493
14,grid,1.6788695948254493,0.0001,1.0,1e-06,2000,5.0,1.0,1.6788695948254493
15,grid,1.5595206594073514,0.0001,1.0,1e-06,2000,20.0,4.0,1.5595206594073514
16,grid,1.6788695948254493,0.0001,10.0,1e-06,2000,0.1,0.020000000000000004,1.6788695948254493
17,grid,1.6788695948254493,0.0001,10.0,1e-06,2000,0.5,0.1,1.6788695948254493
18,grid,1.6788695948254493,0.0001,10.0,1e-06,2000,1.0,0.2,1.6788695948254493
19,grid,1.6788695948254493,0.0001,10.0,1e-06,2000,5.0,1.0,1.6788695948254493
20,grid,1.5595206594073514,0.0001,10.0,1e-06,2000,20.0,4.0,1.5595206594073514
21,grid,1.6788695948254493,0.0001,100.0,1e-06,2000,0.1,0.020000000000000004,1.6788695948254493
22,grid,1.6788695948254493,0.0001,100.0,1e-06,2000,0.5,0.1,1.6788695948254493
23,grid,1.6788695948254493,0.0001,100.0,1e-06,2000,1.0,0.2,1.6788695948254493
24,grid,1.6788695948254493,0.0001,100.0,1e-06,2000,5.0,1.0,1.6788695948254493
25,grid,1.5595206594073514,0.0001,100.0,1e-06,2000,20.0,4.0,1.5595206594073514
26,grid,1.6788695948254493,0.0001,0.01,1e-05,2000,0.1,0.020000000000000004,1.6788695948254493
27,grid,1.6788695948254493,0.0001,0.01,1e-05,2000,0.5,0.1,1.6788695948254493
28,grid,1.6788695948254493,0.0001,0.01,1e-05,2000,1.0,0.2,1.6788695948254493
29,grid,1.5595206594073514,0.0001,0.01,1e-05,2000,5.0,1.0,1.5595206594073514
30,grid,1.4894227586832751,0.0001,0.01,1e-05,2000,20.0,4.0,1.4894227586832751
31,grid,1.6788695948254493,0.0001,0.1,1e-05,2000,0.1,0.020000000000000004,1.6788695948254493
32,grid,1.6788695948254493,0.0001,0.1,1e-05,2000,0.5,0.1,1.6788695948254493
33,grid,1.6788695948254493,0.0001,0.1,1e-05,2000,1.0,0.2,1.6788695948254493
34,grid,1.5595206594073514,0.0001,0.1,1e-05,2000,5.0,1.0,1.5595206594073514
35,grid,1.4894227586832751,0.0001,0.1,1e-05,2000,20.0,4.0,1.4894227586832751
36,grid,1.6788695948254493,0.0001,1.0,1e-05,2000,0.1,0.020000000000000004,1.6788695948254493
37,grid,1.6788695948254493,0.0001,1.0,1e-05,2000,0.5,0.1,1.6788695948254493
38,grid,1.6788695948254493,0.0001,1.0,1e-05,2000,1.0,0.2,1.6788695948254493
39,grid,1.5595206594073514,0.0001,1.0,1e-05,2000,5.0,1.0,1.5595206594073514
40,grid,1.4894227586832751,0.0001,1.0,1e-05,2000,20.0,4.0,1.4894227586832751
41,grid,1.6788695948254493,0.0001,10.0,1e-05,2000,0.1,0.020000000000000004,1.6788695948254493
42,grid,1.6788695948254493,0.0001,10.0,1e-05,2000,0.5,0.1,1.6788695948254493
43,grid,1.6788695948254493,0.0001,10.0,1e-05,2000,1.0,0.2,1.6788695948254493
44,grid,1.5595206594073514,0.0001,10.0,1e-05,2000,5.0,1.0,1.5595206594073514
45,grid,1.4894227586832751,0.0001,10.0,1e-05,2000,20.0,4.0,1.4894227586832751
46,grid,1.6788695948254493,0.0001,100.0,1e-05,2000,0.1,0.020000000000000004,1.6788695948254493
47,grid,1.6788695948254493,0.0001,100.0,1e-05,2000,0.5,0.1,1.6788695948254493
48,grid,1.6788695948254493,0.0001,100.0,1e-05,2000,1.0,0.2,1.6788695948254493
49,grid,1.5595206594073514,0.0001,100.0,1e-05,2000,5.0,1.0,1.5595206594073514
50,grid,1.5595206594073514,0.0001,100.0,1e-05,2000,20.0,4.0,1.5595206594073514
51,grid,1.6788695948254493,0.0001,0.01,0.0001,2000,0.1,0.020000000000000004,1.6788695948254493
52,grid,1.6788695948254493,0.0001,0.01,0.0001,2000,0.5,0.1,1.6788695948254493
53,grid,1.5595206594073514,0.0001,0.01,0.0001,2000,1.0,0.2,1.5595206594073514
54,grid,1.5595206594073514,0.0001,0.01,0.0001,2000,5.0,1.0,1.5595206594073514
55,grid,1.980245782102275,0.0001,0.01,0.0001,2000,20.0,4.0,1.980245782102275
56,grid,1.6788695948254493,0.0001,0.1,0.0001,2000,0.1,0.020000000000000004,1.6788695948254493
57,grid,1.6788695948254493,0.0001,0.1,0.0001,2000,0.5,0.1,1.6788695948254493
58,grid,1.5595206594073514,0.0001,0.1,0.0001,2000,1.0,0.2,1.5595206594073514
59,grid,1.5595206594073514,0.0001,0.1,0.0001,2000,5.0,1.0,1.5595206594073514
60,grid,1.980245782102275,0.0001,0.1,0.0001,2000,20.0,4.0,1.980245782102275
61,grid,1.6788695948254493,0.0001,1.0,0.0001,2000,0.1,0.020000000000000004,1.6788695948254493
62,grid,1.6788695948254493,0.0001,1.0,0.0001,2000,0.5,0.1,1.6788695948254493
63,grid,1.5595206594073514,0.0001,1.0,0.0001,2000,1.0,0.2,1.5595206594073514
64,grid,1.5595206594073514,0.0001,1.0,0.0001,2000,5.0,1.0,1.5595206594073514
65,grid,1.980245782102275,0.0001,1.0,0.0001,2000,20.0,4.0,1.980245782102275
66,grid,1.6788695948254493,0.0001,10.0,0.0001,2000,0.1,0.020000000000000004,1.6788695948254493
67,grid,1.6788695948254493,0.0001,10.0,0.0001,2000,0.5,0.1,1.6788695948254493
68,grid,1.5595206594073514,0.0001,10.0,0.0001,2000,1.0,0.2,1.5595206594073514
69,grid,1.5595206594073514,0.0001,10.0,0.0001,2000,5.0,1.0,1.5595206594073514
70,grid,1.7312343185832753,0.0001,10.0,0.0001,2000,20.0,4.0,1.7312343185832753
71,grid,1.6788695948254493,0.0001,100.0,0.0001,2000,0.1,0.020000000000000004,1.6788695948254493
72,grid,1.6788695948254493,0.0001,100.0,0.0001,2000,0.5,0.1,1.6788695948254493
73,grid,1.6788695948254493,0.0001,100.0,0.0001,2000,1.0,0.2,1.6788695948254493
74,grid,1.5595206594073514,0.0001,100.0,0.0001,2000,5.0,1.0,1.5595206594073514
75,grid,1.4894227586832751,0.0001,100.0,0.0001,2000,20.0,4.0,1.4894227586832751
76,grid,1.6788695948254493,0.0001,0.01,0.001,2000,0.1,0.020000000000000004,1.6788695948254493
77,grid,1.5595206594073514,0.0001,0.01,0.001,2000,0.5,0.1,1.5595206594073514
78,grid,1.5595206594073514,0.0001,0.01,0.001,2000,1.0,0.2,1.5595206594073514
79,grid,1.585186842043138,0.0001,0.01,0.001,2000,5.0,1.0,1.585186842043138
80,grid,1.8341983055621385,0.0001,0.01,0.001,2000,20.0,4.0,1.8341983055621385
81,grid,1.6788695948254493,0.0001,0.1,0.001,2000,0.1,0.020000000000000004,1.6788695948254493
82,grid,1.5595206594073514,0.0001,0.1,0.001,2000,0.5,0.1,1.5595206594073514
83,grid,1.5595206594073514,0.0001,0.1,0.001,2000,1.0,0.2,1.5595206594073514
