label,state_weight_update,c_min,seed,average_return,optimal_return,gap,alpha,eta,rho,D_theta,T
normal,normal,,42,-0.8784233454094309,5.001333454094308,5.879756799503738,1.0,0.01,0.01,2.0,2000
normal,normal,,43,-0.8784233454094309,5.001333454094308,5.879756799503738,1.0,0.01,0.01,2.0,2000
normal,normal,,44,-0.8784233454094309,5.001333454094308,5.879756799503738,1.0,0.01,0.01,2.0,2000
clipped c_min=0.0,clipped,0.0,42,-3.7468270486551405,5.001333454094308,8.748160502749448,1.0,0.01,0.01,2.0,2000
clipped c_min=0.0,clipped,0.0,43,-3.64183609613614,5.001333454094308,8.643169550230448,1.0,0.01,0.01,2.0,2000
clipped c_min=0.0,clipped,0.0,44,-3.5652976917497896,5.001333454094308,8.566631145844097,1.0,0.01,0.01,2.0,2000
clipped c_min=0.01,clipped,0.01,42,0.31902079081886175,5.001333454094308,4.682312663275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.01,clipped,0.01,43,0.1234373808188618,5.001333454094308,4.877896073275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.01,clipped,0.01,44,0.05126638081886181,5.001333454094308,4.950067073275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.02,clipped,0.02,42,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.02,clipped,0.02,43,0.3905356908188617,5.001333454094308,4.610797763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.02,clipped,0.02,44,0.3183646908188617,5.001333454094308,4.682968763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.05,clipped,0.05,42,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.05,clipped,0.05,43,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.05,clipped,0.05,44,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.1,clipped,0.1,42,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.1,clipped,0.1,43,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.1,clipped,0.1,44,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.2,clipped,0.2,42,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.2,clipped,0.2,43,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.2,clipped,0.2,44,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.5,clipped,0.5,42,-0.6719499999999996,5.001333454094308,5.673283454094308,1.0,0.01,0.01,2.0,2000
clipped c_min=0.5,clipped,0.5,43,0.4627066908188617,5.001333454094308,4.538626763275446,1.0,0.01,0.01,2.0,2000
clipped c_min=0.5,clipped,0.5,44,-0.6719499999999998,5.001333454094308,5.673283454094308,1.0,0.01,0.01,2.0,2000
