alpha,eta,rho,fisher_damping,T,theta_lr,D_theta,theta_mode,theta_optimizer,theta_inner_steps,theta_start_mode,theta_include_beta_cov,d_theta_scale,beta_update,policy_optimizer,policy_gradient,cg_iters,cg_tol,state_weight_update,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0002,0.0001,0.001,0.0001,4000,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,267.9202738828026,0.91,-0.7911113820161333,1.0183793532104723,1.8431551799991592,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08449056921199674,-0.08377443379771703,1.5155492495653701e-05,-0.08458666636578205,4.999999999999999,7.616698861747327e-08,0.002856927457752048,0.04978274346436,213
0.0002,0.0001,0.001,0.0001,4000,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,184.35382871795446,0.91,-0.7911113820161333,1.018378326686698,1.8431556859469769,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08492532522039038,-0.08419087652402352,1.5022150454924704e-05,-0.08502331208773531,4.999999999999999,8.863406474645999e-08,0.0026738516436452067,0.0497898430942947,140
0.0002,0.0001,0.001,0.0001,4000,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,208.35255881166086,0.91,-0.7911113820161333,1.0183778471192004,1.843155859790734,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08530195974644798,-0.08456730059182731,1.4585683993526638e-05,-0.08539948645665042,5.0,7.917399301512856e-08,0.0026371509464701,0.049784502612895354,187
0.0002,0.0001,0.001,0.001,2500,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,129.37613685801625,0.91,-0.7911113820161333,1.018374815495271,1.843157504675363,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.0859689785937724,-0.08552437026995596,8.468608488692605e-06,-0.08602748212334874,5.0,1.1602328429635118e-07,0.0022967204657796795,0.04984437981022527,251
0.0002,0.0001,0.001,0.001,2500,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,129.90937662217766,0.91,-0.7911113820161333,1.018374645943723,1.8431577473000615,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08525567397574493,-0.08485261067415503,6.05775261047034e-06,-0.08530766038726546,5.0,5.9340588734014825e-06,0.07604841607202455,0.049838925542132075,240
0.0002,0.0001,0.001,0.001,2500,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,127.55669129872695,0.91,-0.7911113820161333,1.0183746098583917,1.843157668390651,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08391352152453713,-0.08347917795486649,4.500178137354099e-06,-0.08397188728734263,5.0,1.6398546573868047e-06,0.04371022473515684,0.04984890871870487,232
0.0002,0.0001,0.001,0.0001,2500,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,109.81779988668859,0.91,-0.7911113820161333,1.0183745522790029,1.8431577508110408,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08426016151495597,-0.08387417202935232,8.437078686726457e-06,-0.08431210192897712,5.0,8.620851689695925e-08,0.002978014189176097,0.0498432458161141,72
0.0002,0.0001,0.001,0.0001,2500,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,133.25392592186108,0.91,-0.7911113820161333,1.0183743799078864,1.84315773325828,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08384852599239784,-0.08343445868298952,2.8184748185251504e-06,-0.08390351495517748,5.0,1.2665069462616924e-06,0.05611733143768518,0.04984192515371105,115
0.0002,0.0001,0.001,0.0001,2500,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,122.3662927299738,0.91,-0.7911113820161333,1.018374010485598,1.8431580625427761,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08729564453571026,-0.08682153202073195,3.8404411285825796e-07,-0.08735348853375155,4.999999999999999,2.1242841189048136e-05,0.11820191033577997,0.049844962029546046,107
0.0002,0.0001,0.001,0.001,1600,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,80.05516606476158,0.91,-0.7911113820161333,1.0183724148641358,1.8431588006378594,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08460370286866492,-0.08436963705989431,-7.4986815644197314e-06,-0.0846345248444601,5.0,8.107135032121899e-07,0.08923748315297916,0.049883371619809956,191
0.0002,0.0001,0.001,0.001,1600,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,79.95301006920636,0.91,-0.7911113820161333,1.0183722330053433,1.8431589168092257,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08548280658020818,-0.08523916307677995,4.947625658070899e-06,-0.08551507086262229,5.0,1.0493801050251939e-07,0.0024629546365754484,0.04987821443393492,210
0.0002,0.0001,0.001,0.0001,1600,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,84.51488441089168,0.91,-0.7911113820161333,1.0183720683726158,1.8431590199579746,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08533818385932451,-0.08509230171881949,5.046818386849017e-06,-0.08537080603518846,5.0,7.270874794677448e-08,0.002556006987385446,0.04988501460370906,42
0.0002,0.0001,0.001,0.0001,1600,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,86.84204101376235,0.91,-0.7911113820161333,1.0183720014597577,1.8431591623790675,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08423884216394341,-0.08402447512989171,4.809377438514384e-06,-0.08426767625994235,5.0,1.0002478651508972e-07,0.0029733515268502235,0.049877268157007146,52
0.0002,0.0001,0.001,0.001,1600,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,82.11541019799188,0.91,-0.7911113820161333,1.0183716828023868,1.8431592731370967,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08394115946890827,-0.08367043154611771,-1.2925601892938673e-06,-0.08397375447062758,5.0,2.161507655926824e-05,0.11329897901010051,0.04988060558616799,203
0.0002,0.0001,0.001,0.0001,1600,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,72.8005620338954,0.91,-0.7911113820161333,1.0183715586649877,1.8431592473845757,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08383422601360756,-0.0835804027351423,7.968468763447936e-07,-0.08386859700489374,5.0,6.646863651361064e-08,0.033569979767050416,0.04988170248588068,37
0.0002,0.0001,0.001,0.001,1000,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,50.64670890197158,0.91,-0.7911113820161333,1.0183708536343048,1.843159596814807,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08524240849953899,-0.08512315684394904,2.6027943418222636e-06,-0.08525824888212524,4.999999999999999,6.542304731508964e-08,0.0025939757297997966,0.04990911925492991,123
0.0002,0.0001,0.001,0.0001,1000,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,53.13195596495643,0.91,-0.7911113820161333,1.0183705741592464,1.8431597698467308,0.0,-0.9948462247926808,-1.0000000000000002,1.44342,-0.0848370027900055,-0.0847381088484827,2.265982640329971e-06,-0.0848501956730159,5.000000000000001,7.15710906237132e-08,0.0027775884870764,0.0499064162950374,11
0.0002,0.0001,0.001,0.001,1000,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,54.006201329641044,0.91,-0.7911113820161333,1.0183705631242956,1.8431598117587777,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08443418314822308,-0.0843313484820532,2.4125144341820323e-06,-0.08444797458497327,5.0,7.273423706146123e-08,0.0029137468025603897,0.04990223994115078,144
0.0002,0.0001,0.001,0.0001,4000,0.01,20.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,198.86252738302574,0.91,-0.7911113820161333,1.01837040242106,1.8431599515520958,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.0999996415094947,-0.100283740661496,3.184056668163893e-07,-0.09996803561525738,5.97490054968419,8.232488298704548e-08,0.00012737454822778758,0.04989452386677336,148
0.0002,0.0001,0.001,0.0001,4000,0.01,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,199.6332399919629,0.91,-0.7911113820161333,1.01837040242106,1.8431599515520958,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.0999996415094947,-0.100283740661496,3.184056668163893e-07,-0.09996803561525738,5.97490054968419,8.232488298704548e-08,0.00012737454822778758,0.04989452386677336,149
