problem,gamma,dataset_path,beta_update,beta_projection_radius,T,alpha,eta,rho,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,source_run_idx,source_greedy_success_rate,source_solver_success_rate,source_greedy_avg_reward,source_solver_avg_reward,seed,num_trajectories,max_steps,checkpoint_count,step,checkpoint_idx,avg_reward,reward_std,reward_sem,success_rate,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,device,status,error,train_elapsed_seconds,elapsed_seconds,run_idx
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,150,1,-0.1484,0.2261523576903166,0.022615235769031662,0.05,-0.014616937729936054,-0.015170629910165925,0.00038300198746734265,-0.014889493526571759,8.146856638555088,0.00011655877632682813,0.05437821083892594,0.004982854411482122,cpu,ok,,21.999293923028745,22.13615805300651,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,300,2,-0.1058,0.3011331461615803,0.030113314616158033,0.09,-0.029174917875703223,-0.030647219658279184,0.0008249612643801196,-0.030014994167059696,18.478106125961787,0.00021271870871810648,0.06662252977200953,0.004954235796350571,cpu,ok,,21.999293923028745,22.223842723004054,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,450,3,9.999999999996401e-05,0.4155159747260329,0.04155159747260329,0.19,-0.04353687696292704,-0.047481702210279864,0.0014629411784291841,-0.04477248646973165,30.722553425252553,7.135910092413766e-05,0.13720364203844015,0.004916393661055647,cpu,ok,,21.999293923028745,22.309371726005338,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,600,4,0.23070000000000002,0.530599537020971,0.053059953702097096,0.4,-0.057410578346015075,-0.06628477964264357,0.00258917823158049,-0.05934104983698128,42.367783526331365,0.0007300776939455126,0.0902350452773031,0.004868165715549332,cpu,ok,,21.999293923028745,22.38848607498221,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,750,5,0.46099999999999985,0.5317941805859204,0.05317941805859204,0.61,-0.07005800542389448,-0.08906397130150362,0.004941688782588797,-0.07272094544617104,50.64791831499274,0.0005517079659504998,0.19574980943023695,0.004788648213407594,cpu,ok,,21.999293923028745,22.461078519991133,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,900,6,0.6518,0.45543270578094136,0.04554327057809414,0.78,-0.08140457051810918,-0.11762810054683112,0.008595059447678747,-0.08499653369723122,57.56945995465148,0.001153615333803924,0.19653283230450133,0.0046495913267979505,cpu,ok,,21.999293923028745,22.527069379983004,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1050,7,0.7988,0.31693060770618237,0.03169306077061824,0.91,-0.09172359917805925,-0.1535792355615966,0.013275962987318767,-0.09622950782466087,64.87493724767147,0.00112486062737304,0.2567344485922954,0.004445995206494319,cpu,ok,,21.999293923028745,22.58715256000869,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1200,8,0.8708,0.1909396223782256,0.01909396223782256,0.97,-0.10080805166348837,-0.20001472523452105,0.019191436586683906,-0.10625133629056986,73.12332957211912,0.0007015989348338734,0.2494669363131833,0.004217973353231502,cpu,ok,,21.999293923028745,22.643022055970505,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1350,9,0.8867,0.15752540279349397,0.015752540279349397,0.98,-0.10812370442566221,-0.25868165068795534,0.02687570153490907,-0.11443085456414051,80.34097777662996,0.0018436321544848138,0.25904874466442324,0.003960553233757447,cpu,ok,,21.999293923028745,22.696773712988943,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1500,10,0.8900000000000001,0.15760197917026245,0.015760197917026243,0.98,-0.11484791897258448,-0.32689627129249405,0.03515139310179197,-0.12203822229267472,87.9881765809096,0.0014934803497145255,0.3097145089842924,0.003799613074300535,cpu,ok,,21.999293923028745,22.748964758997317,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1650,11,0.9023,0.11307327560730547,0.011307327560730548,0.99,-0.11944319927100173,-0.41030111449321716,0.04555600766348168,-0.12759308501773697,95.23366792849933,0.002564960670643654,0.33472559275738706,0.003254376114482464,cpu,ok,,21.999293923028745,22.800551298016217,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1800,12,0.9142,0.021981626854987748,0.002198162685498775,1.0,-0.12365492788963514,-0.49867861757103593,0.05634415905532622,-0.13268707845586583,103.1265064148426,0.002470582659446796,0.32373272445357704,0.00292711465071634,cpu,ok,,21.999293923028745,22.851280761009548,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1950,13,0.9165000000000001,0.01737146156106837,0.001737146156106837,1.0,-0.12483591597351644,-0.607463436938721,0.07016302569904499,-0.13477334393314436,111.36870256163027,0.003509928335491928,0.3391044259023909,0.002800623988900294,cpu,ok,,21.999293923028745,22.901173737016506,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2100,14,0.9157000000000001,0.021426642529827424,0.0021426642529827422,1.0,-0.1252117557121188,-0.7296162619398251,0.0847869796526091,-0.1360420773972922,121.18011120606452,0.0013299372389769725,0.3687137728656326,0.003394183588069865,cpu,ok,,21.999293923028745,22.95144974498544,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2250,15,0.9204000000000001,0.01825299200601689,0.0018252992006016892,1.0,-0.12451260670497677,-0.8680918429919249,0.1004854399642452,-0.13625675296757134,130.9821617214991,0.004412792779060588,0.4069071648750691,0.002878036218705456,cpu,ok,,21.999293923028745,22.999864018987864,1
