problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,dataset_path,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
deterministic,fogas_diag,1500,0.001,0.0001,0.003,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.67,0.9300000000000002,195.38676079700235,362
deterministic,fogas_full,1500,0.001,0.0001,0.003,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.67,0.9300000000000002,1186.7531557229813,237
deterministic,fogas_diag,1500,0.001,0.0001,0.005,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.6694,0.9300000000000002,178.38468843902228,355
deterministic,fogas_full,1500,0.001,0.0001,0.03,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.6694,0.9300000000000002,444.78421571297804,83
deterministic,fogas_full,1500,0.001,0.0001,0.005,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.6694,0.9300000000000002,863.810873422015,173
deterministic,fogas_full,1500,0.001,0.0001,0.5,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.6692,0.9300000000000002,232.3746083760052,26
deterministic,fogas_diag,1500,0.001,0.0001,0.02,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.6690999999999999,0.9300000000000002,174.60030585998902,356
deterministic,fogas_diag,1500,0.001,0.0001,0.01,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.6690999999999999,0.9300000000000002,200.56625599804102,367
deterministic,fogas_full,1500,0.001,0.0001,0.01,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.6690999999999999,0.9300000000000002,448.47783683700254,86
deterministic,fogas_full,1500,0.001,0.0001,0.02,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.6690999999999999,0.9300000000000002,1356.9384846680332,289
deterministic,fogas_diag,1500,0.001,0.0001,0.05,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.669,0.9300000000000002,100.05815152399009,336
deterministic,fogas_full,1500,0.001,0.0001,0.3,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.669,0.9300000000000002,124.71069160097977,8
deterministic,fogas_diag,1500,0.001,0.0001,0.075,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.669,0.9300000000000002,150.0609220309998,349
deterministic,fogas_diag,1500,0.001,0.0001,0.001,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.669,0.9300000000000002,160.30607910000253,348
deterministic,fogas_diag,1500,0.001,0.0001,0.15,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.669,0.9300000000000002,169.03087490895996,358
deterministic,fogas_diag,1500,0.001,0.0001,0.1,,0.001,0.3,40,adam,reinforce,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,0.79,1.0,0.669,0.9300000000000002,184.38690350897377,361
