problem,ablation,policy_optimizer,policy_gradient,alpha,eta,rho,T,theta_lambda,theta_lr,theta_inner_steps,reinforce_samples,fisher_damping,cg_iters,cg_tol,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,adam_exact_baseline,adam,exact,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,1,1,0,139.5696412299876,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9247000000000001,0.9247000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,1,0.001,50,1e-10,5,5,0,488.9077806016081,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9249,0.9239600000000001,0.0006804410334480908,0.00030430248109402784,0.0005964328629442945,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,2,0.001,50,1e-10,5,5,0,538.8116543174023,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9254000000000002,0.9244800000000002,0.0007014271166700692,0.00031368774282719016,0.0006148279759412927,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,5,5,0,349.2602470353944,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9251000000000001,0.9243200000000001,0.0007259476565152297,0.0003246536616149443,0.0006363211767652908,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,adam_reinforce_samples,adam,reinforce,0.001,0.0001,0.03,3000,1e-07,0.001,10,8,0.001,50,1e-10,5,5,0,1663.738832208782,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9249000000000003,0.9239400000000002,0.0007503332592921489,0.0003355592347112441,0.0006576961000340385,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,1,1,0,498.5318928639754,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9204000000000001,0.9204000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,1,1,0,482.78929559199605,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9218000000000002,0.9218000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,1,1,0,481.2215073989937,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9220000000000002,0.9220000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,1,1,0,409.7654234190122,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9209000000000002,0.9209000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,0.0001,50,1e-10,1,1,0,475.01387818995863,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9211000000000003,0.9211000000000003,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,0.0003,50,1e-10,1,1,0,437.20835870999144,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9217000000000002,0.9217000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,1,1,0,365.7916650440311,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9205000000000002,0.9205000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,0.003,50,1e-10,1,1,0,333.3204679749906,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9199000000000003,0.9199000000000003,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,1,1,0,495.40086167503614,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9225000000000003,0.9225000000000003,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,1,1,0,501.7414414079976,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9237000000000002,0.9237000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,1,1,0,511.7889012179803,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9232000000000002,0.9232000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,1,1,0,454.8048777470249,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9236000000000001,0.9236000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,0.0001,50,1e-10,1,1,0,435.4451809039456,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9239000000000002,0.9239000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,0.0003,50,1e-10,1,1,0,464.4432717350428,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9230000000000002,0.9230000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,1,1,0,395.1663456390379,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9239000000000002,0.9239000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,0.003,50,1e-10,1,1,0,308.17955067002913,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9230000000000002,0.9230000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.1,0.0001,0.03,3000,1e-07,0.001,10,4,0.01,50,1e-10,1,1,0,254.01253739994718,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9235000000000002,0.9235000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,1e-06,50,1e-10,1,1,0,477.2341067530215,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8856999999999999,0.8856999999999999,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,3e-06,50,1e-10,1,1,0,461.05265322997,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.885,0.885,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,1e-05,50,1e-10,1,1,0,413.8398306290037,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8857,0.8857,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,3e-05,50,1e-10,1,1,0,466.1672691529966,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8855000000000001,0.8855000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,0.0001,50,1e-10,1,1,0,466.08841307397233,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8854000000000001,0.8854000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,0.0003,50,1e-10,1,1,0,370.91489833401283,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8852000000000001,0.8852000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.03,0.0001,0.03,3000,1e-07,0.001,10,4,0.01,50,1e-10,1,1,0,257.1069351930055,0.99,0.99,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9031000000000001,0.9031000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,npg_exact_alpha_fisher,npg,exact,0.01,0.0001,0.03,3000,1e-07,0.001,10,4,0.001,50,1e-10,1,1,0,396.1985849830089,0.96,0.96,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8499000000000001,0.8499000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
