problem,ablation,beta_update,T,alpha,eta,rho,theta_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,theta_start_mode,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,dataset_path,theta_optimizer,theta_include_beta_cov,num_trajectories,max_steps,seed,eval_seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,3e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9258000000000002,0.9300000000000002,164.22642597201047,12
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,300.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.925,0.9300000000000002,126.49768921203213,3
deterministic,reg_fixed_inner_steps,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,157.57438087603077,4
deterministic,reg_fixed_baseline,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,159.83369703503558,6
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9247000000000001,0.9300000000000002,164.0901705089491,11
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-09,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9243000000000002,0.9300000000000002,91.98503914900357,2
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-08,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9242000000000001,0.9300000000000002,157.8262081440189,5
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,100.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9241000000000001,0.9300000000000002,160.07206677203067,8
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,3e-08,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9235000000000001,0.9300000000000002,160.36770436901134,9
deterministic,reg_fixed_lambda,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,3e-09,,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9229000000000002,0.9300000000000002,159.9125819359906,7
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,30.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9215000000000001,0.9300000000000002,164.5263745370321,13
deterministic,projection_dtheta,fogas_full,3000,0.001,0.0001,0.03,projection,,10.0,0.001,10,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9201000000000001,0.9300000000000002,165.11537711200071,14
deterministic,reg_fixed_inner_steps,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,20,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,1.0,1.0,0.9189000000000002,0.9300000000000002,171.04822707199492,17
deterministic,reg_fixed_inner_steps,fogas_full,3000,0.001,0.0001,0.03,reg_fixed,1e-07,,0.001,40,warm,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,adam,False,100,20,42,10000,cpu,ok,,0.95,1.0,0.8338000000000001,0.9300000000000002,177.77911660901736,24
