problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,checkpoint_step,count,seed_count,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,20,5,5,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1379,-0.1379,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,40,5,5,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1379,-0.1379,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,60,5,5,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1379,-0.1379,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,80,5,5,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1379,-0.1379,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,100,5,5,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1487,-0.1487,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,120,5,5,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1588,-0.1588,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,140,5,5,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1588,-0.1588,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,160,5,5,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1588,-0.1588,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,180,5,5,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1588,-0.1588,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,200,5,5,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1588,-0.1588,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
