problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,projection_dtheta,projection,warm,,10.0,0.001,10,0.03,3000,5,5,5,0,163.52124915621243,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9201000000000001,0.9201,9.614813431917819e-17,4.299875284949258e-17,8.427755558500545e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,projection_dtheta,projection,warm,,30.0,0.001,10,0.03,3000,5,5,5,0,175.36896072581877,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9215000000000001,0.9215,9.614813431917819e-17,4.299875284949258e-17,8.427755558500545e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,projection_dtheta,projection,warm,,100.0,0.001,10,0.03,3000,5,5,5,0,156.3384291075985,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9241000000000001,0.9241000000000001,7.850462293418876e-17,3.510833468576701e-17,6.881233598410334e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,projection_dtheta,projection,warm,,300.0,0.001,10,0.03,3000,5,5,5,0,161.017133851815,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.925,0.925,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,projection_dtheta,projection,zero,,0.3,0.001,10,0.03,3000,4,4,4,0,141.6301006755093,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.1331166295920986e-17,5.665583147960493e-18,1.1104542970002566e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,zero,,1.0,0.001,10,0.03,3000,4,4,4,0,165.00857074449596,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.1331166295920986e-17,5.665583147960493e-18,1.1104542970002566e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,zero,,3.0,0.001,10,0.03,3000,4,4,4,0,165.69545223351452,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.938893903907228e-18,1.3600232051658167e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,zero,,10.0,0.001,10,0.03,3000,4,4,4,0,166.91927193448646,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.1331166295920986e-17,5.665583147960493e-18,1.1104542970002566e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,zero,,30.0,0.001,10,0.03,3000,4,4,4,0,196.9735713019909,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.938893903907228e-18,1.3600232051658167e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,zero,,100.0,0.001,10,0.03,3000,5,5,5,0,189.8442603658419,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,zero,,300.0,0.001,10,0.03,3000,4,4,4,0,195.70567932675476,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.938893903907228e-18,1.3600232051658167e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,4,4,4,0,199.355365199488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,1.0,0.001,10,0.03,3000,5,5,5,0,184.16374481879174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,3.0,0.001,10,0.03,3000,5,5,5,0,192.06569031199905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_baseline,reg_fixed,warm,1e-07,,0.001,10,0.03,3000,5,5,5,0,167.49273304617964,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9247000000000001,0.9247,9.614813431917819e-17,4.299875284949258e-17,8.427755558500545e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_baseline,reg_fixed,zero,1e-07,,0.001,10,0.03,3000,4,4,4,0,142.0063373389712,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.1331166295920986e-17,5.665583147960493e-18,1.1104542970002566e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,10,0.03,3000,5,5,5,0,156.60234231040812,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9247000000000001,0.9247,9.614813431917819e-17,4.299875284949258e-17,8.427755558500545e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,20,0.03,3000,5,5,5,0,171.0493145609973,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9189000000000002,0.9189000000000002,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,40,0.03,3000,4,4,4,0,182.82041222200496,0.95,0.95,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8338000000000001,0.8338000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,80,0.03,3000,4,4,4,0,194.10885878725094,0.88,0.88,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7539,0.7539,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,1,0.03,3000,4,4,4,0,182.40111667651217,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.1184,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,2,0.03,3000,4,4,4,0,193.7824803807598,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07409999999999996,0.07409999999999994,2.7755575615628914e-17,1.3877787807814457e-17,2.7200464103316335e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,5,0.03,3000,4,4,4,0,190.14154598976893,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,-0.001500000000000027,1.799819148055161e-17,8.999095740275804e-18,1.7638227650940575e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,10,0.03,3000,4,4,4,0,160.04155724875454,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.938893903907228e-18,1.3600232051658167e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,20,0.03,3000,3,3,3,0,207.3531724420221,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1796,-0.1796,0.0,0.0,0.0,-0.2,-0.20000000000000004,3.3993498887762956e-17,1.9626155733547187e-17,3.846726523775248e-17
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,1,0.03,3000,4,4,4,0,174.49952319001022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,2,0.03,3000,5,5,5,0,181.91611316135385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,5,0.03,3000,4,4,4,0,181.24958028773835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
