alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,num_trajectories,max_steps,seed,nn_seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.001,1e-05,0.01,600,0.03,2,1e-05,16,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,123,cuda,ok,,8.451583685993683,0.55,-0.6444807914758114,-0.0799878318889893,2.3051907802605434,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-12.403332464375804,41.756715569851416,7.789625292115081,-12.498975890528726,105.64590480256028,36.04590110840526,20.17394897807747,3.0294232571352735,61
0.0005,3e-05,0.05,1000,0.03,3,0.0001,8,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,42,cuda,ok,,13.901906125014648,0.36,-0.7497480897816675,-0.4045789421070218,2.3165778697597834,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,5.95841025284448,-227.8336153660097,48.32811512712574,5.791230223326892,236.03272217458516,45.47406463348136,129.01078659620111,3.776728270763457,1041
0.001,1e-05,0.01,600,0.03,2,0.0001,16,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,123,cuda,ok,,8.399685546988621,0.31,-0.7832394863293558,-0.8581212077125783,2.9112164000503653,0.88,-0.2726126043327173,2.7725023973458076,0.18332008608867784,-51.05767995739646,-38.85607759274028,-22.916534709572744,-51.01370603581013,100.23565687511424,50.66037492626391,75.92678595203982,6.362678721750913,2
0.001,1e-05,0.1,1000,0.03,3,0.0001,8,0.01,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,13.94343920200481,0.23,-0.8035194436109683,-0.7779346972838468,3.2743109935417087,0.88,-0.2726126043327173,2.7725023973458076,0.18332008608867784,-53.57515359235648,-11.587367825706309,0.8085507017935901,-53.65718875314372,210.5542006072509,112.55914293126182,88.69191387883843,1.5595157692348434,36
0.0005,1e-05,0.05,1000,0.06,5,0.001,16,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,17.75138933499693,0.17,-0.8397776787749356,-0.9730968543067767,3.0703747489167386,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-39.664184702205475,-202.1576776663145,11.331951232145887,-39.66963134621517,202.64582089021022,24.832466518657508,37.878977763767985,0.3545013462101388,261
0.002,1e-05,0.01,600,0.03,2,0.0001,16,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,123,cuda,ok,,8.616383460001089,0.16,-0.8434828306857576,-0.8853137240189126,3.1786447601241514,0.88,-0.2746800027301868,2.797134461939329,0.24394678106333795,-49.57185527169773,60.233577950095516,-23.293976940311442,-49.58194597233286,101.62618434689895,28.271269578368738,77.93743290251544,3.3453177199644752,42
0.001,1e-05,0.1,1500,0.03,5,0.01,8,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,123,cuda,ok,,25.656101096014027,0.15,-0.8520265765413454,-1.2737696083980286,3.6591887251052793,0.88,-0.2726126043327173,2.7725023973457996,0.18332008608869407,-2.167595313946241,-23.07408741837741,2.266895533452005,-2.2326887185844875,16.812491334367888,0.6420508109792782,7.689028433466371,0.06824478609006127,2318
0.0005,1e-05,0.05,1500,0.03,5,0.0001,16,0.001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,42,cuda,ok,,25.826180231000762,0.09,-0.8812268961384797,-1.30863519777266,3.7519359641270125,0.88,-0.2726126043327173,2.7725023973458076,0.18332008608867784,-57.851400859604624,134.37890005203357,-76.33816242206696,-57.78095825446954,422.0043994829478,56.84752590628429,95.56853576707107,1.2543059031515762,302
0.001,1e-05,0.05,1500,0.03,5,0.0001,8,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,exact,1,normal,100,20,42,42,cuda,ok,,25.42738729697885,0.67,-0.6543424805222608,-0.09802185271474692,2.108922145758015,0.87,-0.2764523264898215,2.769403807035767,0.27693716190359347,-28.307454919371096,72.11348837717564,90.30545293509788,-28.188337751502388,482.216005428595,40.262563076160994,106.5848625223424,0.49606693317377976,2021
0.001,1e-05,0.01,1000,0.01,3,0.01,16,0.0001,reg_fixed,adam,warm,False,fogas_diag,adam,reinforce,1,normal,100,20,42,42,cuda,ok,,14.372896335989935,0.64,-0.6069147692261363,0.06071854947432479,1.9154812298616228,0.87,-0.276291473607931,2.7700166601982326,0.26224225328901596,-6.892798081908142,1.0131362852383077,-1.5407670482023248,-6.922581829813393,24.07713739321972,23.916407331587273,21.87326090915941,1.6353311843891496,5
