alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0003,1e-06,0.1,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,947.4802711890079,143.06,1.0,-143.06,187.58,0.24,-187.58,-102.72036770991876,-99.0836581987996,-0.5647152626452532,-102.72536222307372,367.9433617650079,0.004176239340433111,4.486575056721695,0.4145867735769569,1406
0.0001,1e-06,0.02,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,945.1189923859783,169.34,0.66,-169.34,176.92,0.5,-176.92,-102.67490588139263,-99.72816938113633,-0.5198472918308105,-102.67999767070908,374.3330787241394,0.06886292669904492,5.038000285670841,0.41443295355092263,901
0.0003,3e-07,0.02,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,954.0819861529744,169.34,1.0,-169.34,200.0,0.0,-200.0,-100.5241243077799,-110.36403336037847,1.5704775598216603,-100.62604229872694,291.97474370841996,0.7076579510584693,35.572959867335484,0.6169929754042768,1287
0.0001,1e-06,0.005,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,948.4891002440127,169.68,0.76,-169.68,182.54,0.42,-182.54,-102.66493486172438,-99.45875624880242,-0.5107731583641857,-102.66954310896526,405.7852108985468,0.0652606053542358,6.25660747005108,0.4147488467689957,877
0.0003,1e-06,0.5,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,979.4215644090436,170.06,0.58,-170.06,200.0,0.0,-200.0,-102.69997864937923,-98.85849831950098,-0.5448440336946214,-102.70547500320218,316.92817991833897,0.06580375575783926,7.058939390588316,0.41455552565501164,1430
0.0003,3e-08,0.5,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,974.4086716439924,179.56,0.66,-179.56,200.0,0.0,-200.0,-348.9689931707449,-315.5998563359878,-8.814991738672573,-348.96714852413584,877.1756764926041,1.133320259959779,237.34939161330212,0.49340851260034135,1150
0.0003,3e-07,0.5,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,974.7092282869853,184.86,0.34,-184.86,198.4,0.04,-198.4,-287.759770305967,-277.4412299822635,-1.9131265875596113,-287.7647085429165,801.1349889979783,0.2552470669021988,37.68703491865375,0.4287160405460054,1340
3e-05,1e-08,0.02,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,937.9997238559881,187.12,0.24,-187.12,200.0,0.0,-200.0,-360.46564815463637,-341.85784674130116,-20.33192740361694,-360.4580223241921,928.7203791165958,77.02318163864497,379.31650325040806,0.773748495588986,44
0.0001,1e-06,0.5,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,954.033920961956,193.74,0.76,-193.74,200.0,0.0,-200.0,-150.26795474821222,344.3421683763378,-52.4657956548607,-151.00142051132048,445.40080120042654,45.81689359584704,148.1881952469805,10.307759704301215,958
0.0001,1e-06,0.1,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,977.4741553980275,196.54,0.66,-196.54,200.0,0.0,-200.0,-149.84726032965935,172.0874533897853,-49.665868084924625,-150.43356131911028,441.77936445321967,40.832470677497106,164.01412699990465,6.438977550479592,934
0.0001,3e-07,0.1,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,965.7322216850007,197.6,0.56,-197.6,200.0,0.0,-200.0,-343.71723187131323,-337.04716074629755,-3.5662019059679078,-343.71618472412507,951.150234620762,3.2597651809703763,69.50433675184658,0.41944928511701046,833
0.0003,1e-06,0.1,20000,0.001,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,948.4563388929819,200.0,0.0,-200.0,199.0,0.12,-199.0,-340.980530675768,-335.7442838776131,-0.8262313658419066,-340.9820262411255,916.6417717447325,1.902596968009723,178.08558768591965,0.5031264966835777,1414
0.0003,1e-06,0.02,20000,0.001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,950.6996453620377,200.0,0.0,-200.0,199.48,0.04,-199.48,-340.9334133909673,-336.67537317161816,-0.7779823684513943,-340.9346609070051,873.438485945569,0.09671306943397587,48.26698059332709,0.4136482679560749,1391
0.0003,1e-07,0.02,20000,0.001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,951.7345388369868,200.0,0.0,-200.0,199.64,0.02,-199.64,-343.1717529346625,-330.2030868858331,-3.0287291129873797,-343.175922874274,888.2325965524715,0.3012691165324058,42.12163095266819,0.4176118853130822,1199
