alpha,eta,rho,D_theta,T,beta,seed,device,status,error,elapsed_seconds,greedy_avg_reward,greedy_goal_count,greedy_success_rate,reached_goal,final_state,path_length,run_idx
0.00025,0.0002,0.0005,60.0,20000,1e-07,42,cuda,ok,,12.09806006285362,-0.9202335569231277,10,1.0,True,99,24,32
0.00025,0.0002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.82186898496002,-0.9202335569231277,10,1.0,True,99,24,40
0.00025,0.0002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.851268040947616,-0.9202335569231277,10,1.0,True,99,24,48
0.00025,0.0005,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.901252577081323,-0.9202335569231277,10,1.0,True,99,24,55
0.00025,0.0005,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.990792044205591,-0.9202335569231277,10,1.0,True,99,24,56
0.00025,0.0005,0.001,40.0,20000,1e-07,42,cuda,ok,,11.85708425194025,-0.9202335569231277,10,1.0,True,99,24,63
0.00025,0.0005,0.001,60.0,20000,1e-07,42,cuda,ok,,11.914608074817806,-0.9202335569231277,10,1.0,True,99,24,64
0.00025,0.0005,0.003,40.0,20000,1e-07,42,cuda,ok,,11.866998710203916,-0.9202335569231277,10,1.0,True,99,24,71
0.00025,0.0005,0.003,60.0,20000,1e-07,42,cuda,ok,,12.356924031162634,-0.9202335569231277,10,1.0,True,99,24,72
0.00025,0.001,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.933601118857041,-0.9202335569231277,10,1.0,True,99,24,79
0.00025,0.001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.975821899017319,-0.9202335569231277,10,1.0,True,99,24,80
0.00025,0.001,0.001,40.0,20000,1e-07,42,cuda,ok,,12.070796275977045,-0.9202335569231277,10,1.0,True,99,24,87
0.00025,0.001,0.001,60.0,20000,1e-07,42,cuda,ok,,11.879177423892543,-0.9202335569231277,10,1.0,True,99,24,88
0.00025,0.001,0.003,40.0,20000,1e-07,42,cuda,ok,,11.82219742401503,-0.9202335569231277,10,1.0,True,99,24,95
0.00025,0.001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.880242265062407,-0.9202335569231277,10,1.0,True,99,24,96
0.00025,0.002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.864241775823757,-0.9202335569231277,10,1.0,True,99,24,104
0.00025,0.002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.86004846310243,-0.9202335569231277,10,1.0,True,99,24,112
0.00025,0.002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.85815440886654,-0.9202335569231277,10,1.0,True,99,24,120
0.0005,0.0001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.853231579996645,-0.9202335569231277,10,1.0,True,99,24,128
0.0005,0.0001,0.001,60.0,20000,1e-07,42,cuda,ok,,11.970600503962487,-0.9202335569231277,10,1.0,True,99,24,136
0.0005,0.0001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.82419472397305,-0.9202335569231277,10,1.0,True,99,24,144
0.0005,0.0002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.947410890832543,-0.9202335569231277,10,1.0,True,99,24,151
0.0005,0.0002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.886626041028649,-0.9202335569231277,10,1.0,True,99,24,152
0.0005,0.0002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.868564787087962,-0.9202335569231277,10,1.0,True,99,24,159
0.0005,0.0002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.995563582982868,-0.9202335569231277,10,1.0,True,99,24,160
0.0005,0.0002,0.003,40.0,20000,1e-07,42,cuda,ok,,11.855275015113875,-0.9202335569231277,10,1.0,True,99,24,167
0.0005,0.0002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.818396578077227,-0.9202335569231277,10,1.0,True,99,24,168
0.0005,0.0005,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.863142496906221,-0.9202335569231277,10,1.0,True,99,24,175
0.0005,0.0005,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.83775391196832,-0.9202335569231277,10,1.0,True,99,24,176
0.0005,0.0005,0.001,40.0,20000,1e-07,42,cuda,ok,,11.839585346868262,-0.9202335569231277,10,1.0,True,99,24,183
0.0005,0.0005,0.001,60.0,20000,1e-07,42,cuda,ok,,12.032990433042869,-0.9202335569231277,10,1.0,True,99,24,184
0.0005,0.0005,0.003,40.0,20000,1e-07,42,cuda,ok,,11.847165185958147,-0.9202335569231277,10,1.0,True,99,24,191
0.0005,0.0005,0.003,60.0,20000,1e-07,42,cuda,ok,,11.857321524992585,-0.9202335569231277,10,1.0,True,99,24,192
0.0005,0.001,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.858112817863002,-0.9202335569231277,10,1.0,True,99,24,199
0.0005,0.001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.8420044768136,-0.9202335569231277,10,1.0,True,99,24,200
0.0005,0.001,0.001,40.0,20000,1e-07,42,cuda,ok,,11.859273269074038,-0.9202335569231277,10,1.0,True,99,24,207
0.0005,0.001,0.001,60.0,20000,1e-07,42,cuda,ok,,11.727308660047129,-0.9202335569231277,10,1.0,True,99,24,208
0.0005,0.001,0.003,40.0,20000,1e-07,42,cuda,ok,,11.736133894883096,-0.9202335569231277,10,1.0,True,99,24,215
0.0005,0.001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.815268898848444,-0.9202335569231277,10,1.0,True,99,24,216
0.0005,0.002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.818475723033771,-0.9202335569231277,10,1.0,True,99,24,223
0.0005,0.002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.820482378127053,-0.9202335569231277,10,1.0,True,99,24,224
0.0005,0.002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.924795180093497,-0.9202335569231277,10,1.0,True,99,24,231
0.0005,0.002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.822530351113528,-0.9202335569231277,10,1.0,True,99,24,232
0.0005,0.002,0.003,40.0,20000,1e-07,42,cuda,ok,,11.728244138183072,-0.9202335569231277,10,1.0,True,99,24,239
0.0005,0.002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.875466156052426,-0.9202335569231277,10,1.0,True,99,24,240
0.001,0.0001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.842711228877306,-0.9202335569231277,10,1.0,True,99,24,248
0.001,0.0001,0.001,60.0,20000,1e-07,42,cuda,ok,,11.86677912902087,-0.9202335569231277,10,1.0,True,99,24,256
0.001,0.0001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.975348087027669,-0.9202335569231277,10,1.0,True,99,24,264
0.001,0.0002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.845268641831353,-0.9202335569231277,10,1.0,True,99,24,271
0.001,0.0002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.822701523080468,-0.9202335569231277,10,1.0,True,99,24,272
0.001,0.0002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.965624555945396,-0.9202335569231277,10,1.0,True,99,24,279
