feature_type,reset_name,reset_probs,policy_fraction,random_fraction,epsilon,n_transitions,dataset_rows,status,error,mean_steps,successes,solver_alpha,solver_eta,solver_rho,solver_T,solver_beta,fogas_mean_steps,fogas_successes,fogas_greedy_mean_steps,fogas_greedy_successes,fogas_solver_mean_steps,fogas_solver_successes,fogas_alpha,fogas_eta,fogas_rho,fogas_T,fogas_beta,fogas_status,fogas_error,fqi_mean_steps,fqi_successes,fqi_greedy_mean_steps,fqi_greedy_successes,fqi_solver_mean_steps,fqi_solver_successes,fqi_K,fqi_tau,fqi_ridge,fqi_augment_terminal_transitions,fqi_added_terminal_samples,fqi_final_theta_delta,fqi_status,fqi_error
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.0,25000,25000,ok,,177.7,10,0.0001,2e-05,0.5,20000,1e-06,177.7,10,177.7,10,200.0,0,0.0001,2e-05,0.5,20000,1e-06,ok,,172.8,8,172.8,8,172.8,8,5000,0.1,0.01,True,0,1.528120351871715e-14,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.1,25000,25000,ok,,183.2,6,0.0001,2e-05,0.5,20000,1e-06,183.2,6,183.2,6,200.0,0,0.0001,2e-05,0.5,20000,1e-06,ok,,183.9,5,183.9,5,183.9,5,5000,0.1,0.01,True,0,0.0,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.2,25000,25000,ok,,167.3,10,0.0001,2e-05,0.5,20000,1e-06,167.3,10,167.3,10,200.0,0,0.0001,2e-05,0.5,20000,1e-06,ok,,185.9,9,185.9,9,185.9,9,5000,0.1,0.01,True,0,0.0,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.4,25000,25000,ok,,170.6,10,0.0001,2e-05,0.5,20000,1e-06,170.6,10,170.6,10,200.0,0,0.0001,2e-05,0.5,20000,1e-06,ok,,194.9,4,194.9,4,194.9,4,5000,0.1,0.01,True,0,0.0,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",1.0,0.0,0.6,25000,25000,ok,,171.9,10,0.0001,2e-05,0.5,20000,1e-06,171.9,10,171.9,10,200.0,0,0.0001,2e-05,0.5,20000,1e-06,ok,,200.0,0,200.0,0,200.0,0,5000,0.1,0.01,True,0,0.0,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.0,25000,25000,ok,,179.0,10,0.0001,2e-05,0.5,20000,1e-06,179.0,10,179.0,10,200.0,0,0.0001,2e-05,0.5,20000,1e-06,ok,,200.0,0,200.0,0,200.0,0,5000,0.1,0.01,True,0,0.0,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.1,25000,25000,ok,,174.6,10,0.0001,2e-05,0.5,20000,1e-06,174.6,10,174.6,10,200.0,0,0.0001,2e-05,0.5,20000,1e-06,ok,,190.1,6,190.1,6,190.1,6,5000,0.1,0.01,True,0,0.0,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.2,25000,25000,ok,,168.2,9,0.0001,2e-05,0.5,20000,1e-06,168.2,9,168.2,9,200.0,0,0.0001,2e-05,0.5,20000,1e-06,ok,,200.0,0,200.0,0,200.0,0,5000,0.1,0.01,True,0,0.0,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.4,25000,25000,ok,,184.8,5,0.0001,2e-05,0.5,20000,1e-06,184.8,5,184.8,5,200.0,0,0.0001,2e-05,0.5,20000,1e-06,ok,,200.0,0,200.0,0,200.0,0,5000,0.1,0.01,True,0,0.0,ok,
rbf,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.8,0.2,0.6,25000,25000,ok,,171.3,10,0.0001,2e-05,0.5,20000,1e-06,171.3,10,171.3,10,200.0,0,0.0001,2e-05,0.5,20000,1e-06,ok,,200.0,0,200.0,0,200.0,0,5000,0.1,0.01,True,0,0.0,ok,
